['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-07 03:34:15', '0', "(Uranus,316.688,(r)) (H9,316.737,(p)) (conjunction,2.94')\n(Jupiter,35.403,(c)) (H1,65.538,(c)) (30-semisextile,8.10')", "(Uranus,317.077,(c)) (H8,272.095,(c)) (45-semisquare,1.11')", '3', "(Pluto,94.416,(p)) (H1,94.572,(p)) (conjunction,9.37')", '5', "(Mercury,195.031,(p)) (H3,150.002,(p)) (45-semisquare,1.73')\n(Mars,226.271,(p)) (H10,1.293,(p)) (135-sesquisquare,1.32')", "(Mars,191.687,(c)) (H5,161.547,(c)) (30-semisextile,8.37')", "(Mercury,190.851,(r)) (H5,160.685,(c)) (30-semisextile,9.94')", "(Moon,280.026,(r)) (H5,220.150,(p)) (sextile,7.46')", "(H10,336.462,(r)) (H9,336.372,(p)) (conjunction,5.37')", "(Jupiter,34.724,(c)) (H5,154.775,(c)) (trine,3.02')", "(Sun,164.170,(r)) (H5,224.170,(p)) (sextile,0.02')", '13', "(Moon,172.663,(p)) (H4,202.435,(p)) (30-semisextile,13.65')\n(Mean_Node,294.035,(p)) (H1,114.087,(p)) (opposition,3.13')", "(Neptune,123.897,(r)) (H4,213.967,(p)) (square,4.23')\n(Neptune,123.897,(r)) (H7,304.076,(p)) (opposition,10.73')\n(Pluto,93.214,(c)) (H8,228.099,(c)) (135-sesquisquare,6.88')", "(Moon,178.179,(c)) (H8,223.698,(c)) (45-semisquare,31.14')", 18]
['1916-09-07 03:58:15', "(Sun,164.186,(r)) (H3,134.203,(p)) (30-semisextile,1.01')", "(Sun,153.716,(c)) (H9,303.678,(c)) (150-quincunx,2.31')\n(Neptune,123.557,(c)) (H9,303.678,(c)) (opposition,7.25')", "(Moon,70.730,(p)) (H8,295.420,(p)) (135-sesquisquare,18.61')\n(Mean_Node,296.504,(r)) (H1,71.435,(c)) (135-sesquisquare,4.17')", '3', "(Mean_Node,295.269,(p)) (H12,70.424,(p)) (135-sesquisquare,9.31')\n(Mean_Node,296.504,(r)) (H12,26.361,(c)) (square,8.59')", '5', "(Saturn,114.024,(c)) (H12,24.008,(c)) (square,0.94')", "(Mean_Node,296.504,(r)) (H7,236.597,(c)) (sextile,5.56')\n(Sun,138.327,(c)) (H5,168.255,(c)) (30-semisextile,4.35')\n(Moon,288.363,(c)) (H5,168.255,(c)) (trine,6.49')", "(Mercury,192.632,(p)) (H5,222.804,(p)) (30-semisextile,10.34')\n(Sun,137.539,(c)) (H5,167.383,(c)) (30-semisextile,9.34')", "(Uranus,316.688,(r)) (H1,106.693,(p)) (150-quincunx,0.32')", '10', '11', "(Moon,168.140,(c)) (H1,47.710,(c)) (trine,25.78')", '13', "(Venus,118.351,(r)) (H4,118.183,(c)) (conjunction,10.06')\n(Moon,35.747,(c)) (H1,35.807,(c)) (conjunction,3.59')", '15', "(Mean_Node,296.504,(r)) (H8,341.502,(p)) (45-semisquare,0.15')\n(Mean_Node,293.218,(p)) (POF,293.347,(p)) (conjunction,7.71')", 19]
['1916-09-06 23:15:44', '0', "(Uranus,316.356,(p)) (H9,256.180,(p)) (sextile,10.56')", "(Mean_Node,297.087,(c)) (H8,207.205,(c)) (square,7.07')", "(Moon,104.945,(p)) (H10,284.607,(p)) (opposition,20.25')", "(Saturn,118.951,(p)) (H1,29.059,(p)) (square,6.50')", "(Venus,118.170,(r)) (H3,88.217,(p)) (30-semisextile,2.86')\n(Sun,163.996,(r)) (H3,43.934,(c)) (trine,3.69')", "(Mean_Node,296.515,(r)) (H10,251.464,(c)) (45-semisquare,3.02')\n(Moon,304.400,(c)) (H12,304.481,(c)) (conjunction,4.89')", "(Venus,145.432,(p)) (H10,295.550,(p)) (150-quincunx,7.10')", "(Venus,146.329,(p)) (H4,116.260,(p)) (30-semisextile,4.14')\n(Mean_Node,295.052,(p)) (H5,144.934,(p)) (150-quincunx,7.04')\n(Moon,273.237,(c)) (H1,333.628,(c)) (sextile,23.45')", "(Moon,277.451,(r)) (H1,37.436,(p)) (trine,0.90')\n(H5,119.592,(r)) (H4,119.572,(p)) (conjunction,1.19')", "(Venus,95.427,(c)) (H10,245.348,(c)) (150-quincunx,4.69')", "(Jupiter,34.712,(c)) (H4,64.542,(c)) (30-semisextile,10.24')", "(Mean_Node,298.401,(c)) (H5,88.472,(c)) (150-quincunx,4.24')", "(Pluto,94.403,(p)) (H5,154.578,(p)) (sextile,10.51')", "(Uranus,318.481,(c)) (H5,78.549,(c)) (trine,4.09')", "(Uranus,315.809,(p)) (H8,270.707,(p)) (45-semisquare,6.11')", "(Pluto,94.272,(r)) (H8,274.423,(p)) (opposition,9.07')\n(Moon,22.804,(p)) (H1,68.050,(p)) (45-semisquare,14.78')\n(Mean_Node,293.229,(p)) (H1,68.050,(p)) (135-sesquisquare,10.71')\n(Saturn,116.883,(r)) (H1,296.712,(c)) (opposition,10.24')", 24]
['1916-09-06 13:09:59', '0', "(Mercury,190.205,(r)) (H1,220.127,(p)) (30-semisextile,4.67')", "(Mars,201.473,(c)) (H1,201.397,(c)) (conjunction,4.56')", "(Venus,131.296,(p)) (H9,101.144,(p)) (30-semisextile,9.15')", "(Mercury,190.205,(r)) (H1,190.026,(c)) (conjunction,10.70')", '5', '6', '7', '8', "(Venus,117.782,(r)) (H4,327.697,(p)) (150-quincunx,5.11')\n(Venus,150.049,(p)) (H5,359.879,(p)) (150-quincunx,10.21')", "(Moon,271.446,(r)) (H10,91.422,(c)) (opposition,1.43')", '11', "(Mean_Node,298.423,(c)) (H1,178.411,(c)) (trine,0.76')\n(Mean_Node,298.423,(c)) (H4,268.527,(c)) (30-semisextile,6.19')", "(Mercury,185.494,(p)) (H5,5.647,(p)) (opposition,9.13')\n(Mean_Node,296.537,(r)) (H5,296.389,(c)) (conjunction,8.90')", "(Moon,165.138,(p)) (H5,14.777,(p)) (150-quincunx,21.69')\n(Uranus,318.496,(c)) (H4,258.552,(c)) (sextile,3.36')", "(Venus,97.473,(c)) (H5,277.394,(c)) (opposition,4.69')", '16', 14]
['1916-09-06 19:28:55', '0', '1', "(Sun,163.843,(r)) (H8,164.018,(p)) (conjunction,10.49')\n(Mars,208.722,(r)) (H4,28.771,(c)) (opposition,2.93')", '3', "(Mean_Node,297.758,(c)) (H12,252.907,(c)) (45-semisquare,8.97')", "(Venus,143.580,(p)) (H1,323.688,(p)) (opposition,6.45')", "(Sun,188.801,(p)) (H1,323.975,(p)) (135-sesquisquare,10.47')", "(Mars,208.722,(r)) (H5,88.835,(p)) (trine,6.73')\n(Moon,268.977,(p)) (H5,88.835,(p)) (opposition,8.53')\n(Venus,145.261,(p)) (H7,145.270,(p)) (conjunction,0.59')\n(Mean_Node,295.104,(p)) (H7,145.270,(p)) (150-quincunx,10.02')\n(Moon,283.069,(c)) (H5,43.057,(c)) (trine,0.71')", "(Venus,146.157,(p)) (H1,326.116,(p)) (opposition,2.45')\n(Jupiter,35.028,(c)) (H1,274.852,(c)) (trine,10.56')", "(H5,66.648,(r)) (H4,66.726,(p)) (conjunction,4.69')\n(Mars,188.603,(c)) (H5,38.697,(c)) (150-quincunx,5.68')", "(Neptune,123.887,(r)) (H9,153.862,(c)) (30-semisextile,1.48')", "(Pluto,94.270,(r)) (H5,94.240,(p)) (conjunction,1.79')\n(Pluto,94.415,(p)) (H5,94.240,(p)) (conjunction,10.50')", "(Jupiter,34.535,(c)) (H5,34.640,(c)) (conjunction,6.34')", '13', "(Uranus,316.700,(r)) (H1,346.781,(p)) (30-semisextile,4.90')\n(Uranus,315.779,(p)) (H5,105.865,(p)) (150-quincunx,5.19')", '15', '16', 20]
['1916-09-07 03:01:12', "(Venus,118.314,(r)) (H3,118.376,(c)) (conjunction,3.69')\n(Mean_Node,296.506,(r)) (H4,146.588,(c)) (150-quincunx,4.93')\n(Mean_Node,296.571,(c)) (H4,146.588,(c)) (150-quincunx,1.02')", "(Venus,128.778,(p)) (H9,308.668,(p)) (opposition,6.58')\n(Uranus,316.351,(p)) (H1,76.439,(p)) (trine,5.27')\n(Moon,137.957,(c)) (H10,317.672,(c)) (opposition,17.09')", "(Moon,137.957,(c)) (H4,137.672,(c)) (conjunction,17.09')", "(Mercury,190.826,(r)) (H10,340.903,(p)) (150-quincunx,4.61')", '4', '5', '6', '7', '8', "(H4,147.741,(r)) (H5,147.695,(c)) (conjunction,2.79')", "(H10,327.741,(r)) (H9,327.908,(p)) (conjunction,10.00')\n(Venus,95.486,(c)) (H1,35.432,(c)) (sextile,3.25')", "(Jupiter,35.138,(r)) (H1,95.258,(p)) (sextile,7.20')\n(H5,179.919,(r)) (H4,179.927,(p)) (conjunction,0.52')", "(Moon,37.410,(p)) (H1,97.252,(p)) (sextile,9.46')\n(Venus,155.384,(p)) (H5,215.489,(p)) (sextile,6.26')", "(Venus,157.348,(p)) (H5,217.196,(p)) (sextile,9.12')", "(Uranus,316.689,(r)) (H1,106.593,(p)) (150-quincunx,5.79')", "(Mean_Node,296.506,(r)) (H7,296.517,(p)) (conjunction,0.66')\n(Pluto,94.273,(r)) (H4,94.195,(c)) (conjunction,4.68')", "(Moon,279.696,(r)) (POF,279.685,(p)) (conjunction,0.64')", 20]
['1916-09-06 09:09:44', '0', '1', "(Venus,117.629,(r)) (H4,252.509,(p)) (135-sesquisquare,7.21')", '3', '4', "(Mercury,190.023,(r)) (H1,129.936,(c)) (sextile,5.17')", "(Mercury,190.023,(r)) (H3,235.102,(p)) (45-semisquare,4.75')", "(Mean_Node,295.126,(p)) (H5,295.211,(p)) (conjunction,5.11')\n(Mercury,190.023,(r)) (H5,250.059,(c)) (sextile,2.18')", "(Mean_Node,296.546,(r)) (H4,266.502,(p)) (30-semisextile,2.61')", "(Moon,269.075,(r)) (H5,299.160,(p)) (30-semisextile,5.13')", '10', "(Pluto,94.265,(r)) (H5,244.159,(c)) (150-quincunx,6.39')", '12', "(Jupiter,35.168,(r)) (H1,185.068,(p)) (150-quincunx,6.00')\n(Pluto,94.265,(r)) (H5,304.343,(p)) (150-quincunx,4.66')\n(Pluto,94.405,(p)) (H5,304.343,(p)) (150-quincunx,3.73')\n(Mars,208.438,(r)) (H4,208.477,(c)) (conjunction,2.37')", "(Moon,163.066,(p)) (H4,282.718,(p)) (trine,20.91')\n(Moon,163.066,(p)) (H5,312.719,(p)) (150-quincunx,20.81')", '15', "(Mars,208.438,(r)) (H1,208.256,(p)) (conjunction,10.90')\n(Saturn,116.822,(r)) (H4,296.782,(p)) (opposition,2.45')\n(Mars,251.845,(p)) (H4,296.782,(p)) (45-semisquare,3.77')", 17]
['1916-09-06 16:47:19', '0', "(Moon,132.837,(c)) (H9,132.384,(c)) (conjunction,27.20')", "(Mean_Node,297.101,(c)) (H1,252.215,(c)) (45-semisquare,6.80')", '3', "(Mercury,190.368,(r)) (H1,280.381,(p)) (square,0.75')", '5', "(Sun,163.734,(r)) (H3,298.752,(c)) (135-sesquisquare,1.09')\n(Mars,208.648,(r)) (H3,298.752,(c)) (square,6.25')", "(Mars,208.648,(r)) (H7,58.728,(c)) (150-quincunx,4.83')\n(Mercury,151.317,(c)) (H5,1.422,(c)) (150-quincunx,6.30')", "(Venus,117.921,(r)) (H1,238.017,(c)) (trine,5.76')\n(Mean_Node,297.991,(c)) (H1,238.017,(c)) (sextile,1.53')", '9', "(Moon,203.576,(c)) (H1,233.868,(c)) (30-semisextile,17.53')\n(Moon,203.576,(c)) (H10,143.718,(c)) (sextile,8.54')", '11', '12', '13', '14', "(Mars,208.648,(r)) (H4,298.514,(c)) (square,8.07')", "(Pluto,94.269,(r)) (POF,274.309,(c)) (opposition,2.41')", 13]
['1916-09-06 23:24:56', '0', '1', '2', "(Uranus,316.694,(r)) (H10,286.752,(p)) (30-semisextile,3.48')", '4', "(Moon,308.739,(c)) (H1,338.959,(c)) (30-semisextile,13.21')\n(Venus,98.779,(c)) (H1,338.959,(c)) (trine,10.77')", "(Neptune,123.892,(r)) (H1,33.992,(p)) (square,6.05')\n(Mean_Node,296.514,(r)) (H10,296.651,(p)) (conjunction,8.22')", "(Jupiter,35.144,(r)) (H7,215.291,(p)) (opposition,8.83')\n(Mean_Node,296.514,(r)) (POF,116.347,(p)) (opposition,10.04')\n(Mean_Node,296.514,(r)) (H5,146.597,(p)) (150-quincunx,4.97')", "(Moon,277.542,(r)) (H5,97.658,(c)) (opposition,6.94')\n(Venus,97.523,(c)) (H5,97.658,(c)) (conjunction,8.08')", "(H5,121.853,(r)) (H4,121.792,(p)) (conjunction,3.70')\n(Pluto,94.272,(r)) (H5,94.313,(c)) (conjunction,2.49')", "(Moon,277.542,(r)) (H10,247.528,(c)) (30-semisextile,0.84')", "(Moon,2.674,(p)) (H5,152.944,(p)) (150-quincunx,16.26')", "(Moon,35.409,(p)) (H5,155.338,(p)) (trine,4.28')\n(Venus,155.216,(p)) (H5,155.338,(p)) (conjunction,7.32')\n(Jupiter,34.547,(c)) (H4,64.547,(c)) (30-semisextile,0.01')", "(Venus,157.179,(p)) (H5,157.105,(p)) (conjunction,4.44')", "(Uranus,316.694,(r)) (H5,166.766,(p)) (150-quincunx,4.29')\n(Uranus,315.779,(p)) (H4,135.771,(p)) (opposition,0.47')", "(Moon,326.655,(p)) (H4,146.984,(p)) (opposition,19.75')", '16', 21]
['1916-09-06 12:57:44', "(Venus,117.774,(r)) (H3,267.851,(p)) (150-quincunx,4.57')", "(Uranus,317.100,(c)) (H10,107.218,(c)) (150-quincunx,7.08')", "(Mars,215.769,(p)) (H4,305.824,(p)) (square,3.31')\n(Venus,108.439,(c)) (H1,198.396,(c)) (square,2.59')", "(Moon,99.893,(p)) (H1,219.812,(p)) (trine,4.87')", '4', "(Jupiter,35.162,(r)) (H1,185.191,(c)) (150-quincunx,1.76')\n(Jupiter,35.125,(c)) (H1,185.191,(c)) (150-quincunx,3.98')", '6', '7', '8', "(Mean_Node,296.537,(r)) (H5,356.637,(p)) (sextile,5.99')", '10', "(Mars,208.543,(r)) (H5,358.398,(p)) (150-quincunx,8.66')", '12', '13', "(Mercury,191.501,(p)) (H5,11.558,(p)) (opposition,3.45')", "(Pluto,93.200,(c)) (H8,3.120,(c)) (square,4.78')", '16', 11]
