['Time', '0: 1883-07-05', '1: 1895-01-24', '2: 1899-11-15', '3: 1898-12-01', '4: 1900-06-05', '5: 1909-07-11', '6: 1911-05-28', '7: 1914-10-07', '8: 1918-11-15', '9: 1921-06-29', '10: 1922-09-15', '11: 1941-12-12', '12: 1944-09-05', '13: 1953-06-24', '14: 1963-10-19', 'Count']
['1874-11-30 01:51:36', '0', "(Sun,247.734,(r)) (POF,67.581,(c)) (opposition,9.20')", '2', '3', '4', '5', '6', '7', '8', "(Saturn,309.595,(r)) (POF,129.543,(d)) (opposition,3.10')", '10', '11', '12', "(Saturn,309.595,(r)) (H1,129.597,(c)) (opposition,0.16')", '14', 3]
['1874-11-30 02:36:23', '0', '1', '2', '3', "(Venus,262.008,(r)) (H10,82.106,(c)) (opposition,5.93')", "(Pluto,51.424,(r)) (H5,351.411,(d)) (sextile,0.76')", '6', "(Jupiter,203.576,(r)) (H4,323.501,(d)) (trine,4.49')", '8', '9', '10', '11', "(Jupiter,203.576,(r)) (H1,143.490,(c)) (sextile,5.14')", '13', '14', 4]
['1874-11-30 01:33:59', '0', '1', "(Mercury,227.594,(r)) (H12,137.525,(c)) (square,4.14')", '3', '4', "(Mean_Node,24.367,(r)) (H1,204.545,(d)) (opposition,10.63')", '6', '7', '8', '9', '10', '11', "(Moon,149.651,(r)) (POF,149.767,(d)) (conjunction,6.98')", '13', '14', 3]
['1874-11-30 00:49:35', '0', '1', "(Pluto,51.425,(r)) (POF,51.248,(c)) (conjunction,10.63')", '3', '4', '5', '6', "(H5,296.975,(r)) (H4,297.010,(d)) (conjunction,2.07')", '8', '9', '10', "(Jupiter,203.562,(r)) (H10,143.521,(d)) (sextile,2.51')", '12', "(Moon,149.262,(r)) (POF,149.203,(d)) (conjunction,3.56')\n(Neptune,28.434,(r)) (H1,118.522,(c)) (square,5.25')", '14', 5]
['1874-11-30 00:34:56', '0', "(Neptune,28.434,(r)) (H8,28.548,(d)) (conjunction,6.84')", '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', "(Pluto,51.425,(r)) (H1,231.526,(d)) (opposition,6.03')", 2]
['1874-11-30 01:15:11', '0', '1', '2', '3', "(Neptune,28.434,(r)) (H9,28.387,(c)) (conjunction,2.79')", '5', '6', '7', '8', "(Saturn,309.593,(r)) (H4,309.662,(d)) (conjunction,4.17')", "(Mean_Node,24.368,(r)) (H1,144.397,(c)) (trine,1.71')", '11', '12', '13', '14', 3]
['1874-11-30 00:04:56', '0', '1', '2', "(Mercury,227.544,(r)) (H10,47.390,(c)) (opposition,9.25')", '4', '5', '6', '7', '8', "(Mean_Node,24.371,(r)) (H4,204.483,(c)) (opposition,6.72')", '10', '11', '12', '13', '14', 2]
['1874-11-30 01:24:47', '0', '1', '2', '3', '4', '5', "(Mean_Node,24.368,(r)) (H1,204.227,(d)) (opposition,8.43')", '7', '8', '9', '10', '11', '12', '13', '14', 1]
['1874-11-30 01:39:19', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', "(Mercury,227.597,(r)) (H1,227.737,(d)) (conjunction,8.41')\n(Uranus,135.229,(r)) (H1,135.404,(c)) (conjunction,10.47')", '12', '13', '14', 2]
['1874-11-30 01:40:56', '0', '1', '2', '3', '4', '5', '6', '7', '8', "(Moon,149.711,(r)) (H1,149.716,(c)) (conjunction,0.28')", '10', '11', '12', "(Saturn,309.594,(r)) (H12,219.646,(d)) (square,3.11')\n(Mars,196.554,(r)) (H10,16.508,(c)) (opposition,2.75')", '14', 3]
