Row 1: {'time': '1874-11-30 01:51:36', 'sum_all_m': 12}
Row 2: {'time': '1874-11-30 02:36:23', 'sum_all_m': 15}
Row 3: {'time': '1874-11-30 01:33:59', 'sum_all_m': 15}
Row 4: {'time': '1874-11-30 00:49:35', 'sum_all_m': 8}
Row 5: {'time': '1874-11-30 00:34:56', 'sum_all_m': 15}
Row 6: {'time': '1874-11-30 01:15:11', 'sum_all_m': 17}
Row 7: {'time': '1874-11-30 00:04:56', 'sum_all_m': 17}
Row 8: {'time': '1874-11-30 01:24:47', 'sum_all_m': 10}
Row 9: {'time': '1874-11-30 01:39:19', 'sum_all_m': 7}
Row 10: {'time': '1874-11-30 01:40:56', 'sum_all_m': 11}
Row 11: {'time': '1874-11-30 00:20:16', 'sum_all_m': 13}
Row 12: {'time': '1874-11-30 00:55:28', 'sum_all_m': 18}
Row 13: {'time': '1874-11-30 01:37:59', 'sum_all_m': 13}
Row 14: {'time': '1874-11-30 02:34:24', 'sum_all_m': 15}
Row 15: {'time': '1874-11-30 02:25:52', 'sum_all_m': 16}
Row 16: {'time': '1874-11-30 00:42:24', 'sum_all_m': 21}
Row 17: {'time': '1874-11-30 01:29:44', 'sum_all_m': 10}
Row 18: {'time': '1874-11-30 02:06:24', 'sum_all_m': 7}
Row 19: {'time': '1874-11-30 01:54:15', 'sum_all_m': 13}
Row 20: {'time': '1874-11-30 00:30:08', 'sum_all_m': 14}
Row 21: {'time': '1874-11-30 00:53:12', 'sum_all_m': 17}
Row 22: {'time': '1874-11-30 01:48:23', 'sum_all_m': 16}
Row 23: {'time': '1874-11-30 01:56:07', 'sum_all_m': 14}
Row 24: {'time': '1874-11-30 00:11:28', 'sum_all_m': 18}
Row 25: {'time': '1874-11-30 00:26:23', 'sum_all_m': 20}
Row 26: {'time': '1874-11-30 00:00:00', 'sum_all_m': 13}
Row 27: {'time': '1874-11-30 02:17:04', 'sum_all_m': 11}
Row 28: {'time': '1874-11-30 01:35:04', 'sum_all_m': 18}
Row 29: {'time': '1874-11-30 00:52:08', 'sum_all_m': 20}
Row 30: {'time': '1874-11-30 00:21:52', 'sum_all_m': 13}
Row 31: {'time': '1874-11-30 01:22:23', 'sum_all_m': 16}
Row 32: {'time': '1874-11-30 00:44:39', 'sum_all_m': 16}
Row 33: {'time': '1874-11-30 00:09:28', 'sum_all_m': 17}
Row 34: {'time': '1874-11-30 00:32:47', 'sum_all_m': 11}
Row 35: {'time': '1874-11-30 02:14:47', 'sum_all_m': 11}
Row 36: {'time': '1874-11-30 02:40:32', 'sum_all_m': 18}
Row 37: {'time': '1874-11-30 01:10:07', 'sum_all_m': 11}
Row 38: {'time': '1874-11-30 00:23:12', 'sum_all_m': 20}
Row 39: {'time': '1874-11-30 01:46:39', 'sum_all_m': 8}
Row 40: {'time': '1874-11-30 00:39:19', 'sum_all_m': 13}
Row 41: {'time': '1874-11-30 00:14:31', 'sum_all_m': 14}
Row 42: {'time': '1874-11-30 00:24:23', 'sum_all_m': 17}
Row 43: {'time': '1874-11-30 01:12:31', 'sum_all_m': 18}
Row 44: {'time': '1874-11-30 00:47:35', 'sum_all_m': 19}
Row 45: {'time': '1874-11-30 00:17:12', 'sum_all_m': 18}
Row 46: {'time': '1874-11-30 02:59:12', 'sum_all_m': 17}
Row 47: {'time': '1874-11-30 02:57:36', 'sum_all_m': 11}
Row 48: {'time': '1874-11-30 02:29:12', 'sum_all_m': 12}
Row 49: {'time': '1874-11-30 02:51:20', 'sum_all_m': 13}
Row 50: {'time': '1874-11-30 02:18:56', 'sum_all_m': 10}
Row 51: {'time': '1874-11-30 01:20:39', 'sum_all_m': 14}
Row 52: {'time': '1874-11-30 02:13:12', 'sum_all_m': 15}
Row 53: {'time': '1874-11-30 01:08:31', 'sum_all_m': 12}
Row 54: {'time': '1874-11-30 02:03:44', 'sum_all_m': 11}
Row 55: {'time': '1874-11-30 02:00:32', 'sum_all_m': 17}
Row 56: {'time': '1874-11-30 02:47:52', 'sum_all_m': 13}
Row 57: {'time': '1874-11-30 01:23:43', 'sum_all_m': 14}
Row 58: {'time': '1874-11-30 02:43:36', 'sum_all_m': 12}
Row 59: {'time': '1874-11-30 01:44:23', 'sum_all_m': 18}
Row 60: {'time': '1874-11-30 01:32:07', 'sum_all_m': 13}
Row 61: {'time': '1874-11-30 01:02:55', 'sum_all_m': 15}
Row 62: {'time': '1874-11-30 01:13:51', 'sum_all_m': 18}
Row 63: {'time': '1874-11-30 02:55:36', 'sum_all_m': 20}
Row 64: {'time': '1874-11-30 02:11:04', 'sum_all_m': 17}
Row 65: {'time': '1874-11-30 02:02:00', 'sum_all_m': 17}
Row 66: {'time': '1874-11-30 02:21:44', 'sum_all_m': 27}
Row 67: {'time': '1874-11-30 02:10:00', 'sum_all_m': 15}
Row 68: {'time': '1874-11-30 00:57:44', 'sum_all_m': 14}
Row 69: {'time': '1874-11-30 02:45:36', 'sum_all_m': 16}
Row 70: {'time': '1874-11-30 01:18:15', 'sum_all_m': 9}
Row 71: {'time': '1874-11-30 02:49:36', 'sum_all_m': 13}
Row 72: {'time': '1874-11-30 01:00:31', 'sum_all_m': 12}
Row 73: {'time': '1874-11-30 02:08:08', 'sum_all_m': 12}
Row 74: {'time': '1874-11-30 02:32:56', 'sum_all_m': 10}
Row 75: {'time': '1874-11-30 00:01:20', 'sum_all_m': 11}
Row 76: {'time': '1874-11-30 02:53:36', 'sum_all_m': 13}
