['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 02:48:23', "(Venus,59.669,(r)) (H10,239.589,(c)) (opposition,4.81')", "(Mean_Node,134.344,(r)) (H8,314.400,(d)) (opposition,3.34')\n(Sun,60.563,(r)) (Mars,240.628,(c)) (opposition,3.86')\n(Sun,60.563,(r)) (POF,240.518,(c)) (opposition,2.74')", "(POF,305.107,(r)) (Mean_Node,125.055,(c)) (opposition,3.11')", "(H7,229.781,(r)) (Mean_Node,109.778,(c)) (trine,0.15')", '4', "(Mars,303.867,(r)) (Neptune,213.871,(c)) (square,0.20')\n(Pluto,350.506,(r)) (Uranus,170.386,(c)) (opposition,7.21')\n(Pluto,350.506,(r)) (H4,80.524,(c)) (square,1.09')", '6', "(Neptune,254.573,(r)) (H4,164.525,(d)) (square,2.86')", '8', '9', 10]
['1813-05-22 21:45:44', "(H7,95.797,(r)) (Mercury,335.761,(c)) (trine,2.13')", "(Sun,61.322,(r)) (Mars,61.211,(d)) (conjunction,6.62')", "(Saturn,288.894,(r)) (Pluto,18.877,(d)) (square,1.00')", "(Venus,60.640,(r)) (Mercury,60.808,(d)) (conjunction,10.10')\n(Jupiter,123.802,(r)) (H10,243.744,(d)) (trine,3.48')", "(Jupiter,123.802,(r)) (H7,123.802,(d)) (conjunction,0.03')", "(Neptune,254.553,(r)) (H4,74.402,(d)) (opposition,9.00')", "(Mercury,36.452,(r)) (Mars,36.368,(d)) (conjunction,5.05')", "(H4,41.374,(r)) (Mean_Node,221.537,(d)) (opposition,9.81')", "(Pluto,350.515,(r)) (H5,110.594,(d)) (trine,4.78')", '9', 10]
['1813-05-22 20:47:12', "(Moon,325.561,(r)) (H10,145.558,(c)) (opposition,0.20')", "(Neptune,254.554,(r)) (Moon,254.498,(c)) (conjunction,3.36')", "(Uranus,235.712,(r)) (Mean_Node,145.706,(d)) (square,0.37')\n(Jupiter,123.796,(r)) (Mean_Node,123.845,(c)) (conjunction,2.91')", '3', '4', "(Venus,60.590,(r)) (H4,60.563,(d)) (conjunction,1.61')\n(Mean_Node,134.304,(r)) (Pluto,44.332,(d)) (square,1.65')", '6', "(Jupiter,123.796,(r)) (Mean_Node,213.753,(d)) (square,2.57')", "(Mercury,36.405,(r)) (H5,96.328,(d)) (sextile,4.59')\n(H5,49.161,(r)) (Sun,109.147,(d)) (sextile,0.84')\n(Sun,61.283,(r)) (H5,1.195,(c)) (sextile,5.28')", "(Pluto,350.514,(r)) (Venus,110.485,(d)) (trine,1.72')", 11]
['1813-05-22 08:00:47', "(Moon,318.671,(r)) (H7,258.695,(c)) (sextile,1.45')", '1', "(Neptune,254.567,(r)) (Pluto,344.652,(c)) (square,5.05')", '3', '4', "(Moon,318.671,(r)) (H4,228.740,(d)) (square,4.14')", "(Uranus,235.735,(r)) (Sun,355.742,(c)) (trine,0.45')", "(Jupiter,123.717,(r)) (Pluto,303.737,(c)) (opposition,1.25')", '8', "(Mean_Node,134.333,(r)) (H4,134.430,(c)) (conjunction,5.86')", 6]
['1813-05-22 07:09:51', "(Venus,59.892,(r)) (Mean_Node,179.876,(d)) (trine,0.95')", "(Neptune,254.568,(r)) (H1,164.543,(d)) (square,1.52')\n(Saturn,288.916,(r)) (H10,289.061,(c)) (conjunction,8.69')\n(Uranus,235.736,(r)) (Sun,325.802,(c)) (square,3.96')\n(Mean_Node,134.334,(r)) (H1,44.329,(c)) (square,0.34')", "(Moon,318.216,(r)) (H8,318.378,(d)) (conjunction,9.70')\n(Pluto,350.508,(r)) (H10,350.347,(c)) (conjunction,9.65')", "(H7,295.990,(r)) (Mean_Node,116.004,(c)) (opposition,0.85')\n(H10,359.315,(r)) (Moon,299.399,(c)) (sextile,5.06')", "(Jupiter,123.711,(r)) (H5,243.720,(d)) (trine,0.51')\n(Uranus,235.736,(r)) (Mean_Node,115.696,(c)) (trine,2.40')", '5', "(Mars,303.938,(r)) (Pluto,304.032,(c)) (conjunction,5.66')", "(Mean_Node,134.334,(r)) (POF,314.225,(c)) (opposition,6.57')", "(Moon,318.216,(r)) (Jupiter,78.175,(c)) (trine,2.49')", '9', 14]
['1813-05-22 04:57:51', "(Mars,303.902,(r)) (H5,243.903,(d)) (sextile,0.02')", "(Mars,303.902,(r)) (Sun,123.751,(d)) (opposition,9.07')", '2', "(H10,323.962,(r)) (Jupiter,143.835,(d)) (opposition,7.64')", "(Jupiter,123.698,(r)) (H7,243.628,(c)) (trine,4.15')", "(Moon,317.040,(r)) (Saturn,316.941,(d)) (conjunction,5.94')\n(Moon,317.040,(r)) (H1,46.952,(c)) (square,5.32')", '6', "(Pluto,350.507,(r)) (Mars,350.329,(d)) (conjunction,10.66')\n(Pluto,350.507,(r)) (Jupiter,170.484,(d)) (opposition,1.34')", "(Moon,317.040,(r)) (Mercury,316.900,(c)) (conjunction,8.42')", '9', 9]
['1813-05-21 23:51:44', "(Jupiter,123.666,(r)) (H10,303.661,(d)) (opposition,0.30')\n(Pluto,350.504,(r)) (Jupiter,230.595,(d)) (trine,5.47')\n(Moon,314.324,(r)) (H10,194.233,(c)) (trine,5.48')", '1', '2', "(Venus,59.518,(r)) (POF,239.363,(d)) (opposition,9.29')\n(Mercury,35.412,(r)) (Venus,35.238,(c)) (conjunction,10.42')", '4', "(H8,196.131,(r)) (Neptune,286.088,(d)) (square,2.53')", "(Sun,60.445,(r)) (H1,60.276,(d)) (conjunction,10.16')\n(Mean_Node,134.351,(r)) (POF,134.215,(c)) (conjunction,8.15')", "(H5,89.196,(r)) (POF,269.215,(d)) (opposition,1.15')\n(Neptune,254.576,(r)) (Mars,254.625,(c)) (conjunction,2.94')", '8', "(Jupiter,123.666,(r)) (Mean_Node,243.633,(d)) (trine,1.95')\n(Moon,314.324,(r)) (H1,254.374,(c)) (sextile,3.02')\n(Mean_Node,134.351,(r)) (H1,254.374,(c)) (trine,1.42')", 13]
['1813-05-22 21:23:44', '0', '1', "(Pluto,350.514,(r)) (Neptune,260.425,(d)) (square,5.39')\n(POF,175.115,(r)) (Pluto,355.284,(c)) (opposition,10.10')", '3', '4', "(H1,270.530,(r)) (Venus,90.554,(d)) (opposition,1.40')", '6', '7', "(Mean_Node,134.303,(r)) (Venus,14.298,(c)) (trine,0.33')", '9', 4]
['1813-05-22 14:46:31', "(Venus,60.282,(r)) (Mars,0.332,(d)) (sextile,2.98')", "(Mars,304.060,(r)) (POF,34.102,(c)) (square,2.49')", '2', "(Mean_Node,134.318,(r)) (H10,134.174,(d)) (conjunction,8.62')", "(H7,16.833,(r)) (Mercury,16.837,(c)) (conjunction,0.29')", "(Pluto,350.511,(r)) (H4,260.548,(c)) (square,2.20')", '6', "(Mars,304.060,(r)) (Neptune,303.887,(d)) (conjunction,10.41')\n(Jupiter,123.759,(r)) (Neptune,303.887,(d)) (opposition,7.70')\n(Neptune,254.560,(r)) (H4,344.551,(d)) (square,0.56')\n(H7,16.833,(r)) (Venus,106.905,(d)) (square,4.37')", "(Jupiter,123.759,(r)) (Pluto,303.604,(c)) (opposition,9.26')", "(Uranus,235.723,(r)) (H1,235.644,(d)) (conjunction,4.74')", 11]
['1813-05-22 12:50:47', "(Mercury,36.024,(r)) (H7,36.061,(d)) (conjunction,2.24')\n(H10,85.263,(r)) (Mean_Node,85.375,(c)) (conjunction,6.72')", "(Neptune,254.562,(r)) (H8,74.615,(d)) (opposition,3.19')", "(Pluto,350.510,(r)) (H1,170.533,(c)) (opposition,1.38')", "(Moon,321.266,(r)) (H5,321.382,(d)) (conjunction,6.96')", "(Jupiter,123.747,(r)) (H10,63.681,(c)) (sextile,3.93')", '5', '6', "(Mean_Node,134.322,(r)) (H4,314.291,(d)) (opposition,1.88')\n(Venus,60.183,(r)) (Saturn,240.195,(c)) (opposition,0.71')\n(POF,76.653,(r)) (Mars,256.816,(c)) (opposition,9.74')", '8', '9', 9]
