['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 02:48:23', '0', '1', "(H8,255.434,(r)) (Moon,75.787,(p)) (opposition,21.16')", "(H5,134.233,(r)) (Moon,14.276,(c)) (trine,2.58')\n(Venus,31.199,(c)) (H10,271.184,(c)) (trine,0.91')", "(H5,134.233,(r)) (Mercury,74.125,(p)) (sextile,6.44')\n(Venus,30.727,(c)) (H10,270.851,(c)) (trine,7.45')", '5', '6', '7', "(POF,305.107,(r)) (H1,305.216,(c)) (conjunction,6.52')", "(H5,134.233,(r)) (Jupiter,134.141,(p)) (conjunction,5.52')", 7]
['1813-05-22 21:45:44', "(Moon,292.161,(c)) (H7,52.648,(c)) (trine,29.22')", "(Neptune,254.553,(r)) (H8,74.583,(c)) (opposition,1.80')", "(Moon,224.109,(c)) (H8,133.645,(c)) (square,27.83')", '3', "(Mean_Node,135.547,(c)) (H7,75.715,(c)) (sextile,10.05')", "(H8,145.573,(r)) (Moon,235.707,(c)) (square,8.03')", "(Sun,110.879,(p)) (H5,111.014,(p)) (conjunction,8.10')", "(H4,41.374,(r)) (Mars,311.448,(p)) (square,4.46')\n(Uranus,235.711,(r)) (H7,55.612,(c)) (opposition,5.93')", '8', '9', 8]
['1813-05-22 20:47:12', "(H7,82.466,(r)) (Mercury,22.586,(c)) (sextile,7.25')", '1', '2', '3', "(H10,206.169,(r)) (Mercury,26.056,(c)) (opposition,6.79')", "(Pluto,349.940,(c)) (H4,350.097,(c)) (conjunction,9.42')", '6', "(H8,125.260,(r)) (Venus,125.300,(p)) (conjunction,2.43')", '8', "(POF,166.744,(r)) (Moon,346.267,(p)) (opposition,28.62')\n(Sun,61.283,(r)) (H5,1.218,(c)) (sextile,3.91')", 6]
['1813-05-22 08:00:47', '0', '1', '2', '3', '4', '5', "(H4,193.197,(r)) (Jupiter,133.309,(p)) (sextile,6.74')", "(Neptune,253.242,(p)) (H7,343.292,(p)) (square,3.00')", "(Moon,309.274,(p)) (H4,249.104,(p)) (sextile,10.19')", "(Mean_Node,131.365,(p)) (H4,251.281,(p)) (trine,5.05')", 4]
['1813-05-22 07:09:51', '0', "(H8,311.889,(r)) (Moon,132.230,(c)) (opposition,20.45')\n(Neptune,255.561,(c)) (H8,255.633,(c)) (conjunction,4.29')", "(H8,311.889,(r)) (POF,131.910,(p)) (opposition,1.23')\n(Pluto,350.402,(c)) (H10,350.289,(c)) (conjunction,6.76')", "(Mean_Node,133.110,(p)) (H7,312.942,(p)) (opposition,10.08')", "(Mean_Node,133.090,(p)) (H7,313.222,(p)) (opposition,7.93')", '5', '6', "(Uranus,235.736,(r)) (H4,235.888,(p)) (conjunction,9.12')", '8', '9', 7]
['1813-05-22 04:57:51', "(Mean_Node,134.339,(r)) (H7,314.393,(p)) (opposition,3.21')\n(Jupiter,134.418,(p)) (H7,314.393,(p)) (opposition,1.54')", '1', "(H8,285.258,(r)) (POF,105.161,(p)) (opposition,5.79')", "(Moon,266.261,(p)) (H5,206.086,(p)) (sextile,10.51')\n(Mercury,26.171,(c)) (H5,146.035,(c)) (trine,8.12')", '4', "(Neptune,254.571,(r)) (H8,254.542,(c)) (conjunction,1.73')", "(Sun,60.650,(r)) (H5,240.688,(p)) (opposition,2.30')\n(Moon,356.161,(c)) (H5,115.986,(c)) (trine,10.51')", "(Mean_Node,134.339,(r)) (POF,314.413,(p)) (opposition,4.40')\n(Uranus,235.740,(r)) (H8,235.644,(c)) (conjunction,5.74')\n(Pluto,350.507,(r)) (POF,350.363,(c)) (conjunction,8.62')", "(H1,89.196,(r)) (Moon,329.564,(c)) (trine,22.08')", '9', 12]
['1813-05-21 23:51:44', "(POF,306.146,(p)) (H10,305.971,(p)) (conjunction,10.51')", '1', '2', "(Jupiter,127.537,(p)) (H7,187.570,(p)) (sextile,2.01')", "(Mercury,73.869,(p)) (POF,193.886,(p)) (trine,1.03')", "(Mars,303.820,(r)) (H1,33.960,(p)) (square,8.41')", '6', "(H4,71.105,(r)) (Moon,341.547,(c)) (square,26.51')", '8', '9', 5]
['1813-05-22 21:23:44', '0', "(Uranus,235.711,(r)) (H10,145.754,(c)) (square,2.55')", "(Mean_Node,134.303,(r)) (H10,224.349,(p)) (square,2.74')", "(Jupiter,127.701,(p)) (POF,127.742,(p)) (conjunction,2.41')", '4', '5', '6', "(POF,175.115,(r)) (Moon,354.583,(c)) (opposition,31.96')", '8', '9', 4]
['1813-05-22 14:46:31', '0', '1', '2', "(Jupiter,120.836,(c)) (H7,0.912,(c)) (trine,4.53')", "(Jupiter,120.798,(c)) (H7,0.655,(c)) (trine,8.59')", "(H1,196.833,(r)) (Saturn,286.945,(p)) (square,6.75')", '6', "(Moon,322.306,(r)) (POF,142.352,(c)) (opposition,2.75')\n(POF,98.096,(r)) (Mars,277.981,(c)) (opposition,6.91')", "(Uranus,235.723,(r)) (H1,235.664,(p)) (conjunction,3.56')", '9', 6]
['1813-05-22 12:50:47', "(Moon,321.266,(r)) (H10,141.263,(p)) (opposition,0.23')\n(Uranus,233.983,(p)) (H5,354.140,(p)) (trine,9.46')", "(Uranus,237.901,(c)) (H8,327.718,(c)) (square,10.97')", "(Pluto,350.510,(r)) (H1,170.492,(c)) (opposition,1.08')\n(Pluto,350.405,(c)) (H1,170.492,(c)) (opposition,5.24')", "(Mean_Node,133.097,(p)) (H7,13.066,(p)) (trine,1.85')", "(Jupiter,123.747,(r)) (H10,63.922,(c)) (sextile,10.51')", '5', "(H5,301.273,(r)) (Moon,1.021,(c)) (sextile,15.10')\n(Mean_Node,137.070,(c)) (H5,256.927,(c)) (trine,8.54')", "(Moon,321.266,(r)) (H7,321.319,(c)) (conjunction,3.17')\n(H4,265.263,(r)) (Venus,355.226,(c)) (square,2.23')", '8', '9', 11]
