['Time', '0: 2017-01-31', '1: 2018-10-10', '2: 2018-04-15', '3: 2018-01-28', '4: 2016-10-05', '5: 2016-01-28', '6: 2015-11-04', '7: 2015-03-27', '8: 2015-03-16', '9: 2011-12-07', 'Count']
['2000-03-11 07:39:11', '0', "(H10,309.675,(r)) (Venus,309.560,(c)) (conjunction,6.95')", '2', '3', '4', "(Sun,351.041,(r)) (H1,51.008,(d)) (sextile,1.97')", '6', "(Moon,55.267,(r)) (H10,295.330,(c)) (trine,3.76')", "(Moon,55.267,(r)) (H10,295.358,(c)) (trine,5.45')", "(Venus,327.326,(r)) (H1,27.275,(c)) (sextile,3.07')", 5]
['2000-03-11 08:40:00', '0', "(Jupiter,34.719,(r)) (H1,34.746,(c)) (conjunction,1.59')", "(H1,50.652,(r)) (Jupiter,50.677,(d)) (conjunction,1.52')", "(H1,50.652,(r)) (Jupiter,50.492,(d)) (conjunction,9.55')", '4', '5', '6', '7', '8', '9', 3]
['2000-03-11 13:46:23', '0', "(H3,196.536,(r)) (Moon,76.473,(d)) (trine,3.74')", '2', '3', '4', "(H1,121.742,(r)) (Uranus,301.628,(c)) (opposition,6.89')", "(H1,121.742,(r)) (Uranus,301.874,(c)) (opposition,7.90')", "(Mercury,333.348,(r)) (H3,213.321,(d)) (trine,1.61')", "(Mercury,333.348,(r)) (H3,213.288,(d)) (trine,3.58')\n(Uranus,318.712,(r)) (H1,138.880,(d)) (opposition,10.12')", "(Jupiter,34.763,(r)) (H10,34.874,(c)) (conjunction,6.68')", 7]
['2000-03-11 10:27:19', '0', '1', '2', "(Jupiter,34.735,(r)) (H10,334.788,(c)) (sextile,3.20')", '4', '5', '6', '7', '8', '9', 1]
['2000-03-11 07:14:55', '0', '1', '2', '3', '4', "(H10,303.719,(r)) (Uranus,303.668,(c)) (conjunction,3.10')", "(H10,303.719,(r)) (Uranus,303.886,(c)) (conjunction,10.01')", '7', '8', '9', 2]
['2000-03-11 12:09:04', "(H3,168.028,(r)) (Venus,347.994,(d)) (opposition,2.04')", '1', "(Venus,327.557,(r)) (H3,147.705,(c)) (opposition,8.84')", '3', '4', '5', '6', '7', '8', "(Jupiter,34.749,(r)) (H9,334.725,(c)) (sextile,1.43')", 3]
['2000-03-11 15:29:12', '0', '1', "(Moon,59.841,(r)) (POF,239.835,(d)) (opposition,0.33')", "(Venus,327.729,(r)) (H10,87.766,(d)) (trine,2.21')", '4', '5', '6', '7', '8', '9', 2]
['2000-03-11 11:49:12', "(H3,162.259,(r)) (Moon,42.205,(c)) (trine,3.21')", '1', "(Jupiter,34.746,(r)) (H10,34.902,(d)) (conjunction,9.31')\n(Uranus,318.707,(r)) (POF,138.827,(c)) (opposition,7.16')", "(Jupiter,34.746,(r)) (H10,34.687,(d)) (conjunction,3.58')", "(Mercury,333.377,(r)) (H10,33.345,(d)) (sextile,1.90')\n(Mean_Node,121.334,(r)) (H3,181.313,(d)) (sextile,1.24')", '5', '6', '7', '8', '9', 6]
['2000-03-11 09:58:56', '0', "(POF,133.199,(r)) (Mercury,313.189,(c)) (opposition,0.57')", '2', "(Venus,327.446,(r)) (H10,327.317,(c)) (conjunction,7.71')", "(H10,346.033,(r)) (Venus,345.894,(d)) (conjunction,8.34')", '5', "(H1,67.710,(r)) (Sun,7.750,(d)) (sextile,2.40')\n(H3,131.767,(r)) (Venus,311.732,(c)) (opposition,2.14')", "(Moon,56.626,(r)) (H3,116.716,(c)) (sextile,5.42')", '8', '9', 6]
['2000-03-11 05:48:23', "(Venus,327.231,(r)) (H3,87.177,(d)) (trine,3.20')", '1', '2', '3', "(H10,283.200,(r)) (Venus,343.185,(d)) (sextile,0.94')\n(H3,72.002,(r)) (Venus,311.945,(c)) (trine,3.40')", '5', "(H1,12.866,(r)) (Venus,312.789,(c)) (sextile,4.63')", '7', '8', "(Mean_Node,121.347,(r)) (H9,241.389,(c)) (trine,2.49')", 5]
