['Time', '0: 2017-01-31', '1: 2018-10-10', '2: 2018-04-15', '3: 2018-01-28', '4: 2016-10-05', '5: 2016-01-28', '6: 2015-11-04', '7: 2015-03-27', '8: 2015-03-16', '9: 2011-12-07', 'Count']
['2000-03-11 07:39:11', "(H1,37.433,(r)) (Moon,37.412,(dp)) (conjunction,1.26')\n(H3,97.424,(r)) (Moon,37.412,(dp)) (sextile,0.72')", "(POF,101.660,(r)) (Moon,281.254,(dr)) (opposition,24.37')\n(H10,309.675,(r)) (Mercury,9.692,(dp)) (sextile,0.98')", '2', '3', '4', '5', '6', '7', '8', '9', 4]
['2000-03-11 08:40:00', "(H3,111.868,(r)) (Mean_Node,171.830,(dp)) (sextile,2.30')\n(H3,111.868,(r)) (Mean_Node,171.924,(dr)) (sextile,3.38')", "(POF,115.427,(r)) (Moon,295.510,(dp)) (opposition,4.96')", '2', "(H3,111.868,(r)) (Moon,172.155,(dp)) (sextile,17.21')", "(H3,111.868,(r)) (Mean_Node,171.847,(dp)) (sextile,1.25')\n(H3,111.868,(r)) (Mean_Node,171.907,(dr)) (sextile,2.37')\n(H10,325.079,(r)) (Venus,325.250,(cr)) (conjunction,10.26')", "(H3,111.868,(r)) (Moon,231.941,(dr)) (trine,4.41')", '6', "(H3,111.868,(r)) (Moon,231.582,(cr)) (trine,17.16')", "(H3,111.868,(r)) (Moon,232.020,(cr)) (trine,9.11')", '9', 10]
['2000-03-11 13:46:23', '0', "(POF,189.287,(r)) (Moon,188.970,(cr)) (conjunction,19.00')", "(POF,189.287,(r)) (Mercury,9.374,(dp)) (opposition,5.25')\n(POF,189.287,(r)) (Mercury,9.121,(dr)) (opposition,9.91')", '3', '4', "(POF,189.287,(r)) (Mercury,9.204,(cp)) (opposition,4.94')", '6', '7', '8', '9', 4]
['2000-03-11 10:27:19', '0', '1', '2', '3', '4', "(H1,73.899,(r)) (Jupiter,133.833,(dr)) (sextile,3.99')", "(H1,73.899,(r)) (Jupiter,133.705,(dp)) (sextile,11.63')\n(H1,73.899,(r)) (Jupiter,133.813,(dr)) (sextile,5.16')", "(H1,73.899,(r)) (Jupiter,133.756,(dp)) (sextile,8.59')\n(H1,73.899,(r)) (Jupiter,133.763,(dr)) (sextile,8.18')\n(H10,353.753,(r)) (Moon,233.845,(cp)) (trine,5.50')", "(H1,73.899,(r)) (Jupiter,133.758,(dp)) (sextile,8.44')\n(H1,73.899,(r)) (Jupiter,133.760,(dr)) (sextile,8.33')", '9', 8]
['2000-03-11 07:14:55', '0', '1', '2', '3', "(H1,32.108,(r)) (Moon,32.317,(dp)) (conjunction,12.58')", "(H10,303.719,(r)) (Moon,243.690,(cp)) (sextile,1.75')", '6', '7', '8', "(H1,32.108,(r)) (Mercury,332.269,(cp)) (sextile,9.67')\n(H1,32.108,(r)) (Moon,31.850,(cr)) (conjunction,15.45')\n(H9,271.800,(r)) (Moon,31.850,(cr)) (trine,2.99')", 5]
['2000-03-11 12:09:04', "(H3,168.028,(r)) (Jupiter,168.009,(dr)) (conjunction,1.15')", '1', '2', "(H10,21.391,(r)) (Jupiter,201.344,(dp)) (opposition,2.79')\n(H10,21.391,(r)) (Jupiter,201.515,(dr)) (opposition,7.44')\n(H1,96.954,(r)) (Mercury,336.831,(cr)) (trine,7.39')", "(H3,168.028,(r)) (Jupiter,167.967,(dr)) (conjunction,3.64')", '5', '6', '7', '8', '9', 5]
['2000-03-11 15:29:12', '0', "(H3,225.164,(r)) (Moon,285.117,(dr)) (sextile,2.82')", '2', "(H1,152.759,(r)) (Moon,152.804,(dr)) (conjunction,2.70')\n(H10,71.476,(r)) (Venus,11.635,(dp)) (sextile,9.54')", '4', '5', '6', '7', '8', "(H10,71.476,(r)) (Venus,311.400,(dr)) (trine,4.55')\n(H1,152.759,(r)) (Mercury,332.810,(cp)) (opposition,3.08')", 5]
['2000-03-11 11:49:12', "(H3,162.259,(r)) (Mercury,342.130,(dp)) (opposition,7.72')", '1', '2', "(H1,92.289,(r)) (Moon,332.202,(cp)) (trine,5.25')", '4', "(H10,16.051,(r)) (Moon,256.126,(dp)) (trine,4.51')", '6', '7', '8', '9', 3]
['2000-03-11 09:58:56', '0', '1', '2', "(H3,131.767,(r)) (Venus,11.714,(dp)) (trine,3.18')", '4', '5', "(H3,131.767,(r)) (Moon,252.059,(dp)) (trine,17.47')", "(H1,67.710,(r)) (Mercury,7.730,(cp)) (sextile,1.16')\n(H1,67.710,(r)) (Mercury,7.601,(cr)) (sextile,6.54')", "(H1,67.710,(r)) (Mercury,7.684,(cp)) (sextile,1.58')\n(H1,67.710,(r)) (Mercury,7.648,(cr)) (sextile,3.72')", '9', 6]
['2000-03-11 05:48:23', '0', '1', '2', '3', '4', "(H1,12.866,(r)) (Moon,252.869,(dp)) (trine,0.18')", '6', '7', '8', "(H1,12.866,(r)) (Venus,312.681,(dp)) (sextile,11.07')", 2]
