Row 1: {'time': '2000-03-11 07:49:19', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_allm': 4, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_allm': 3, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 2, 'p_p_allm': 5, 'e': 6, 'all_conj': 6, 'all_maj': 8, 'a_p_p_a_conj': 1, 'all_m': 14}
Row 2: {'time': '2000-03-11 05:35:44', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_allm': 3, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 3, 'p_p_allm': 6, 'e': 7, 'all_conj': 7, 'all_maj': 9, 'a_p_p_a_conj': 2, 'all_m': 16}
Row 3: {'time': '2000-03-11 07:46:39', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_allm': 4, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 2, 'p_p_allm': 5, 'e': 4, 'all_conj': 7, 'all_maj': 8, 'a_p_p_a_conj': 2, 'all_m': 15}
Row 4: {'time': '2000-03-11 05:37:04', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_allm': 4, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 3, 'p_p_allm': 6, 'e': 5, 'all_conj': 5, 'all_maj': 11, 'a_p_p_a_conj': 0, 'all_m': 16}
Row 5: {'time': '2000-03-11 06:07:36', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_allm': 3, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 3, 'p_p_allm': 6, 'e': 5, 'all_conj': 6, 'all_maj': 8, 'a_p_p_a_conj': 2, 'all_m': 14}
Row 6: {'time': '2000-03-11 07:25:59', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 2, 'p_p_allm': 4, 'e': 4, 'all_conj': 6, 'all_maj': 7, 'a_p_p_a_conj': 2, 'all_m': 13}
Row 7: {'time': '2000-03-11 06:30:16', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 8, 'a_p_allm': 11, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 4, 'h_p_allm': 4, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 3, 'p_p_allm': 6, 'e': 4, 'all_conj': 8, 'all_maj': 17, 'a_p_p_a_conj': 3, 'all_m': 25}
Row 8: {'time': '2000-03-11 07:31:43', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_allm': 6, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 2, 'p_p_maj': 2, 'p_p_allm': 4, 'e': 5, 'all_conj': 8, 'all_maj': 9, 'a_p_p_a_conj': 4, 'all_m': 17}
Row 9: {'time': '2000-03-11 06:04:56', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 3, 'p_p_allm': 6, 'e': 6, 'all_conj': 8, 'all_maj': 8, 'a_p_p_a_conj': 3, 'all_m': 16}
Row 10: {'time': '2000-03-11 05:59:28', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 3, 'p_p_allm': 6, 'e': 5, 'all_conj': 5, 'all_maj': 8, 'a_p_p_a_conj': 1, 'all_m': 13}
Row 11: {'time': '2000-03-11 05:47:36', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 3, 'p_p_maj': 3, 'p_p_allm': 6, 'e': 7, 'all_conj': 8, 'all_maj': 8, 'a_p_p_a_conj': 1, 'all_m': 16}
