['Time', '0: 2004-12-01', '1: 2008-09-05', '2: 2008-12-11', '3: 2009-01-14', '4: 2009-03-19', '5: 2010-09-15', '6: 2011-01-20', '7: 2012-03-06', '8: 2012-10-09', '9: 2012-11-14', '10: 2012-12-12', '11: 2013-12-12', '12: 2014-03-24', '13: 2015-05-27', '14: 2016-05-26', '15: 2017-09-15', '16: 2017-09-22', '17: 2018-02-19', '18: 2019-01-08', '19: 2019-05-22', '20: 2019-08-13', '21: 2021-04-06', '22: 2021-07-10', '23: 2021-08-15', '24: 2022-01-03', '25: 2022-05-25', '26: 2024-01-25', '27: 2024-02-09', '28: 2024-02-23', '29: 2024-02-28', '30: 2024-03-08', '31: 2024-12-26', '32: 1994-07-02', '33: 1997-08-13', '34: 1997-11-16', '35: 2021-02-20', '36: 2017-01-31', '37: 2018-10-10', '38: 2018-04-15', '39: 2018-01-28', '40: 2016-10-05', '41: 2016-01-28', '42: 2015-11-04', '43: 2015-03-27', '44: 2015-03-16', '45: 2011-12-07', 'Count']
['2000-03-11 07:39:11', "(POF,101.660,(r)) (H3,101.777,(d)) (conjunction,7.02')\n(Mercury,333.441,(r)) (H1,33.358,(c)) (sextile,4.96')\n(H3,97.424,(r)) (POF,97.316,(c)) (conjunction,6.51')", "(H4,129.675,(r)) (Mean_Node,129.597,(d)) (conjunction,4.71')\n(Mean_Node,121.343,(r)) (H4,121.510,(c)) (conjunction,10.01')", '2', "(Mean_Node,121.343,(r)) (H4,121.169,(c)) (conjunction,10.44')", "(Uranus,318.699,(r)) (H4,138.577,(d)) (opposition,7.31')", '5', '6', '7', '8', '9', '10', '11', "(H3,97.424,(r)) (Sun,337.367,(c)) (trine,3.44')\n(H7,217.433,(r)) (Sun,337.367,(c)) (trine,3.99')", '13', '14', "(Venus,327.326,(r)) (H10,327.174,(d)) (conjunction,9.12')\n(H10,309.675,(r)) (Moon,69.735,(d)) (trine,3.59')", '16', '17', '18', '19', "(Mars,21.316,(r)) (H10,291.252,(c)) (square,3.85')", "(POF,101.660,(r)) (Mean_Node,101.645,(c)) (conjunction,0.91')", '22', '23', '24', '25', "(H10,309.675,(r)) (Mercury,309.795,(c)) (conjunction,7.15')", "(H10,309.675,(r)) (Mercury,309.756,(c)) (conjunction,4.83')", '28', "(H4,129.675,(r)) (Mercury,309.708,(c)) (opposition,1.94')", '30', "(Jupiter,34.711,(r)) (H10,334.701,(d)) (sextile,0.56')", '32', '33', '34', "(Moon,55.267,(r)) (H1,55.310,(d)) (conjunction,2.58')\n(POF,101.660,(r)) (Mean_Node,101.757,(c)) (conjunction,5.85')", '36', "(H10,309.675,(r)) (Venus,309.560,(c)) (conjunction,6.95')", '38', '39', '40', "(Sun,351.041,(r)) (H1,51.008,(d)) (sextile,1.97')", '42', "(Moon,55.267,(r)) (H10,295.330,(c)) (trine,3.76')", "(Moon,55.267,(r)) (H10,295.358,(c)) (trine,5.45')", "(Venus,327.326,(r)) (H1,27.275,(c)) (sextile,3.07')", 24]
['2000-03-11 08:40:00', "(H1,50.652,(r)) (Moon,50.764,(c)) (conjunction,6.72')", "(Saturn,43.326,(r)) (H7,223.416,(c)) (opposition,5.35')", '2', "(H7,230.652,(r)) (Saturn,50.715,(d)) (opposition,3.78')", '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', "(H10,325.079,(r)) (Neptune,325.209,(d)) (conjunction,7.86')", "(Neptune,305.684,(r)) (H10,305.842,(c)) (conjunction,9.46')", '21', '22', '23', '24', '25', '26', '27', '28', "(Mean_Node,121.341,(r)) (H4,121.495,(c)) (conjunction,9.21')", '30', "(Sun,351.083,(r)) (H10,351.071,(d)) (conjunction,0.75')", '32', "(H4,145.079,(r)) (Venus,325.105,(c)) (opposition,1.57')", "(Venus,327.378,(r)) (H4,147.445,(d)) (opposition,4.02')", '35', '36', "(Jupiter,34.719,(r)) (H1,34.746,(c)) (conjunction,1.59')", "(H1,50.652,(r)) (Jupiter,50.677,(d)) (conjunction,1.52')", "(H1,50.652,(r)) (Jupiter,50.492,(d)) (conjunction,9.55')", '40', '41', '42', '43', '44', '45', 12]
['2000-03-11 13:46:23', "(Sun,351.296,(r)) (H4,231.254,(d)) (trine,2.51')", '1', '2', '3', '4', '5', '6', "(Jupiter,34.763,(r)) (H10,34.623,(c)) (conjunction,8.39')", '8', "(Moon,58.840,(r)) (H10,58.890,(d)) (conjunction,3.00')", "(Moon,58.840,(r)) (H10,58.963,(d)) (conjunction,7.37')", '11', '12', "(Mean_Node,121.330,(r)) (H4,211.324,(c)) (square,0.37')", '14', "(H3,196.536,(r)) (Jupiter,16.462,(c)) (opposition,4.40')", '16', '17', "(Venus,327.641,(r)) (H10,27.584,(c)) (sextile,3.40')", '19', '20', '21', '22', '23', "(Sun,351.296,(r)) (H3,171.407,(c)) (opposition,6.66')", "(Venus,327.641,(r)) (H1,147.737,(d)) (opposition,5.79')\n(Jupiter,34.763,(r)) (POF,214.594,(d)) (opposition,10.16')", '26', '27', "(POF,189.287,(r)) (Jupiter,9.401,(c)) (opposition,6.89')\n(H1,121.742,(r)) (Venus,301.615,(c)) (opposition,7.66')", "(POF,189.287,(r)) (Jupiter,9.386,(c)) (opposition,5.99')\n(H1,121.742,(r)) (Venus,301.600,(c)) (opposition,8.52')", "(POF,189.287,(r)) (Jupiter,9.359,(c)) (opposition,4.35')\n(H1,121.742,(r)) (Venus,301.574,(c)) (opposition,10.08')", '31', '32', "(H4,226.634,(r)) (Saturn,46.607,(d)) (opposition,1.62')\n(H8,340.068,(r)) (Pluto,250.033,(c)) (square,2.08')", "(H3,196.536,(r)) (Uranus,316.611,(c)) (trine,4.54')", '35', '36', "(H3,196.536,(r)) (Moon,76.473,(d)) (trine,3.74')", '38', '39', '40', "(H1,121.742,(r)) (Uranus,301.628,(c)) (opposition,6.89')", "(H1,121.742,(r)) (Uranus,301.874,(c)) (opposition,7.90')", "(Mercury,333.348,(r)) (H3,213.321,(d)) (trine,1.61')", "(Mercury,333.348,(r)) (H3,213.288,(d)) (trine,3.58')\n(Uranus,318.712,(r)) (H1,138.880,(d)) (opposition,10.12')", "(Jupiter,34.763,(r)) (H10,34.874,(c)) (conjunction,6.68')", 26]
['2000-03-11 10:27:19', '0', '1', '2', '3', '4', '5', '6', "(POF,139.644,(r)) (Mercury,319.615,(c)) (opposition,1.72')", '8', "(Mercury,333.397,(r)) (POF,153.433,(d)) (opposition,2.12')", "(Mercury,333.397,(r)) (POF,153.518,(d)) (opposition,7.23')", '11', '12', '13', "(Mean_Node,121.337,(r)) (H8,301.203,(d)) (opposition,8.08')", "(Mean_Node,121.337,(r)) (H3,121.375,(c)) (conjunction,2.26')\n(H1,73.899,(r)) (Mercury,313.925,(c)) (trine,1.59')", '16', "(Mean_Node,121.337,(r)) (POF,121.257,(c)) (conjunction,4.82')", '18', "(Mercury,333.397,(r)) (H10,333.422,(c)) (conjunction,1.47')", "(H10,353.753,(r)) (Mercury,353.801,(d)) (conjunction,2.92')", '21', "(Pluto,252.897,(r)) (H9,342.838,(d)) (square,3.58')", '23', "(H1,73.899,(r)) (Jupiter,13.951,(c)) (sextile,3.13')", '25', '26', '27', '28', '29', '30', "(Venus,327.470,(r)) (H10,327.638,(c)) (conjunction,10.06')", '32', '33', '34', "(H8,285.142,(r)) (Neptune,285.029,(c)) (conjunction,6.78')", '36', '37', '38', "(Jupiter,34.735,(r)) (H10,334.788,(c)) (sextile,3.20')", '40', '41', '42', '43', '44', '45', 14]
['2000-03-11 07:14:55', "(POF,96.115,(r)) (H3,96.101,(d)) (conjunction,0.84')\n(H1,32.108,(r)) (Venus,332.192,(d)) (sextile,5.04')\n(H3,91.800,(r)) (POF,91.817,(c)) (conjunction,1.01')", '1', '2', '3', '4', '5', '6', '7', "(Mars,21.303,(r)) (H1,21.152,(c)) (conjunction,9.09')\n(H1,32.108,(r)) (Saturn,32.038,(c)) (conjunction,4.17')", '9', '10', '11', '12', '13', '14', '15', "(H1,32.108,(r)) (Uranus,302.122,(c)) (square,0.84')", '17', '18', '19', "(Uranus,318.698,(r)) (H1,48.769,(d)) (square,4.29')", '21', '22', '23', '24', '25', '26', '27', "(Venus,327.305,(r)) (H10,327.448,(d)) (conjunction,8.59')", "(Venus,327.305,(r)) (H4,147.462,(d)) (opposition,9.44')", '30', "(H10,303.719,(r)) (Venus,303.879,(c)) (conjunction,9.59')", '32', "(H4,123.719,(r)) (Mean_Node,123.808,(d)) (conjunction,5.30')\n(Mean_Node,121.344,(r)) (H4,121.263,(c)) (conjunction,4.85')", "(H4,123.719,(r)) (Mean_Node,123.558,(d)) (conjunction,9.68')\n(Mean_Node,121.344,(r)) (H4,121.511,(c)) (conjunction,9.98')", "(H8,241.167,(r)) (Saturn,61.181,(d)) (opposition,0.86')", '36', '37', '38', '39', '40', "(H10,303.719,(r)) (Uranus,303.668,(c)) (conjunction,3.10')", "(H10,303.719,(r)) (Uranus,303.886,(c)) (conjunction,10.01')", '43', '44', '45', 17]
['2000-03-11 12:09:04', '0', '1', '2', '3', "(Mercury,333.372,(r)) (POF,153.368,(c)) (opposition,0.21')", '5', "(H3,168.028,(r)) (Moon,47.981,(c)) (trine,2.81')", '7', '8', '9', "(Jupiter,34.749,(r)) (H10,34.610,(d)) (conjunction,8.36')", "(H1,96.954,(r)) (Mars,6.903,(c)) (square,3.05')", '12', "(H8,311.433,(r)) (Venus,311.542,(c)) (conjunction,6.54')", '14', '15', '16', '17', '18', '19', '20', '21', "(Saturn,43.340,(r)) (H10,43.246,(d)) (conjunction,5.67')", "(Saturn,43.340,(r)) (H10,43.344,(d)) (conjunction,0.21')", '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', "(H3,168.028,(r)) (Venus,347.994,(d)) (opposition,2.04')", '37', "(Venus,327.557,(r)) (H3,147.705,(c)) (opposition,8.84')", '39', '40', '41', '42', '43', '44', "(Jupiter,34.749,(r)) (H9,334.725,(c)) (sextile,1.43')", 10]
['2000-03-11 15:29:12', "(H3,225.164,(r)) (Sun,345.233,(c)) (trine,4.19')", '1', '2', '3', "(H3,225.164,(r)) (Jupiter,45.164,(d)) (opposition,0.03')", '5', "(H10,71.476,(r)) (Moon,71.400,(d)) (conjunction,4.56')", '7', '8', "(H9,45.164,(r)) (Venus,345.192,(d)) (sextile,1.69')", '10', '11', "(Sun,351.367,(r)) (H7,351.389,(d)) (conjunction,1.33')", '13', "(H8,12.580,(r)) (Sun,12.561,(d)) (conjunction,1.12')", '15', '16', "(Moon,59.841,(r)) (POF,239.686,(d)) (opposition,9.28')\n(Venus,327.729,(r)) (H4,267.820,(d)) (sextile,5.48')", '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', "(POF,221.233,(r)) (H2,221.064,(d)) (conjunction,10.13')", "(Mercury,333.323,(r)) (H4,273.268,(d)) (sextile,3.29')", "(H6,300.887,(r)) (Venus,300.874,(c)) (conjunction,0.74')", '31', '32', '33', '34', '35', '36', '37', "(Moon,59.841,(r)) (POF,239.835,(d)) (opposition,0.33')", "(Venus,327.729,(r)) (H10,87.766,(d)) (trine,2.21')", '40', '41', '42', '43', '44', '45', 13]
['2000-03-11 11:49:12', "(Mercury,333.377,(r)) (POF,153.445,(c)) (opposition,4.09')", '1', '2', '3', "(H3,162.259,(r)) (Mercury,342.360,(d)) (opposition,6.11')", '5', "(Venus,327.540,(r)) (H10,27.461,(d)) (sextile,4.73')", '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', "(H10,16.051,(r)) (Jupiter,16.152,(c)) (conjunction,6.06')", '19', "(H10,16.051,(r)) (Neptune,286.037,(c)) (square,0.88')", '21', "(Uranus,318.707,(r)) (H9,318.783,(c)) (conjunction,4.53')", '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', "(H3,162.259,(r)) (Moon,42.205,(c)) (trine,3.21')", '37', "(Jupiter,34.746,(r)) (H10,34.902,(d)) (conjunction,9.31')\n(Uranus,318.707,(r)) (POF,138.827,(c)) (opposition,7.16')", "(Jupiter,34.746,(r)) (H10,34.687,(d)) (conjunction,3.58')", "(Mercury,333.377,(r)) (H10,33.345,(d)) (sextile,1.90')\n(Mean_Node,121.334,(r)) (H3,181.313,(d)) (sextile,1.24')", '41', '42', '43', '44', '45', 12]
['2000-03-11 09:58:56', "(Sun,351.138,(r)) (H4,171.077,(d)) (opposition,3.62')\n(H4,166.033,(r)) (Sun,346.146,(c)) (opposition,6.81')", '1', '2', '3', '4', '5', '6', "(Mercury,333.404,(r)) (H10,333.407,(c)) (conjunction,0.15')", '8', "(Uranus,318.704,(r)) (H1,78.621,(d)) (trine,4.95')\n(H10,346.033,(r)) (Mercury,346.145,(d)) (conjunction,6.73')", "(Uranus,318.704,(r)) (H1,78.688,(d)) (trine,0.95')", '11', '12', '13', "(H8,278.342,(r)) (Sun,8.342,(d)) (square,0.02')", '15', '16', '17', "(Mercury,333.404,(r)) (POF,153.397,(d)) (opposition,0.44')", '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', "(H10,346.033,(r)) (Uranus,346.067,(d)) (conjunction,2.04')", '32', '33', '34', '35', '36', "(POF,133.199,(r)) (Mercury,313.189,(c)) (opposition,0.57')", '38', "(Venus,327.446,(r)) (H10,327.317,(c)) (conjunction,7.71')", "(H10,346.033,(r)) (Venus,345.894,(d)) (conjunction,8.34')", '41', "(H1,67.710,(r)) (Sun,7.750,(d)) (sextile,2.40')\n(H3,131.767,(r)) (Venus,311.732,(c)) (opposition,2.14')", "(Moon,56.626,(r)) (H3,116.716,(c)) (sextile,5.42')", '44', '45', 15]
['2000-03-11 05:48:23', "(POF,76.092,(r)) (H3,76.247,(d)) (conjunction,9.28')\n(H3,72.002,(r)) (POF,71.835,(c)) (conjunction,10.02')", '1', '2', "(Mars,21.259,(r)) (H4,111.335,(d)) (square,4.58')", '4', "(H10,283.200,(r)) (Mercury,343.217,(d)) (sextile,1.01')", '6', "(Moon,54.191,(r)) (H10,294.255,(d)) (trine,3.88')\n(POF,76.092,(r)) (Venus,316.160,(c)) (trine,4.05')\n(H10,283.200,(r)) (Moon,43.216,(c)) (trine,0.91')", '8', '9', '10', '11', '12', '13', '14', "(Venus,327.231,(r)) (H10,267.318,(c)) (sextile,5.23')", '16', '17', '18', '19', '20', "(Mean_Node,121.347,(r)) (H7,211.296,(d)) (square,3.06')", '22', '23', '24', '25', '26', '27', "(Moon,54.191,(r)) (POF,54.284,(c)) (conjunction,5.62')\n(H1,12.866,(r)) (Jupiter,12.842,(c)) (conjunction,1.44')", "(Moon,54.191,(r)) (POF,54.272,(c)) (conjunction,4.86')\n(H1,12.866,(r)) (Jupiter,12.829,(c)) (conjunction,2.20')", "(Moon,54.191,(r)) (POF,54.249,(c)) (conjunction,3.48')\n(H1,12.866,(r)) (Jupiter,12.806,(c)) (conjunction,3.57')", "(Jupiter,34.695,(r)) (H1,34.516,(d)) (conjunction,10.73')\n(POF,76.092,(r)) (Moon,76.179,(d)) (conjunction,5.22')\n(Sun,350.964,(r)) (H1,350.933,(c)) (conjunction,1.86')\n(H3,72.002,(r)) (Jupiter,12.066,(c)) (sextile,3.85')", '32', '33', '34', '35', "(Venus,327.231,(r)) (H3,87.177,(d)) (trine,3.20')", '37', '38', '39', "(H10,283.200,(r)) (Venus,343.185,(d)) (sextile,0.94')\n(H3,72.002,(r)) (Venus,311.945,(c)) (trine,3.40')", '41', "(H1,12.866,(r)) (Venus,312.789,(c)) (sextile,4.63')", '43', '44', "(Mean_Node,121.347,(r)) (H9,241.389,(c)) (trine,2.49')", 24]
