['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 07:39:11', "(H4,129.675,(r)) (Mean_Node,129.597,(d)) (conjunction,4.71')\n(Mean_Node,121.343,(r)) (H4,121.510,(c)) (conjunction,10.01')", "(Uranus,318.699,(r)) (H4,138.577,(d)) (opposition,7.31')", '2', '3', '4', '5', "(H3,97.424,(r)) (Sun,337.367,(c)) (trine,3.44')\n(H7,217.433,(r)) (Sun,337.367,(c)) (trine,3.99')", '7', '8', "(Venus,327.326,(r)) (H10,327.174,(d)) (conjunction,9.12')\n(H10,309.675,(r)) (Moon,69.735,(d)) (trine,3.59')", '10', '11', '12', "(POF,101.660,(r)) (Mean_Node,101.645,(c)) (conjunction,0.91')", '14', '15', 8]
['2000-03-11 08:40:00', "(Saturn,43.326,(r)) (H7,223.416,(c)) (opposition,5.35')", '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', "(H10,325.079,(r)) (Neptune,325.209,(d)) (conjunction,7.86')", '13', '14', '15', 2]
['2000-03-11 13:46:23', '0', '1', '2', "(Jupiter,34.763,(r)) (H10,34.623,(c)) (conjunction,8.39')", "(Moon,58.840,(r)) (H10,58.963,(d)) (conjunction,7.37')", '5', '6', "(Mean_Node,121.330,(r)) (H4,211.324,(c)) (square,0.37')", '8', "(H3,196.536,(r)) (Jupiter,16.462,(c)) (opposition,4.40')", '10', '11', '12', '13', '14', "(Venus,327.641,(r)) (H1,147.737,(d)) (opposition,5.79')\n(Jupiter,34.763,(r)) (POF,214.594,(d)) (opposition,10.16')", 6]
['2000-03-11 10:27:19', '0', '1', '2', "(POF,139.644,(r)) (Mercury,319.615,(c)) (opposition,1.72')", "(Mercury,333.397,(r)) (POF,153.518,(d)) (opposition,7.23')", '5', '6', '7', "(Mean_Node,121.337,(r)) (H8,301.205,(d)) (opposition,7.91')", "(Mean_Node,121.337,(r)) (H3,121.375,(c)) (conjunction,2.26')\n(H1,73.899,(r)) (Mercury,313.925,(c)) (trine,1.59')", '10', "(Mean_Node,121.337,(r)) (POF,121.257,(c)) (conjunction,4.82')", "(Mercury,333.397,(r)) (H10,333.422,(c)) (conjunction,1.47')", '13', "(Pluto,252.897,(r)) (H9,342.838,(d)) (square,3.58')", '15', 8]
['2000-03-11 07:14:55', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', "(H1,32.108,(r)) (Uranus,302.122,(c)) (square,0.84')", '11', '12', '13', '14', '15', 1]
['2000-03-11 12:09:04', '0', "(Mercury,333.372,(r)) (POF,153.368,(c)) (opposition,0.21')", '2', '3', "(Jupiter,34.749,(r)) (H10,34.610,(d)) (conjunction,8.36')", "(H1,96.954,(r)) (Mars,6.903,(c)) (square,3.05')", '6', "(H8,311.433,(r)) (Venus,311.542,(c)) (conjunction,6.54')", '8', '9', '10', '11', '12', '13', "(Saturn,43.340,(r)) (H10,43.246,(d)) (conjunction,5.67')", '15', 5]
['2000-03-11 15:29:12', '0', "(H3,225.164,(r)) (Jupiter,45.164,(d)) (opposition,0.03')", '2', '3', '4', '5', "(Sun,351.367,(r)) (H7,351.389,(d)) (conjunction,1.33')", '7', "(H8,12.580,(r)) (Sun,12.565,(d)) (conjunction,0.91')", '9', '10', "(Moon,59.841,(r)) (POF,239.686,(d)) (opposition,9.28')\n(Venus,327.729,(r)) (H4,267.820,(d)) (sextile,5.48')", '12', '13', '14', '15', 5]
['2000-03-11 11:49:12', '0', "(H3,162.259,(r)) (Mercury,342.360,(d)) (opposition,6.11')", '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', "(Uranus,318.707,(r)) (H9,318.783,(c)) (conjunction,4.53')", '15', 2]
['2000-03-11 09:58:56', '0', '1', '2', "(Mercury,333.404,(r)) (H10,333.407,(c)) (conjunction,0.15')", "(Uranus,318.704,(r)) (H1,78.688,(d)) (trine,0.95')", '5', '6', '7', "(H8,278.342,(r)) (Sun,8.345,(d)) (square,0.16')", '9', '10', '11', '12', '13', '14', '15', 3]
['2000-03-11 05:48:23', '0', '1', "(H10,283.200,(r)) (Mercury,343.217,(d)) (sextile,1.01')", "(Moon,54.191,(r)) (H10,294.255,(d)) (trine,3.88')\n(POF,76.092,(r)) (Venus,316.160,(c)) (trine,4.05')\n(H10,283.200,(r)) (Moon,43.216,(c)) (trine,0.91')", '4', '5', '6', '7', '8', "(Venus,327.231,(r)) (H10,267.318,(c)) (sextile,5.23')", '10', '11', '12', "(Mean_Node,121.347,(r)) (H7,211.296,(d)) (square,3.06')", '14', '15', 6]
