['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 07:39:11', '0', '1', '2', '3', '4', "(H10,309.675,(r)) (Pluto,219.733,(cp)) (square,3.48')\n(H10,309.675,(r)) (Pluto,219.757,(cr)) (square,4.90')", "(Mercury,333.441,(r)) (Moon,3.469,(cr)) (30-semisextile,1.73')", '7', "(Sun,351.041,(r)) (Moon,20.856,(dr)) (30-semisextile,11.10')\n(Mars,21.316,(r)) (Moon,20.856,(dr)) (conjunction,27.61')", "(Mercury,333.441,(r)) (Moon,153.292,(dr)) (opposition,8.89')\n(H10,309.675,(r)) (Mercury,354.664,(dr)) (45-semisquare,0.68')", "(Saturn,43.322,(r)) (Moon,313.128,(cr)) (square,11.67')\n(Pluto,252.897,(r)) (Moon,313.128,(cr)) (sextile,13.85')", "(Venus,327.326,(r)) (Moon,147.674,(dr)) (opposition,20.88')\n(H7,217.433,(r)) (Moon,172.399,(dp)) (45-semisquare,2.07')\n(H4,129.675,(r)) (Mercury,339.670,(cp)) (150-quincunx,0.30')", "(Mars,21.316,(r)) (Moon,51.417,(dr)) (30-semisextile,6.07')\n(H1,37.433,(r)) (Saturn,187.625,(cp)) (150-quincunx,11.51')\n(H10,309.675,(r)) (Neptune,264.790,(cp)) (45-semisquare,6.90')\n(H10,309.675,(r)) (Neptune,264.787,(cr)) (45-semisquare,6.70')", "(H4,129.675,(r)) (Saturn,309.577,(dp)) (opposition,5.88')\n(H4,129.675,(r)) (Saturn,309.563,(dr)) (opposition,6.72')\n(H4,129.675,(r)) (Mars,339.580,(cp)) (150-quincunx,5.72')\n(H4,129.675,(r)) (Saturn,159.731,(cp)) (30-semisextile,3.35')\n(H4,129.675,(r)) (Saturn,159.742,(cr)) (30-semisextile,4.01')", "(Neptune,305.683,(r)) (Moon,335.446,(dp)) (30-semisextile,14.25')\n(H10,309.675,(r)) (Saturn,309.603,(dp)) (conjunction,4.32')\n(H10,309.675,(r)) (Saturn,309.538,(dr)) (conjunction,8.24')\n(Mercury,333.441,(r)) (Moon,153.183,(cp)) (opposition,15.43')\n(H10,309.675,(r)) (Mars,339.782,(cp)) (30-semisextile,6.40')\n(H10,309.675,(r)) (Saturn,159.711,(cp)) (150-quincunx,2.16')\n(H10,309.675,(r)) (Saturn,159.763,(cr)) (150-quincunx,5.24')", "(Moon,55.267,(r)) (Moon,100.179,(dp)) (45-semisquare,5.30')\n(Moon,55.267,(r)) (Moon,25.551,(cp)) (30-semisextile,17.03')", 30]
['2000-03-11 08:40:00', '0', '1', '2', "(H10,325.079,(r)) (Jupiter,10.121,(dr)) (45-semisquare,2.57')", "(H9,291.868,(r)) (Moon,202.070,(dr)) (square,12.11')", "(H1,50.652,(r)) (Saturn,260.831,(cr)) (150-quincunx,10.79')", "(Jupiter,34.719,(r)) (Moon,4.872,(cp)) (30-semisextile,9.17')", "(Neptune,305.684,(r)) (Moon,245.599,(dp)) (sextile,5.16')\n(H4,145.079,(r)) (Moon,235.133,(cp)) (square,3.27')", "(Mars,21.347,(r)) (Moon,21.489,(dr)) (conjunction,8.51')\n(Pluto,252.897,(r)) (Moon,27.787,(dp)) (135-sesquisquare,6.62')\n(H10,325.079,(r)) (Mars,234.923,(cp)) (square,9.35')", "(Mercury,333.425,(r)) (Moon,153.852,(dr)) (opposition,25.63')", '10', '11', '12', "(H7,230.652,(r)) (Neptune,350.663,(dp)) (trine,0.72')\n(H7,230.652,(r)) (Neptune,350.658,(dr)) (trine,0.39')\n(H7,230.652,(r)) (Neptune,260.462,(cp)) (30-semisextile,11.38')\n(H7,230.652,(r)) (Neptune,260.461,(cr)) (30-semisextile,11.44')", "(Neptune,305.684,(r)) (Moon,335.984,(dp)) (30-semisextile,17.95')\n(H1,50.652,(r)) (Neptune,350.673,(dp)) (sextile,1.32')\n(H1,50.652,(r)) (Neptune,350.648,(dr)) (sextile,0.19')\n(H10,325.079,(r)) (Mercury,325.093,(dp)) (conjunction,0.88')\n(Mercury,333.425,(r)) (Moon,153.685,(cp)) (opposition,15.59')\n(H1,50.652,(r)) (Neptune,260.463,(cp)) (150-quincunx,11.29')\n(H1,50.652,(r)) (Neptune,260.459,(cr)) (150-quincunx,11.54')", "(Moon,55.858,(r)) (Moon,100.680,(dp)) (45-semisquare,10.69')\n(H1,50.652,(r)) (Moon,95.833,(dr)) (45-semisquare,10.91')\n(Moon,55.858,(r)) (Moon,26.099,(cp)) (30-semisextile,14.42')\n(H1,50.652,(r)) (Moon,20.767,(cr)) (30-semisextile,6.93')", 25]
['2000-03-11 13:46:23', "(H4,226.634,(r)) (Mars,316.787,(cr)) (square,9.22')", "(Mercury,333.348,(r)) (Moon,303.182,(cp)) (30-semisextile,9.91')", "(Jupiter,34.763,(r)) (Moon,304.593,(dr)) (square,10.22')\n(H3,196.536,(r)) (Moon,316.673,(dp)) (trine,8.24')\n(H10,46.634,(r)) (Moon,316.673,(dp)) (square,2.36')\n(Sun,351.296,(r)) (Moon,170.957,(cr)) (opposition,20.32')\n(Uranus,318.712,(r)) (Moon,183.653,(cp)) (135-sesquisquare,3.50')", '3', "(H1,121.742,(r)) (Moon,271.874,(cp)) (150-quincunx,7.91')\n(H10,46.634,(r)) (Moon,271.874,(cp)) (135-sesquisquare,14.44')", '5', '6', '7', "(H1,121.742,(r)) (Mars,241.897,(dr)) (trine,9.27')\n(H8,340.068,(r)) (Neptune,339.947,(dp)) (conjunction,7.22')\n(H8,340.068,(r)) (Neptune,339.932,(dr)) (conjunction,8.16')\n(H1,121.742,(r)) (Pluto,211.761,(cp)) (square,1.09')\n(H1,121.742,(r)) (Pluto,211.769,(cr)) (square,1.58')", "(Jupiter,34.763,(r)) (Moon,170.058,(dp)) (135-sesquisquare,17.70')\n(Moon,58.840,(r)) (Moon,328.763,(cp)) (square,4.60')\n(H3,196.536,(r)) (Moon,316.410,(cr)) (trine,7.55')\n(H10,46.634,(r)) (Moon,316.410,(cr)) (square,13.43')", "(Mars,21.506,(r)) (Moon,156.417,(dr)) (135-sesquisquare,5.34')\n(H1,121.742,(r)) (Mars,31.767,(dp)) (square,1.47')", '11', "(H9,16.536,(r)) (Neptune,346.374,(dp)) (30-semisextile,9.69')\n(H9,16.536,(r)) (Neptune,346.359,(dr)) (30-semisextile,10.58')\n(Neptune,305.691,(r)) (Moon,65.774,(cp)) (trine,4.98')", "(Mean_Node,121.330,(r)) (Moon,151.498,(cr)) (30-semisextile,10.08')", "(Mars,21.506,(r)) (Moon,156.212,(cp)) (135-sesquisquare,17.62')", "(H1,121.742,(r)) (Jupiter,346.626,(dp)) (135-sesquisquare,6.96')\n(H9,16.536,(r)) (Jupiter,346.626,(dp)) (30-semisextile,5.45')\n(H9,16.536,(r)) (Jupiter,346.528,(dr)) (30-semisextile,0.45')\n(H10,46.634,(r)) (Jupiter,346.626,(dp)) (sextile,0.43')\n(H10,46.634,(r)) (Jupiter,346.528,(dr)) (sextile,6.32')\n(Moon,58.840,(r)) (Moon,28.849,(cp)) (30-semisextile,0.57')", 31]
['2000-03-11 10:27:19', "(H7,253.899,(r)) (Saturn,314.025,(cp)) (sextile,7.57')\n(H7,253.899,(r)) (Saturn,313.924,(cr)) (sextile,1.51')", '1', "(H3,139.324,(r)) (Moon,169.226,(cr)) (30-semisextile,5.85')", '3', "(H10,353.753,(r)) (Jupiter,38.872,(dr)) (45-semisquare,7.14')", "(H1,73.899,(r)) (Mars,43.877,(cp)) (30-semisextile,1.33')", "(H4,173.753,(r)) (Mercury,323.953,(dp)) (150-quincunx,11.99')\n(H4,173.753,(r)) (Mercury,323.892,(dr)) (150-quincunx,8.33')\n(Jupiter,34.735,(r)) (Moon,4.948,(cr)) (30-semisextile,12.81')", "(Mars,21.403,(r)) (Moon,246.550,(dp)) (135-sesquisquare,8.86')\n(Mean_Node,121.337,(r)) (Moon,241.230,(dr)) (trine,6.43')\n(H8,285.142,(r)) (Pluto,285.224,(dp)) (conjunction,4.92')\n(H8,285.142,(r)) (Mars,15.314,(dr)) (square,10.31')\n(H8,285.142,(r)) (Pluto,285.216,(dr)) (conjunction,4.47')", '8', "(Jupiter,34.735,(r)) (Moon,154.839,(dr)) (trine,6.23')\n(Moon,56.902,(r)) (Moon,327.095,(cp)) (square,11.54')\n(Venus,327.470,(r)) (Moon,327.095,(cp)) (conjunction,22.51')", "(Uranus,318.705,(r)) (Moon,168.525,(dp)) (150-quincunx,10.77')\n(H1,73.899,(r)) (Pluto,209.098,(cp)) (135-sesquisquare,11.95')", "(H4,173.753,(r)) (Moon,173.898,(dp)) (conjunction,8.70')", "(H10,353.753,(r)) (Mercury,323.916,(cp)) (30-semisextile,9.78')\n(H10,353.753,(r)) (Pluto,203.811,(cp)) (150-quincunx,3.46')\n(H10,353.753,(r)) (Mercury,323.616,(cr)) (30-semisextile,8.19')\n(H10,353.753,(r)) (Pluto,203.819,(cr)) (150-quincunx,3.99')", "(Mean_Node,121.337,(r)) (Moon,151.520,(cp)) (30-semisextile,10.99')", '14', "(Moon,56.902,(r)) (Moon,27.064,(cp)) (30-semisextile,9.70')", 25]
['2000-03-11 07:14:55', "(H4,123.719,(r)) (Saturn,153.869,(dp)) (30-semisextile,8.96')\n(H7,212.108,(r)) (Mars,92.168,(dr)) (trine,3.63')\n(Mean_Node,121.344,(r)) (Moon,76.451,(cp)) (45-semisquare,6.41')", '1', '2', '3', "(H10,303.719,(r)) (Uranus,3.795,(dp)) (sextile,4.52')\n(H10,303.719,(r)) (Uranus,3.710,(dr)) (sextile,0.57')", '5', "(Mercury,333.447,(r)) (Moon,3.256,(cr)) (30-semisextile,11.48')", '7', "(H1,32.108,(r)) (Mars,241.947,(dp)) (150-quincunx,9.62')\n(H8,241.167,(r)) (Neptune,271.286,(cp)) (30-semisextile,7.17')\n(H8,241.167,(r)) (Neptune,271.281,(cr)) (30-semisextile,6.85')", "(Mercury,333.447,(r)) (Moon,153.069,(dr)) (opposition,22.68')", "(Pluto,252.897,(r)) (Moon,312.927,(cr)) (sextile,1.78')\n(H10,303.719,(r)) (Saturn,213.776,(cp)) (square,3.39')\n(H10,303.719,(r)) (Saturn,213.824,(cr)) (square,6.26')", "(Venus,327.305,(r)) (Moon,147.449,(dr)) (opposition,8.63')", "(Mars,21.303,(r)) (Moon,51.201,(dr)) (30-semisextile,6.18')", '13', "(Mercury,333.447,(r)) (Moon,152.984,(cp)) (opposition,27.81')", "(Moon,55.031,(r)) (Moon,99.979,(dp)) (45-semisquare,3.15')\n(H9,271.800,(r)) (Mercury,1.802,(cr)) (square,0.11')", 18]
['2000-03-11 12:09:04', "(Neptune,305.689,(r)) (Moon,35.655,(dr)) (square,2.02')", '1', "(H3,168.028,(r)) (Mercury,348.089,(dr)) (opposition,3.69')", '3', "(H1,96.954,(r)) (Mercury,6.823,(dp)) (square,7.88')", "(Mars,21.455,(r)) (Moon,141.225,(cp)) (trine,13.84')", '6', "(Mars,21.455,(r)) (Moon,231.242,(cr)) (150-quincunx,12.81')\n(H4,201.391,(r)) (Mean_Node,51.449,(cp)) (150-quincunx,3.49')\n(H4,201.391,(r)) (Moon,231.242,(cr)) (30-semisextile,8.92')\n(H4,201.391,(r)) (Mean_Node,51.471,(cr)) (150-quincunx,4.81')", "(Mean_Node,121.333,(r)) (Moon,91.523,(cp)) (30-semisextile,11.38')", "(H10,21.391,(r)) (Jupiter,201.381,(dp)) (opposition,0.58')\n(H10,21.391,(r)) (Jupiter,201.480,(dr)) (opposition,5.36')\n(Moon,57.892,(r)) (Moon,327.947,(cp)) (square,3.28')\n(Venus,327.557,(r)) (Moon,327.947,(cp)) (conjunction,23.38')", '10', "(Mercury,333.372,(r)) (Moon,333.092,(cp)) (conjunction,16.77')", '12', '13', "(Neptune,305.689,(r)) (Moon,155.409,(cp)) (150-quincunx,16.80')", "(Moon,57.892,(r)) (Moon,27.977,(cp)) (30-semisextile,5.10')", 16]
['2000-03-11 15:29:12', "(Mars,21.559,(r)) (Moon,51.805,(dp)) (30-semisextile,14.75')\n(H7,332.759,(r)) (Mars,92.641,(dp)) (trine,7.06')", "(H3,225.164,(r)) (Jupiter,315.071,(dp)) (square,5.56')\n(H3,225.164,(r)) (Jupiter,315.062,(dr)) (square,6.09')\n(Mercury,333.323,(r)) (Moon,303.548,(cr)) (30-semisextile,13.49')", "(Sun,351.367,(r)) (Moon,171.849,(cr)) (opposition,28.95')\n(Jupiter,34.778,(r)) (Moon,184.528,(cp)) (150-quincunx,14.97')", "(Mercury,333.323,(r)) (Moon,63.137,(dr)) (square,11.18')\n(H9,45.164,(r)) (Uranus,0.081,(dp)) (45-semisquare,4.98')\n(H9,45.164,(r)) (Uranus,359.969,(dr)) (45-semisquare,11.69')\n(Mercury,333.323,(r)) (Moon,33.244,(cr)) (sextile,4.74')", "(Uranus,318.715,(r)) (Moon,228.438,(dp)) (square,16.63')\n(H10,71.476,(r)) (Moon,206.292,(dr)) (135-sesquisquare,11.06')\n(H1,152.759,(r)) (Moon,272.865,(cp)) (trine,6.36')", "(Saturn,43.353,(r)) (Moon,343.316,(dr)) (sextile,2.24')\n(H10,71.476,(r)) (Pluto,281.338,(dp)) (150-quincunx,8.30')\n(H10,71.476,(r)) (Pluto,281.313,(dr)) (150-quincunx,9.76')", '6', '7', '8', "(Sun,351.367,(r)) (Moon,170.978,(dp)) (opposition,23.32')\n(Moon,59.841,(r)) (Moon,329.626,(cp)) (square,12.90')", "(H10,71.476,(r)) (Mars,11.299,(cr)) (sextile,10.61')", "(H4,251.476,(r)) (Venus,11.613,(dp)) (trine,8.24')", "(Mars,21.559,(r)) (Moon,66.785,(cp)) (45-semisquare,13.59')", "(H4,251.476,(r)) (Pluto,296.290,(dp)) (45-semisquare,11.16')\n(H4,251.476,(r)) (Pluto,296.287,(dr)) (45-semisquare,11.33')", "(H10,71.476,(r)) (Pluto,296.296,(dp)) (135-sesquisquare,10.82')\n(H10,71.476,(r)) (Pluto,296.281,(dr)) (135-sesquisquare,11.67')", "(Moon,59.841,(r)) (Moon,29.768,(cp)) (30-semisextile,4.34')", 27]
['2000-03-11 11:49:12', "(Neptune,305.688,(r)) (Moon,35.454,(dr)) (square,14.06')\n(H7,272.289,(r)) (Mars,92.236,(dr)) (opposition,3.19')\n(Neptune,305.688,(r)) (Moon,65.810,(cr)) (trine,7.29')\n(H7,272.289,(r)) (Mars,317.477,(cp)) (45-semisquare,11.27')", '1', "(Mercury,333.377,(r)) (Moon,303.633,(dr)) (30-semisextile,15.36')\n(H3,162.259,(r)) (Jupiter,342.412,(dr)) (opposition,9.18')\n(Jupiter,34.746,(r)) (Moon,169.938,(cr)) (135-sesquisquare,11.52')", "(H10,16.051,(r)) (Moon,61.248,(dr)) (45-semisquare,11.78')", "(H10,16.051,(r)) (Moon,226.225,(dp)) (150-quincunx,10.39')", '5', '6', '7', "(H10,16.051,(r)) (Saturn,256.251,(dp)) (trine,11.95')\n(H10,16.051,(r)) (Saturn,256.241,(dr)) (trine,11.37')\n(Mean_Node,121.334,(r)) (Moon,91.337,(cp)) (30-semisextile,0.17')\n(H10,16.051,(r)) (Saturn,226.166,(cp)) (150-quincunx,6.85')\n(H10,16.051,(r)) (Saturn,226.177,(cr)) (150-quincunx,7.53')", "(H3,162.259,(r)) (Venus,12.135,(dr)) (150-quincunx,7.42')\n(Moon,57.699,(r)) (Moon,327.780,(cp)) (square,4.89')\n(Venus,327.540,(r)) (Moon,327.780,(cp)) (conjunction,14.42')", '10', "(H3,162.259,(r)) (Venus,12.254,(dr)) (150-quincunx,0.25')\n(Mercury,333.377,(r)) (Moon,332.925,(cp)) (conjunction,27.12')", "(H1,92.289,(r)) (Mars,47.295,(dr)) (45-semisquare,0.34')", '13', '14', "(H9,342.259,(r)) (Moon,102.242,(dp)) (trine,1.03')\n(Moon,57.699,(r)) (Moon,27.799,(cp)) (30-semisextile,6.01')\n(H1,92.289,(r)) (Mercury,2.164,(cr)) (square,7.51')\n(H10,16.051,(r)) (Uranus,226.221,(cp)) (150-quincunx,10.20')\n(H10,16.051,(r)) (Uranus,226.229,(cr)) (150-quincunx,10.64')", 25]
['2000-03-11 09:58:56', '0', '1', "(Uranus,318.704,(r)) (Moon,168.979,(cr)) (150-quincunx,16.52')", '3', "(H1,67.710,(r)) (Moon,202.885,(dr)) (135-sesquisquare,10.46')", '5', "(Jupiter,34.731,(r)) (Moon,4.699,(cr)) (30-semisextile,1.92')", "(Mars,21.388,(r)) (Moon,246.298,(dp)) (135-sesquisquare,5.39')\n(H1,67.710,(r)) (Neptune,337.803,(dp)) (square,5.54')\n(H1,67.710,(r)) (Neptune,337.787,(dr)) (square,4.61')", "(H10,346.033,(r)) (Saturn,226.168,(cp)) (trine,8.09')\n(H10,346.033,(r)) (Saturn,226.179,(cr)) (trine,8.76')", "(Jupiter,34.731,(r)) (Moon,154.578,(dr)) (trine,9.18')\n(H1,67.710,(r)) (Uranus,22.643,(dp)) (45-semisquare,4.03')\n(H1,67.710,(r)) (Uranus,22.591,(dr)) (45-semisquare,7.16')\n(H3,131.767,(r)) (Mercury,356.875,(dp)) (135-sesquisquare,6.47')\n(H3,131.767,(r)) (Venus,11.840,(dp)) (trine,4.38')\n(Moon,56.626,(r)) (Moon,326.857,(cp)) (square,13.86')", "(H1,67.710,(r)) (Uranus,22.644,(dp)) (45-semisquare,3.97')\n(H1,67.710,(r)) (Uranus,22.590,(dr)) (45-semisquare,7.22')\n(H10,346.033,(r)) (Mars,30.885,(dr)) (45-semisquare,8.89')", "(H3,131.767,(r)) (Venus,11.693,(dp)) (trine,4.44')", "(H1,67.710,(r)) (Pluto,292.699,(dp)) (135-sesquisquare,0.70')\n(H1,67.710,(r)) (Pluto,292.691,(dr)) (135-sesquisquare,1.18')\n(H9,311.767,(r)) (Mercury,356.856,(dr)) (45-semisquare,5.32')\n(Mercury,333.404,(r)) (Moon,63.529,(cp)) (square,7.50')\n(H1,67.710,(r)) (Saturn,187.618,(cp)) (trine,5.54')\n(H1,67.710,(r)) (Saturn,187.646,(cr)) (trine,3.84')", "(Mean_Node,121.338,(r)) (Moon,331.503,(dr)) (150-quincunx,9.89')\n(Mean_Node,121.338,(r)) (Moon,151.287,(cp)) (30-semisextile,3.10')", "(Mars,21.388,(r)) (Moon,336.682,(dp)) (45-semisquare,17.60')\n(H1,67.710,(r)) (Mercury,7.706,(cr)) (sextile,0.25')", "(Moon,56.626,(r)) (Moon,101.331,(dp)) (45-semisquare,17.69')\n(H9,311.767,(r)) (Uranus,41.954,(dr)) (square,11.22')\n(Moon,56.626,(r)) (Moon,26.809,(cp)) (30-semisextile,10.97')\n(H9,311.767,(r)) (Jupiter,86.719,(cp)) (135-sesquisquare,2.91')\n(H9,311.767,(r)) (Jupiter,86.693,(cr)) (135-sesquisquare,4.46')\n(H10,346.033,(r)) (Uranus,226.223,(cp)) (trine,11.40')\n(H10,346.033,(r)) (Uranus,226.230,(cr)) (trine,11.83')", 35]
['2000-03-11 05:48:23', '0', '1', "(H1,12.866,(r)) (Moon,312.773,(dp)) (sextile,5.58')\n(H10,283.200,(r)) (Mercury,343.085,(cr)) (sextile,6.95')", "(H1,12.866,(r)) (Moon,58.162,(dr)) (45-semisquare,17.79')\n(H10,283.200,(r)) (Moon,58.162,(dr)) (135-sesquisquare,2.29')\n(H9,252.002,(r)) (Moon,27.248,(cr)) (135-sesquisquare,14.79')", "(H1,12.866,(r)) (Moon,222.582,(dp)) (150-quincunx,17.01')", "(Saturn,43.315,(r)) (Moon,358.232,(dp)) (45-semisquare,4.99')\n(H1,12.866,(r)) (Mars,42.715,(cr)) (30-semisextile,9.06')", "(Mercury,333.470,(r)) (Moon,3.371,(cp)) (30-semisextile,5.95')", "(H4,103.200,(r)) (Saturn,238.112,(cp)) (135-sesquisquare,5.30')\n(H4,103.200,(r)) (Saturn,238.115,(cr)) (135-sesquisquare,5.14')", '8', "(H3,72.002,(r)) (Venus,11.897,(dp)) (sextile,6.31')", '10', '11', '12', "(Mean_Node,121.347,(r)) (Moon,331.082,(dp)) (150-quincunx,15.90')", '14', "(Moon,54.191,(r)) (Moon,99.266,(dp)) (45-semisquare,4.53')\n(Jupiter,34.695,(r)) (Moon,94.417,(dr)) (sextile,16.70')\n(H9,252.002,(r)) (Uranus,41.964,(dp)) (150-quincunx,2.27')\n(H9,252.002,(r)) (Uranus,41.947,(dr)) (150-quincunx,3.28')", 17]
