Row 1: {'time': '2000-03-11 07:39:11', 'p_a_conj': 4, 'p_a_maj': 2, 'p_a_allm': 6, 'p_a_min': 12, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 4, 'mon_p_maj': 2, 'mon_p_allm': 6, 'mon_p_min': 6, 'e': 6, 'all_conj': 8, 'all_maj': 4, 'p_a_mon_conj': 8}
Row 2: {'time': '2000-03-11 08:40:00', 'p_a_conj': 1, 'p_a_maj': 6, 'p_a_allm': 7, 'p_a_min': 8, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 3, 'mon_p_maj': 1, 'mon_p_allm': 4, 'mon_p_min': 5, 'e': 6, 'all_conj': 4, 'all_maj': 8, 'p_a_mon_conj': 4}
Row 3: {'time': '2000-03-11 13:46:23', 'p_a_conj': 0, 'p_a_maj': 9, 'p_a_allm': 9, 'p_a_min': 3, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_allm': 4, 'p_h_min': 4, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 1, 'mon_p_maj': 3, 'mon_p_allm': 4, 'mon_p_min': 7, 'e': 5, 'all_conj': 3, 'all_maj': 14, 'p_a_mon_conj': 1}
Row 4: {'time': '2000-03-11 10:27:19', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 9, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_allm': 3, 'p_h_min': 1, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 1, 'mon_p_maj': 3, 'mon_p_allm': 4, 'mon_p_min': 5, 'e': 4, 'all_conj': 4, 'all_maj': 6, 'p_a_mon_conj': 2}
Row 5: {'time': '2000-03-11 07:14:55', 'p_a_conj': 0, 'p_a_maj': 5, 'p_a_allm': 5, 'p_a_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 2, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 3, 'mon_p_maj': 1, 'mon_p_allm': 4, 'mon_p_min': 4, 'e': 6, 'all_conj': 3, 'all_maj': 7, 'p_a_mon_conj': 3}
Row 6: {'time': '2000-03-11 12:09:04', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_allm': 3, 'p_a_min': 3, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 2, 'mon_p_maj': 3, 'mon_p_allm': 5, 'mon_p_min': 4, 'e': 6, 'all_conj': 5, 'all_maj': 4, 'p_a_mon_conj': 4}
Row 7: {'time': '2000-03-11 15:29:12', 'p_a_conj': 0, 'p_a_maj': 4, 'p_a_allm': 4, 'p_a_min': 7, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 2, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 2, 'mon_p_maj': 5, 'mon_p_allm': 7, 'mon_p_min': 5, 'e': 3, 'all_conj': 2, 'all_maj': 11, 'p_a_mon_conj': 2}
Row 8: {'time': '2000-03-11 11:49:12', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_allm': 4, 'p_a_min': 8, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 2, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 2, 'mon_p_maj': 3, 'mon_p_allm': 5, 'mon_p_min': 4, 'e': 7, 'all_conj': 4, 'all_maj': 7, 'p_a_mon_conj': 3}
Row 9: {'time': '2000-03-11 09:58:56', 'p_a_conj': 0, 'p_a_maj': 9, 'p_a_allm': 9, 'p_a_min': 8, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_allm': 3, 'p_h_min': 4, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 3, 'mon_p_allm': 3, 'mon_p_min': 8, 'e': 4, 'all_conj': 0, 'all_maj': 15, 'p_a_mon_conj': 0}
Row 10: {'time': '2000-03-11 05:48:23', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_allm': 2, 'p_a_min': 6, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 3, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 1, 'mon_p_allm': 1, 'mon_p_min': 4, 'e': 7, 'all_conj': 0, 'all_maj': 4, 'p_a_mon_conj': 0}
Row 11: {'time': '2000-03-11 14:06:56', 'p_a_conj': 0, 'p_a_maj': 4, 'p_a_allm': 4, 'p_a_min': 5, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 1, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 1, 'mon_p_maj': 4, 'mon_p_allm': 5, 'mon_p_min': 6, 'e': 4, 'all_conj': 3, 'all_maj': 8, 'p_a_mon_conj': 1}
Row 12: {'time': '2000-03-11 14:27:28', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 5, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 1, 'mon_p_maj': 4, 'mon_p_allm': 5, 'mon_p_min': 7, 'e': 4, 'all_conj': 1, 'all_maj': 7, 'p_a_mon_conj': 1}
Row 13: {'time': '2000-03-11 06:48:56', 'p_a_conj': 0, 'p_a_maj': 6, 'p_a_allm': 6, 'p_a_min': 7, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 1, 'mon_p_maj': 2, 'mon_p_allm': 3, 'mon_p_min': 4, 'e': 5, 'all_conj': 1, 'all_maj': 9, 'p_a_mon_conj': 1}
Row 14: {'time': '2000-03-11 10:25:59', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 2, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 1, 'mon_p_maj': 3, 'mon_p_allm': 4, 'mon_p_min': 5, 'e': 7, 'all_conj': 2, 'all_maj': 4, 'p_a_mon_conj': 2}
Row 15: {'time': '2000-03-11 08:15:44', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 8, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 1, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 3, 'mon_p_maj': 1, 'mon_p_allm': 4, 'mon_p_min': 5, 'e': 5, 'all_conj': 3, 'all_maj': 5, 'p_a_mon_conj': 3}
