['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 07:39:11', "(Saturn,44.167,(p)) (H7,224.188,(p)) (opposition,1.24')", "(Mean_Node,121.343,(r)) (H4,121.516,(c)) (conjunction,10.33')", "(Uranus,319.213,(p)) (H10,319.307,(p)) (conjunction,5.63')\n(Venus,327.326,(r)) (POF,327.505,(c)) (conjunction,10.79')", "(Venus,327.326,(r)) (H9,267.162,(c)) (sextile,9.80')", "(H1,37.433,(r)) (Jupiter,37.415,(p)) (conjunction,1.10')\n(H9,277.424,(r)) (Jupiter,37.415,(p)) (trine,0.56')", '5', "(H3,97.424,(r)) (Mercury,337.492,(p)) (trine,4.05')\n(H7,217.433,(r)) (Mercury,337.492,(p)) (trine,3.50')", '7', '8', '9', '10', '11', '12', '13', '14', '15', 9]
['2000-03-11 08:40:00', '0', "(Sun,0.066,(p)) (POF,240.090,(p)) (trine,1.41')\n(Sun,0.066,(p)) (H3,119.982,(p)) (trine,5.05')", "(Mean_Node,121.341,(r)) (H3,121.342,(p)) (conjunction,0.08')\n(Mercury,335.016,(p)) (H10,335.140,(p)) (conjunction,7.44')\n(Mercury,342.154,(c)) (H1,42.209,(c)) (sextile,3.25')", '3', "(H1,50.652,(r)) (Moon,230.828,(p)) (opposition,10.59')\n(Jupiter,37.424,(p)) (H10,337.307,(p)) (sextile,7.04')\n(Moon,253.127,(c)) (H10,313.028,(c)) (sextile,5.96')", "(Saturn,42.136,(c)) (H10,312.088,(c)) (square,2.83')", '6', "(H8,260.195,(r)) (Moon,260.542,(p)) (conjunction,20.85')", '8', '9', '10', "(Moon,188.239,(c)) (H4,128.154,(c)) (sextile,5.09')", "(Neptune,305.069,(c)) (H1,35.038,(c)) (square,1.87')", '13', "(Neptune,304.995,(c)) (H10,304.974,(c)) (conjunction,1.24')", '15', 13]
['2000-03-11 13:46:23', "(H7,301.742,(r)) (Mean_Node,121.779,(c)) (opposition,2.22')", "(H3,196.536,(r)) (Venus,316.493,(c)) (trine,2.57')", "(Venus,327.641,(r)) (H3,207.501,(p)) (trine,8.36')\n(H1,121.742,(r)) (Sun,1.758,(p)) (trine,0.93')\n(Sun,351.296,(r)) (H1,111.383,(c)) (trine,5.26')", "(POF,35.438,(c)) (H10,35.325,(c)) (conjunction,6.79')", '4', "(H1,121.742,(r)) (Mars,31.666,(p)) (square,4.57')", "(Mercury,333.348,(r)) (H4,213.327,(c)) (trine,1.22')\n(Mean_Node,121.330,(r)) (H3,181.294,(c)) (sextile,2.18')", "(Mean_Node,122.135,(c)) (H4,212.172,(c)) (square,2.21')", "(Mean_Node,121.330,(r)) (H10,31.181,(c)) (square,8.92')\n(POF,189.287,(r)) (Mars,9.351,(c)) (opposition,3.85')", "(Jupiter,34.763,(r)) (H3,214.593,(p)) (opposition,10.21')\n(Venus,327.641,(r)) (POF,327.758,(c)) (conjunction,7.06')\n(H3,196.536,(r)) (Moon,196.770,(c)) (conjunction,14.06')", '10', '11', "(Neptune,306.167,(p)) (H9,36.273,(p)) (square,6.32')\n(Neptune,305.077,(c)) (POF,305.239,(c)) (conjunction,9.75')", '13', '14', '15', 17]
['2000-03-11 10:27:19', '0', '1', '2', "(H9,319.324,(r)) (Uranus,319.287,(p)) (conjunction,2.22')", "(H9,319.324,(r)) (Uranus,319.322,(p)) (conjunction,0.12')\n(H1,73.899,(r)) (Moon,254.015,(c)) (opposition,6.94')", '5', "(Mercury,333.397,(r)) (H3,153.463,(p)) (opposition,3.94')", '7', '8', "(Mean_Node,122.265,(c)) (H3,122.271,(c)) (conjunction,0.35')", '10', "(H4,173.753,(r)) (Moon,293.804,(p)) (trine,3.07')", "(POF,139.644,(r)) (Uranus,319.602,(p)) (opposition,2.52')", '13', "(POF,139.644,(r)) (Uranus,319.690,(p)) (opposition,2.75')", '15', 8]
['2000-03-11 07:14:55', '0', '1', '2', "(Venus,342.112,(p)) (H9,281.975,(p)) (sextile,8.24')\n(Moon,261.539,(c)) (H9,261.612,(c)) (conjunction,4.37')", "(H1,32.108,(r)) (Jupiter,32.210,(c)) (conjunction,6.16')", '5', "(H3,91.800,(r)) (Mars,31.672,(p)) (sextile,7.68')", "(H1,32.108,(r)) (Mean_Node,122.150,(c)) (square,2.53')", "(Saturn,44.995,(p)) (H1,45.009,(p)) (conjunction,0.80')", "(Moon,287.118,(p)) (H3,106.735,(p)) (opposition,23.01')\n(Uranus,319.525,(p)) (H10,319.600,(p)) (conjunction,4.47')\n(Uranus,317.749,(c)) (H1,17.613,(c)) (sextile,8.14')", "(Uranus,319.526,(p)) (H10,319.618,(p)) (conjunction,5.48')", '11', '12', '13', '14', '15', 10]
['2000-03-11 12:09:04', '0', '1', "(H1,96.954,(r)) (Jupiter,36.968,(p)) (sextile,0.82')", "(Venus,327.557,(r)) (POF,327.500,(p)) (conjunction,3.41')\n(Mean_Node,120.698,(p)) (H9,0.842,(p)) (trine,8.63')\n(POF,163.618,(r)) (Mercury,343.466,(c)) (opposition,9.11')", '4', '5', "(Jupiter,34.749,(r)) (H4,214.859,(p)) (opposition,6.58')", "(Neptune,306.080,(p)) (H4,215.962,(p)) (square,7.10')", "(Mars,21.455,(r)) (H1,111.534,(p)) (square,4.70')", '9', '10', '11', "(H1,96.954,(r)) (Mars,7.043,(c)) (square,5.34')", '13', '14', "(H9,348.028,(r)) (Moon,347.635,(p)) (conjunction,23.54')", 9]
['2000-03-11 15:29:12', '0', "(Uranus,319.159,(p)) (H4,259.138,(p)) (sextile,1.26')", "(Jupiter,34.778,(r)) (H3,214.637,(c)) (opposition,8.45')\n(H1,152.759,(r)) (Jupiter,32.697,(c)) (trine,3.71')", "(H9,45.164,(r)) (Moon,224.768,(p)) (opposition,23.74')\n(Uranus,318.715,(r)) (H1,138.686,(c)) (opposition,1.75')", "(Jupiter,32.274,(c)) (H9,32.310,(c)) (conjunction,2.15')", '5', "(H3,225.164,(r)) (Venus,345.065,(p)) (trine,5.94')\n(H3,225.164,(r)) (Mercury,345.115,(c)) (trine,2.90')", "(Moon,263.908,(p)) (H4,264.325,(p)) (conjunction,25.06')", '8', '9', '10', "(Moon,192.038,(c)) (H7,311.945,(c)) (trine,5.59')", '12', '13', '14', '15', 10]
['2000-03-11 11:49:12', '0', "(H3,162.259,(r)) (Sun,342.184,(c)) (opposition,4.47')", '2', "(Venus,327.540,(r)) (H10,27.719,(p)) (sextile,10.74')\n(H9,342.259,(r)) (Venus,342.347,(p)) (conjunction,5.30')\n(Moon,222.854,(p)) (H1,102.693,(p)) (trine,9.62')\n(H1,92.289,(r)) (Jupiter,32.390,(c)) (sextile,6.03')", "(Venus,343.297,(p)) (H1,103.378,(p)) (trine,4.86')\n(H1,92.289,(r)) (Jupiter,32.246,(c)) (sextile,2.60')", "(Moon,57.699,(r)) (H12,57.551,(c)) (conjunction,8.88')", "(Venus,327.540,(r)) (H3,147.469,(c)) (opposition,4.27')", "(Mars,21.445,(r)) (H8,291.372,(c)) (square,4.41')", '8', "(H10,16.051,(r)) (Moon,195.697,(c)) (opposition,21.29')", '10', "(Mercury,333.377,(r)) (H4,213.386,(p)) (trine,0.57')\n(Mean_Node,121.334,(r)) (H3,181.360,(p)) (sextile,1.55')\n(Moon,57.699,(r)) (H4,177.828,(c)) (trine,7.76')", '12', "(Neptune,306.203,(p)) (H4,216.330,(p)) (square,7.61')", '14', '15', 15]
['2000-03-11 09:58:56', '0', '1', "(Moon,56.626,(r)) (H10,356.465,(p)) (sextile,9.68')\n(Mean_Node,121.895,(c)) (H3,121.765,(c)) (conjunction,7.82')", '3', "(Mercury,333.404,(r)) (H10,333.356,(c)) (conjunction,2.90')\n(H9,311.767,(r)) (Venus,311.683,(c)) (conjunction,5.06')", '5', "(Moon,238.484,(c)) (H3,118.454,(c)) (trine,1.75')\n(Jupiter,31.995,(c)) (H4,152.085,(c)) (trine,5.38')\n(Uranus,317.950,(c)) (POF,317.851,(c)) (conjunction,5.94')", '7', '8', '9', '10', '11', "(Mars,21.388,(r)) (POF,21.473,(p)) (conjunction,5.11')\n(H9,311.767,(r)) (Saturn,41.739,(c)) (square,1.71')", '13', '14', "(H10,346.033,(r)) (Moon,346.453,(p)) (conjunction,25.24')\n(H10,346.033,(r)) (Mercury,345.890,(p)) (conjunction,8.54')", 11]
['2000-03-11 05:48:23', '0', "(Sun,350.964,(r)) (H4,110.897,(p)) (trine,4.03')", "(Moon,200.705,(p)) (H3,80.757,(p)) (trine,3.15')", '3', "(Moon,54.191,(r)) (H10,294.102,(p)) (trine,5.30')\n(H9,252.002,(r)) (Moon,251.707,(c)) (conjunction,17.69')\n(Jupiter,32.199,(c)) (H10,272.269,(c)) (trine,4.20')", '5', '6', "(Moon,54.191,(r)) (H8,234.185,(p)) (opposition,0.33')\n(H8,221.624,(r)) (Moon,221.965,(c)) (conjunction,20.44')", '8', "(Venus,327.231,(r)) (H1,27.080,(p)) (sextile,9.03')\n(H1,12.866,(r)) (Moon,192.375,(c)) (opposition,29.42')\n(H3,72.002,(r)) (Moon,192.375,(c)) (trine,22.40')", '10', '11', '12', "(Mean_Node,121.347,(r)) (H4,121.330,(p)) (conjunction,1.04')", '14', "(Moon,54.191,(r)) (H1,354.123,(c)) (sextile,4.03')", 12]
