Row 1: {'time': '2000-03-11 16:46:23', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_min': 3, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_min': 13, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 4, 'h_p_maj': 12, 'h_p_min': 14, 'mon_p_conj': 3, 'mon_p_maj': 9, 'mon_p_min': 9, 'e': 3, 'total_count': 78}
Row 2: {'time': '2000-03-11 10:39:19', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 7, 'a_p_conj': 3, 'a_p_maj': 10, 'a_p_min': 20, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 2, 'h_p_maj': 8, 'h_p_min': 12, 'mon_p_conj': 2, 'mon_p_maj': 2, 'mon_p_min': 8, 'e': 0, 'total_count': 79}
Row 3: {'time': '2000-03-11 03:02:07', 'p_a_conj': 2, 'p_a_maj': 6, 'p_a_min': 9, 'a_p_conj': 3, 'a_p_maj': 12, 'a_p_min': 15, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 5, 'h_p_conj': 0, 'h_p_maj': 10, 'h_p_min': 5, 'mon_p_conj': 2, 'mon_p_maj': 6, 'mon_p_min': 7, 'e': 0, 'total_count': 84}
Row 4: {'time': '2000-03-11 12:58:31', 'p_a_conj': 0, 'p_a_maj': 5, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 10, 'a_p_min': 14, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 6, 'h_p_conj': 2, 'h_p_maj': 10, 'h_p_min': 4, 'mon_p_conj': 3, 'mon_p_maj': 6, 'mon_p_min': 8, 'e': 0, 'total_count': 73}
Row 5: {'time': '2000-03-11 07:40:00', 'p_a_conj': 4, 'p_a_maj': 5, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 5, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 4, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 5, 'h_p_min': 7, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_min': 9, 'e': 3, 'total_count': 57}
Row 6: {'time': '2000-03-11 15:49:35', 'p_a_conj': 0, 'p_a_maj': 4, 'p_a_min': 6, 'a_p_conj': 1, 'a_p_maj': 5, 'a_p_min': 9, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 6, 'h_p_min': 13, 'mon_p_conj': 3, 'mon_p_maj': 5, 'mon_p_min': 4, 'e': 1, 'total_count': 60}
Row 7: {'time': '2000-03-11 15:00:31', 'p_a_conj': 1, 'p_a_maj': 5, 'p_a_min': 5, 'a_p_conj': 5, 'a_p_maj': 7, 'a_p_min': 15, 'p_h_conj': 0, 'p_h_maj': 4, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 5, 'h_p_min': 9, 'mon_p_conj': 2, 'mon_p_maj': 3, 'mon_p_min': 6, 'e': 1, 'total_count': 69}
Row 8: {'time': '2000-03-11 02:50:47', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 4, 'a_p_maj': 4, 'a_p_min': 12, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 6, 'h_p_conj': 0, 'h_p_maj': 6, 'h_p_min': 6, 'mon_p_conj': 1, 'mon_p_maj': 6, 'mon_p_min': 7, 'e': 0, 'total_count': 58}
Row 9: {'time': '2000-03-11 02:56:08', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 0, 'a_p_maj': 7, 'a_p_min': 21, 'p_h_conj': 3, 'p_h_maj': 4, 'p_h_min': 2, 'h_p_conj': 2, 'h_p_maj': 11, 'h_p_min': 8, 'mon_p_conj': 2, 'mon_p_maj': 6, 'mon_p_min': 7, 'e': 0, 'total_count': 78}
Row 10: {'time': '2000-03-11 11:10:00', 'p_a_conj': 1, 'p_a_maj': 6, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 13, 'a_p_min': 11, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 4, 'h_p_maj': 5, 'h_p_min': 5, 'mon_p_conj': 3, 'mon_p_maj': 2, 'mon_p_min': 7, 'e': 3, 'total_count': 61}
Row 11: {'time': '2000-03-11 17:09:28', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 7, 'a_p_conj': 1, 'a_p_maj': 4, 'a_p_min': 10, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 5, 'h_p_min': 12, 'mon_p_conj': 3, 'mon_p_maj': 9, 'mon_p_min': 8, 'e': 0, 'total_count': 68}
