Row 1: {'time': '2000-03-11 16:46:22', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 3, 'h_p_maj': 1, 'h_p_min': 0, 'e': 5, 'total_count': 281}
Row 2: {'time': '2000-03-11 12:58:30', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_min': 3, 'e': 7, 'total_count': 152}
Row 3: {'time': '2000-03-11 15:49:34', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 4, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_min': 3, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 5, 'total_count': 275}
Row 4: {'time': '2000-03-11 15:00:30', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 4, 'a_p_maj': 3, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 0, 'e': 5, 'total_count': 237}
Row 5: {'time': '2000-03-11 09:23:36', 'p_a_conj': 3, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 2, 'e': 5, 'total_count': 235}
Row 6: {'time': '2000-03-11 16:08:46', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_min': 4, 'e': 5, 'total_count': 278}
Row 7: {'time': '2000-03-11 09:44:22', 'p_a_conj': 3, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 2, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 3, 'h_p_maj': 1, 'h_p_min': 0, 'e': 3, 'total_count': 344}
Row 8: {'time': '2000-03-11 15:24:56', 'p_a_conj': 0, 'p_a_maj': 4, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 6, 'total_count': 219}
Row 9: {'time': '2000-03-11 13:18:56', 'p_a_conj': 0, 'p_a_maj': 4, 'p_a_min': 3, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_min': 7, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 5, 'total_count': 271}
Row 10: {'time': '2000-03-11 13:49:50', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 0, 'e': 9, 'total_count': 120}
Row 11: {'time': '2000-03-11 06:31:28', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 3, 'e': 4, 'total_count': 252}
Row 12: {'time': '2000-03-11 17:53:52', 'p_a_conj': 3, 'p_a_maj': 7, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 4, 'total_count': 380}
Row 13: {'time': '2000-03-11 15:44:38', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 1, 'e': 5, 'total_count': 170}
Row 14: {'time': '2000-03-11 12:09:04', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_min': 0, 'e': 8, 'total_count': 225}
Row 15: {'time': '2000-03-11 06:30:16', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 8, 'total_count': 155}
Row 16: {'time': '2000-03-11 10:03:42', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 2, 'e': 7, 'total_count': 122}
Row 17: {'time': '2000-03-11 08:37:44', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 5, 'h_p_min': 2, 'e': 7, 'total_count': 209}
