Row 1: {'time': '1929-07-28 10:51:04', 'p_a_conj': 6, 'p_a_maj': 5, 'p_a_allm': 11, 'p_a_min': 6, 'a_p_conj': 3, 'a_p_maj': 4, 'a_p_allm': 7, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 4, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 5, 'e': 2, 'all_conj': 9, 'a_p_p_a_conj': 9}
Row 2: {'time': '1929-07-28 09:48:15', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 2, 'p_h_conj': 3, 'p_h_maj': 0, 'p_h_allm': 3, 'p_h_min': 1, 'h_p_conj': 2, 'h_p_maj': 2, 'h_p_allm': 4, 'h_p_min': 1, 'e': 9, 'all_conj': 7, 'a_p_p_a_conj': 2}
Row 3: {'time': '1929-07-28 19:28:23', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_allm': 2, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_allm': 5, 'a_p_min': 4, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_allm': 3, 'p_h_min': 4, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 4, 'all_conj': 7, 'a_p_p_a_conj': 5}
Row 4: {'time': '1929-07-28 18:30:47', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_allm': 3, 'p_a_min': 1, 'a_p_conj': 4, 'a_p_maj': 2, 'a_p_allm': 6, 'a_p_min': 3, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_allm': 3, 'h_p_min': 5, 'e': 5, 'all_conj': 8, 'a_p_p_a_conj': 6}
Row 5: {'time': '1929-07-27 23:02:31', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 5, 'a_p_conj': 3, 'a_p_maj': 8, 'a_p_allm': 11, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 4, 'p_h_allm': 4, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 6, 'e': 4, 'all_conj': 4, 'a_p_p_a_conj': 4}
Row 6: {'time': '1929-07-28 18:18:32', 'p_a_conj': 4, 'p_a_maj': 4, 'p_a_allm': 8, 'p_a_min': 2, 'a_p_conj': 4, 'a_p_maj': 0, 'a_p_allm': 4, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_allm': 3, 'h_p_min': 0, 'e': 5, 'all_conj': 9, 'a_p_p_a_conj': 8}
Row 7: {'time': '1929-07-28 11:46:00', 'p_a_conj': 2, 'p_a_maj': 4, 'p_a_allm': 6, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_allm': 6, 'a_p_min': 6, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_allm': 3, 'p_h_min': 2, 'h_p_conj': 2, 'h_p_maj': 2, 'h_p_allm': 4, 'h_p_min': 2, 'e': 4, 'all_conj': 9, 'a_p_p_a_conj': 5}
Row 8: {'time': '1929-07-28 15:22:39', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_allm': 3, 'p_a_min': 2, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_allm': 6, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_allm': 4, 'h_p_min': 2, 'e': 6, 'all_conj': 6, 'a_p_p_a_conj': 5}
Row 9: {'time': '1929-07-27 22:00:15', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 4, 'a_p_conj': 1, 'a_p_maj': 5, 'a_p_allm': 6, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 4, 'h_p_allm': 6, 'h_p_min': 3, 'e': 10, 'all_conj': 4, 'a_p_p_a_conj': 2}
Row 10: {'time': '1929-07-28 16:02:23', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_allm': 3, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 3, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_allm': 3, 'h_p_min': 2, 'e': 8, 'all_conj': 3, 'a_p_p_a_conj': 1}
Row 11: {'time': '1929-07-28 19:41:52', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_allm': 5, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 4, 'a_p_allm': 5, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_allm': 3, 'h_p_min': 1, 'e': 4, 'all_conj': 4, 'a_p_p_a_conj': 3}
