['Time', '0: 2017-09-22', '1: 2024-10-25', '2: 2018-02-19', '3: 2021-04-06', '4: 2016-05-26', '5: 2022-01-01', 'Count']
['2014-03-24 01:13:03', "(Pluto,283.456,(r)) (Moon,238.641,(cr)) (45-semisquare,11')\n(H1,322.452,(r)) (Pluto,277.444,(cp)) (45-semisquare,1')\n(H1,322.452,(r)) (Mars,352.625,(cr)) (30-semisextile,10')\n(H1,322.452,(r)) (Pluto,277.435,(cr)) (45-semisquare,1')", "(H1,322.452,(r)) (Moon,172.377,(dp)) (150-quincunx,5')\n(H1,322.452,(r)) (Mercury,22.590,(dp)) (sextile,8')\n(H10,230.195,(r)) (Uranus,50.428,(dp)) (opposition,14')\n(H10,230.195,(r)) (Uranus,50.377,(dr)) (opposition,11')", "(H4,50.195,(r)) (Mercury,20.412,(dp)) (30-semisextile,13')\n(H4,50.195,(r)) (Venus,5.383,(dp)) (45-semisquare,11')\n(H4,50.195,(r)) (Jupiter,200.029,(dp)) (150-quincunx,10')\n(H4,50.195,(r)) (Jupiter,200.244,(dr)) (150-quincunx,3')\n(H3,17.990,(r)) (Moon,257.987,(cp)) (trine,0')\n(H7,142.452,(r)) (Mercury,22.324,(cp)) (trine,8')\n(H7,142.452,(r)) (Pluto,277.447,(cp)) (135-sesquisquare,0')\n(H7,142.452,(r)) (Moon,232.721,(cr)) (square,16')\n(H7,142.452,(r)) (Pluto,277.432,(cr)) (135-sesquisquare,1')", "(Pluto,283.456,(r)) (Moon,73.577,(cr)) (150-quincunx,7')\n(H4,50.195,(r)) (Mars,319.975,(cp)) (square,13')", "(Neptune,336.089,(r)) (Moon,186.117,(dp)) (150-quincunx,2')\n(Uranus,11.941,(r)) (Moon,11.439,(cr)) (conjunction,30')", "(Mars,204.380,(r)) (Moon,84.670,(cp)) (trine,17')", 22]
['2014-03-24 00:19:04', "(Uranus,11.939,(r)) (Moon,252.001,(cp)) (trine,4')", "(Mercury,337.596,(r)) (Moon,157.974,(dr)) (opposition,23')\n(H3,4.289,(r)) (Uranus,334.510,(cp)) (30-semisextile,13')\n(H3,4.289,(r)) (Uranus,334.448,(cr)) (30-semisextile,10')", "(H4,36.544,(r)) (Venus,6.544,(dr)) (30-semisextile,0')", "(H1,310.706,(r)) (Saturn,310.701,(dp)) (conjunction,0')\n(H1,310.706,(r)) (Saturn,310.694,(dr)) (conjunction,1')", "(H8,155.546,(r)) (Moon,185.672,(dp)) (30-semisextile,8')\n(H8,155.546,(r)) (Mars,245.535,(dp)) (square,1')\n(H8,155.546,(r)) (Mars,245.446,(dr)) (square,6')\n(H1,310.706,(r)) (Moon,10.985,(cr)) (sextile,17')\n(H10,216.544,(r)) (Mars,156.632,(cp)) (sextile,5')\n(H10,216.544,(r)) (Mars,156.729,(cr)) (sextile,11')", "(H1,310.706,(r)) (Saturn,310.766,(dp)) (conjunction,4')\n(H1,310.706,(r)) (Saturn,310.630,(dr)) (conjunction,5')\n(H6,101.218,(r)) (Mars,71.102,(dr)) (30-semisextile,7')\n(Mars,204.390,(r)) (Moon,84.160,(cp)) (trine,14')\n(H10,216.544,(r)) (Mercury,336.424,(cp)) (trine,7')", 18]
['2014-03-24 00:07:28', "(Uranus,11.938,(r)) (Moon,251.891,(cp)) (trine,3')\n(H1,308.197,(r)) (Mars,353.373,(cp)) (45-semisquare,11')", "(Mercury,337.585,(r)) (Moon,157.878,(dr)) (opposition,18')", '2', "(H8,152.825,(r)) (Venus,2.789,(dp)) (150-quincunx,2')\n(H8,152.825,(r)) (Venus,2.696,(dr)) (150-quincunx,8')", '4', '5', 5]
['2014-03-24 01:01:51', "(Pluto,283.456,(r)) (Moon,238.531,(cr)) (45-semisquare,4')", "(H3,15.163,(r)) (Venus,345.215,(dp)) (30-semisextile,3')", "(H4,47.409,(r)) (Mercury,17.276,(dr)) (30-semisextile,8')\n(H7,140.005,(r)) (Jupiter,200.030,(dp)) (sextile,1')", "(Pluto,283.456,(r)) (Moon,73.468,(cr)) (150-quincunx,1')\n(H1,320.005,(r)) (Mars,319.969,(cp)) (conjunction,2')\n(H1,320.005,(r)) (Mars,319.912,(cr)) (conjunction,6')\n(H8,165.664,(r)) (Uranus,345.737,(cp)) (opposition,4')\n(H8,165.664,(r)) (Uranus,345.733,(cr)) (opposition,4')", "(Neptune,336.088,(r)) (Moon,186.024,(dp)) (150-quincunx,4')\n(H10,227.409,(r)) (Pluto,287.319,(dp)) (sextile,5')\n(H10,227.409,(r)) (Pluto,287.315,(dr)) (sextile,6')\n(H8,165.664,(r)) (Moon,15.568,(cp)) (150-quincunx,6')", "(Mars,204.382,(r)) (Moon,84.564,(cp)) (trine,11')\n(H6,110.797,(r)) (Neptune,321.016,(cr)) (150-quincunx,13')", 15]
['2014-03-24 01:19:28', "(Pluto,283.456,(r)) (Moon,238.704,(cr)) (45-semisquare,15')", "(H3,19.601,(r)) (Venus,49.602,(cp)) (30-semisextile,0')\n(H3,19.601,(r)) (Uranus,334.512,(cp)) (45-semisquare,5')\n(H3,19.601,(r)) (Uranus,334.450,(cr)) (45-semisquare,9')", '2', "(Mean_Node,209.923,(r)) (Moon,119.637,(dp)) (square,17')\n(Pluto,283.456,(r)) (Moon,73.640,(cr)) (150-quincunx,11')\n(Mean_Node,209.923,(r)) (Moon,74.682,(cp)) (135-sesquisquare,14')\n(H8,169.855,(r)) (Mars,319.978,(cp)) (150-quincunx,7')\n(H8,169.855,(r)) (Mars,319.921,(cr)) (150-quincunx,4')", "(Neptune,336.089,(r)) (Moon,186.169,(dp)) (150-quincunx,5')\n(Uranus,11.941,(r)) (Moon,11.493,(cr)) (conjunction,27')", "(Sun,3.324,(r)) (Moon,63.044,(cr)) (sextile,17')", 12]
['2014-03-24 00:03:35', "(Uranus,11.938,(r)) (Moon,251.855,(cp)) (trine,5')\n(H1,307.362,(r)) (Pluto,277.443,(cp)) (30-semisextile,5')\n(H1,307.362,(r)) (Mars,352.587,(cr)) (45-semisquare,13')\n(H1,307.362,(r)) (Pluto,277.435,(cr)) (30-semisextile,4')", "(Mercury,337.582,(r)) (Moon,157.846,(dr)) (opposition,16')\n(H3,0.345,(r)) (Jupiter,45.464,(dr)) (45-semisquare,7')", "(H4,32.533,(r)) (Moon,257.340,(cp)) (135-sesquisquare,12')\n(H7,127.362,(r)) (Pluto,277.447,(cp)) (150-quincunx,5')\n(H7,127.362,(r)) (Pluto,277.431,(cr)) (150-quincunx,4')", "(H4,32.533,(r)) (Venus,2.692,(dr)) (30-semisextile,10')\n(H1,307.362,(r)) (Venus,37.527,(cr)) (square,10')", "(H8,151.921,(r)) (Neptune,331.802,(cp)) (opposition,7')\n(H8,151.921,(r)) (Neptune,331.790,(cr)) (opposition,8')", '5', 13]
['2014-03-24 01:14:55', "(Pluto,283.456,(r)) (Moon,238.659,(cr)) (45-semisquare,12')", "(H10,230.657,(r)) (Uranus,50.428,(dp)) (opposition,14')\n(H3,18.460,(r)) (Venus,48.385,(cr)) (30-semisextile,4')", "(H4,50.657,(r)) (Mercury,20.821,(cr)) (30-semisextile,10')\n(H7,142.861,(r)) (Moon,232.739,(cr)) (square,7')", "(Pluto,283.456,(r)) (Moon,73.596,(cr)) (150-quincunx,8')\n(Mean_Node,209.923,(r)) (Moon,74.639,(cp)) (135-sesquisquare,17')\n(H8,168.774,(r)) (Saturn,138.780,(cp)) (30-semisextile,0')\n(H8,168.774,(r)) (Saturn,138.783,(cr)) (30-semisextile,1')", "(Neptune,336.089,(r)) (Moon,186.132,(dp)) (150-quincunx,3')\n(Uranus,11.941,(r)) (Moon,11.455,(cr)) (conjunction,29')", "(H10,230.657,(r)) (Mars,320.534,(cp)) (square,7')", 12]
['2014-03-24 01:38:31', '0', '1', "(H7,148.042,(r)) (Moon,297.990,(dr)) (150-quincunx,3')\n(H7,148.042,(r)) (Mean_Node,267.902,(cp)) (trine,8')\n(H7,148.042,(r)) (Jupiter,13.017,(cr)) (135-sesquisquare,1')\n(H7,148.042,(r)) (Mean_Node,267.999,(cr)) (trine,3')", "(Mean_Node,209.922,(r)) (Moon,119.807,(dp)) (square,7')\n(H4,56.445,(r)) (Pluto,296.515,(dp)) (trine,4')\n(H4,56.445,(r)) (Pluto,296.513,(dr)) (trine,4')\n(Mean_Node,209.922,(r)) (Moon,74.867,(cp)) (135-sesquisquare,3')", "(Neptune,336.089,(r)) (Moon,186.326,(dp)) (150-quincunx,14')\n(Uranus,11.942,(r)) (Moon,11.654,(cr)) (conjunction,17')\n(H1,328.042,(r)) (Saturn,207.868,(cp)) (trine,10')\n(H1,328.042,(r)) (Saturn,207.891,(cr)) (trine,9')\n(H10,236.445,(r)) (Moon,11.654,(cr)) (135-sesquisquare,13')", "(H10,236.445,(r)) (Pluto,296.527,(dp)) (sextile,5')\n(H10,236.445,(r)) (Pluto,296.501,(dr)) (sextile,3')\n(Sun,3.337,(r)) (Moon,63.234,(cr)) (sextile,6')\n(H6,118.984,(r)) (Pluto,268.954,(cp)) (150-quincunx,2')\n(H6,118.984,(r)) (Pluto,268.947,(cr)) (150-quincunx,2')", 18]
['2014-03-24 00:15:19', "(Uranus,11.938,(r)) (Moon,251.966,(cp)) (trine,2')", "(Mercury,337.593,(r)) (Moon,157.943,(dr)) (opposition,21')\n(H3,3.338,(r)) (Venus,48.343,(cr)) (45-semisquare,0')", "(H4,35.580,(r)) (Venus,5.408,(dp)) (30-semisextile,10')", '3', "(H8,154.669,(r)) (Uranus,19.477,(dp)) (135-sesquisquare,12')\n(H8,154.669,(r)) (Uranus,19.458,(dr)) (135-sesquisquare,13')\n(H10,215.580,(r)) (Moon,185.641,(dp)) (30-semisextile,4')\n(H10,215.580,(r)) (Mars,245.535,(dp)) (30-semisextile,3')\n(H10,215.580,(r)) (Mars,245.445,(dr)) (30-semisextile,8')\n(H8,154.669,(r)) (Uranus,4.449,(cp)) (150-quincunx,13')", "(H1,309.899,(r)) (Mercury,340.079,(dr)) (30-semisextile,11')\n(Mars,204.391,(r)) (Moon,84.124,(cp)) (trine,16')", 12]
['2014-03-24 01:31:43', '0', "(H3,22.677,(r)) (Moon,172.530,(dp)) (150-quincunx,9')\n(H3,22.677,(r)) (Mercury,22.603,(dp)) (conjunction,4')", "(H3,22.677,(r)) (Moon,232.907,(cr)) (150-quincunx,14')", "(Mean_Node,209.922,(r)) (Moon,119.747,(dp)) (square,11')\n(H1,326.546,(r)) (Pluto,296.515,(dp)) (30-semisextile,2')\n(H1,326.546,(r)) (Pluto,296.513,(dr)) (30-semisextile,2')\n(Mean_Node,209.922,(r)) (Moon,74.801,(cp)) (135-sesquisquare,7')\n(H8,172.782,(r)) (Venus,37.691,(cp)) (135-sesquisquare,5')\n(H8,172.782,(r)) (Venus,37.601,(cr)) (135-sesquisquare,11')", "(Neptune,336.089,(r)) (Moon,186.270,(dp)) (150-quincunx,11')\n(Uranus,11.941,(r)) (Moon,11.596,(cr)) (conjunction,21')\n(H1,326.546,(r)) (Moon,11.596,(cr)) (45-semisquare,3')", "(H1,326.546,(r)) (Pluto,296.527,(dp)) (30-semisextile,1')\n(H1,326.546,(r)) (Pluto,296.501,(dr)) (30-semisextile,3')\n(H6,117.465,(r)) (Mercury,342.527,(dp)) (135-sesquisquare,4')\n(Sun,3.332,(r)) (Moon,63.166,(cr)) (sextile,10')", 16]
