['Time', '0: 2017-09-22', '1: 2024-10-25', '2: 2018-02-19', '3: 2021-04-06', '4: 2016-05-26', '5: 2022-01-01', 'Count']
['2014-03-24 01:13:03', "(H1,322.452,(r)) (Saturn,261.812,(p)) (sextile,38')\n(H1,322.452,(r)) (Saturn,186.706,(c)) (135-sesquisquare,45')", "(H10,230.195,(r)) (Jupiter,80.900,(p)) (150-quincunx,42')\n(H10,230.195,(r)) (Mean_Node,5.071,(p)) (135-sesquisquare,7')", "(H4,50.195,(r)) (Pluto,290.374,(p)) (trine,11')\n(H7,142.452,(r)) (Jupiter,232.738,(p)) (square,17')\n(H4,50.195,(r)) (Pluto,275.332,(c)) (135-sesquisquare,8')\n(H7,142.452,(r)) (Jupiter,352.678,(c)) (150-quincunx,14')", "(H1,322.452,(r)) (Neptune,351.613,(p)) (30-semisextile,50')\n(H4,50.195,(r)) (Venus,19.760,(p)) (30-semisextile,26')\n(H4,50.195,(r)) (Mars,79.741,(p)) (30-semisextile,27')\n(H4,50.195,(r)) (Sun,349.631,(c)) (sextile,34')\n(H4,50.195,(r)) (Venus,21.129,(c)) (30-semisextile,56')\n(H4,50.195,(r)) (Saturn,139.539,(c)) (square,39')\n(H4,50.195,(r)) (Neptune,320.599,(c)) (square,24')", "(H1,322.452,(r)) (Uranus,22.932,(p)) (sextile,29')\n(H1,322.452,(r)) (Mars,172.971,(c)) (150-quincunx,31')\n(H1,322.452,(r)) (Pluto,277.975,(c)) (45-semisquare,31')", "(H10,230.195,(r)) (Neptune,350.678,(p)) (trine,29')\n(H1,322.452,(r)) (Sun,82.442,(c)) (trine,1')\n(H10,230.195,(r)) (Neptune,319.689,(c)) (square,30')", 21]
['2014-03-24 00:19:04', "(H1,310.706,(r)) (Mars,160.851,(p)) (150-quincunx,9')\n(H10,216.544,(r)) (Saturn,261.812,(p)) (45-semisquare,16')\n(H10,216.544,(r)) (Saturn,186.697,(c)) (30-semisextile,9')", "(H10,216.544,(r)) (Jupiter,80.900,(p)) (135-sesquisquare,39')", "(H7,130.706,(r)) (Venus,340.676,(p)) (150-quincunx,2')\n(H7,130.706,(r)) (Moon,175.396,(c)) (45-semisquare,19')\n(H7,130.706,(r)) (Mercury,40.275,(c)) (square,26')", "(H1,310.706,(r)) (Saturn,311.783,(p)) (conjunction,65')\n(H4,36.544,(r)) (Neptune,351.613,(p)) (45-semisquare,4')", "(H10,216.544,(r)) (Sun,65.660,(p)) (150-quincunx,53')\n(H1,310.706,(r)) (Moon,250.089,(c)) (sextile,37')", "(H1,310.706,(r)) (Sun,281.039,(p)) (30-semisextile,20')\n(H10,216.544,(r)) (Neptune,350.678,(p)) (135-sesquisquare,52')\n(H1,310.706,(r)) (Pluto,265.508,(c)) (45-semisquare,12')\n(H10,216.544,(r)) (Sun,82.370,(c)) (135-sesquisquare,50')\n(H10,216.544,(r)) (Mars,125.893,(c)) (square,39')", 16]
['2014-03-24 00:07:28', "(H10,213.540,(r)) (Pluto,272.808,(c)) (sextile,44')", "(H10,213.540,(r)) (Sun,212.563,(p)) (conjunction,59')\n(H1,308.197,(r)) (Mercury,173.558,(c)) (135-sesquisquare,22')", "(H7,128.197,(r)) (Jupiter,352.660,(c)) (135-sesquisquare,32')", "(H4,33.540,(r)) (Sun,349.540,(c)) (45-semisquare,60')", "(H10,213.540,(r)) (Mean_Node,167.850,(p)) (45-semisquare,41')\n(H1,308.197,(r)) (Mars,172.966,(c)) (135-sesquisquare,14')\n(H1,308.197,(r)) (Pluto,277.972,(c)) (30-semisextile,14')", "(H1,308.197,(r)) (Sun,82.355,(c)) (135-sesquisquare,51')\n(H1,308.197,(r)) (Saturn,128.268,(c)) (opposition,4')", 10]
['2014-03-24 01:01:51', "(H10,227.409,(r)) (Mercury,166.425,(p)) (sextile,59')\n(H10,227.409,(r)) (Pluto,286.864,(p)) (sextile,33')\n(H10,227.409,(r)) (Pluto,272.808,(c)) (45-semisquare,24')", "(H1,320.005,(r)) (Jupiter,80.900,(p)) (trine,54')\n(H1,320.005,(r)) (Mean_Node,5.071,(p)) (45-semisquare,4')\n(H10,227.409,(r)) (Mercury,228.038,(p)) (conjunction,38')", "(H7,140.005,(r)) (Pluto,290.374,(p)) (150-quincunx,22')\n(H7,140.005,(r)) (Pluto,275.332,(c)) (135-sesquisquare,20')", "(H1,320.005,(r)) (Venus,19.760,(p)) (sextile,15')\n(H1,320.005,(r)) (Mars,79.741,(p)) (trine,16')\n(H4,47.409,(r)) (Sun,16.904,(p)) (30-semisextile,30')\n(H1,320.005,(r)) (Sun,349.616,(c)) (30-semisextile,23')\n(H1,320.005,(r)) (Saturn,139.540,(c)) (opposition,28')\n(H1,320.005,(r)) (Neptune,320.599,(c)) (conjunction,36')", "(H10,227.409,(r)) (Pluto,287.144,(p)) (sextile,16')\n(H10,227.409,(r)) (Mean_Node,167.850,(p)) (sextile,26')", "(H1,320.005,(r)) (Neptune,350.678,(p)) (30-semisextile,40')\n(H1,320.005,(r)) (Neptune,319.689,(c)) (conjunction,19')", 18]
['2014-03-24 01:19:28', "(H10,231.777,(r)) (Saturn,261.812,(p)) (30-semisextile,2')\n(H10,231.777,(r)) (Saturn,186.707,(c)) (45-semisquare,4')", "(H10,231.777,(r)) (Jupiter,80.900,(p)) (150-quincunx,53')\n(H1,323.854,(r)) (Mercury,173.622,(c)) (150-quincunx,14')\n(H1,323.854,(r)) (Mean_Node,54.765,(c)) (square,55')", "(H4,51.777,(r)) (Jupiter,232.738,(p)) (opposition,58')\n(H4,51.777,(r)) (Jupiter,352.680,(c)) (sextile,54')", "(H4,51.777,(r)) (Neptune,351.613,(p)) (sextile,10')\n(H4,51.777,(r)) (Venus,21.139,(c)) (30-semisextile,38')", "(H1,323.854,(r)) (Uranus,22.932,(p)) (sextile,55')\n(H1,323.854,(r)) (Mars,172.972,(c)) (150-quincunx,53')\n(H1,323.854,(r)) (Pluto,277.976,(c)) (45-semisquare,53')", "(H10,231.777,(r)) (Sun,82.450,(c)) (150-quincunx,40')", 13]
['2014-03-24 00:03:35', "(H1,307.362,(r)) (Saturn,261.812,(p)) (45-semisquare,33')\n(H1,307.362,(r)) (Saturn,186.694,(c)) (trine,40')\n(H10,212.533,(r)) (Pluto,272.808,(c)) (sextile,16')", "(H10,212.533,(r)) (Sun,212.563,(p)) (conjunction,2')\n(H10,212.533,(r)) (Moon,62.188,(c)) (150-quincunx,21')", "(H4,32.533,(r)) (Mercury,332.406,(p)) (sextile,8')\n(H7,127.362,(r)) (Jupiter,352.658,(c)) (135-sesquisquare,18')", "(H1,307.362,(r)) (Neptune,351.613,(p)) (45-semisquare,45')", "(H10,212.533,(r)) (Mean_Node,167.850,(p)) (45-semisquare,19')\n(H1,307.362,(r)) (Mars,172.966,(c)) (135-sesquisquare,36')\n(H1,307.362,(r)) (Pluto,277.972,(c)) (30-semisextile,37')", "(H1,307.362,(r)) (Sun,82.350,(c)) (135-sesquisquare,1')\n(H1,307.362,(r)) (Saturn,128.268,(c)) (opposition,54')", 13]
['2014-03-24 01:14:55', "(H1,322.861,(r)) (Saturn,261.812,(p)) (sextile,63')\n(H10,230.657,(r)) (Saturn,186.706,(c)) (45-semisquare,63')", "(H10,230.657,(r)) (Jupiter,80.900,(p)) (150-quincunx,15')\n(H10,230.657,(r)) (Mean_Node,5.071,(p)) (135-sesquisquare,35')\n(H1,322.861,(r)) (Mercury,173.618,(c)) (150-quincunx,45')", "(H4,50.657,(r)) (Pluto,290.374,(p)) (trine,17')\n(H7,142.861,(r)) (Jupiter,232.738,(p)) (square,7')\n(H4,50.657,(r)) (Pluto,275.332,(c)) (135-sesquisquare,20')\n(H7,142.861,(r)) (Jupiter,352.679,(c)) (150-quincunx,11')", "(H4,50.657,(r)) (Venus,19.760,(p)) (30-semisextile,54')\n(H4,50.657,(r)) (Mars,79.741,(p)) (30-semisextile,55')\n(H4,50.657,(r)) (Neptune,351.613,(p)) (sextile,57')\n(H4,50.657,(r)) (Sun,349.634,(c)) (sextile,61')\n(H4,50.657,(r)) (Venus,21.132,(c)) (30-semisextile,28')\n(H4,50.657,(r)) (Neptune,320.599,(c)) (square,3')", "(H1,322.861,(r)) (Uranus,22.932,(p)) (sextile,4')\n(H1,322.861,(r)) (Mars,172.971,(c)) (150-quincunx,7')\n(H1,322.861,(r)) (Pluto,277.976,(c)) (45-semisquare,7')", "(H10,230.657,(r)) (Neptune,350.678,(p)) (trine,1')\n(H1,322.861,(r)) (Sun,82.444,(c)) (trine,25')\n(H10,230.657,(r)) (Neptune,319.689,(c)) (square,58')", 21]
['2014-03-24 01:38:31', "(H1,328.042,(r)) (Uranus,27.578,(p)) (sextile,28')\n(H1,328.042,(r)) (Uranus,358.570,(c)) (30-semisextile,32')", "(H10,236.445,(r)) (Uranus,56.150,(p)) (opposition,18')\n(H1,328.042,(r)) (Sun,147.196,(c)) (opposition,51')\n(H1,328.042,(r)) (Venus,147.715,(c)) (opposition,20')\n(H1,328.042,(r)) (Jupiter,148.526,(c)) (opposition,29')\n(H10,236.445,(r)) (Sun,147.196,(c)) (square,45')", "(H4,56.445,(r)) (Uranus,25.529,(p)) (30-semisextile,55')\n(H7,148.042,(r)) (Moon,12.871,(p)) (135-sesquisquare,10')\n(H4,56.445,(r)) (Moon,176.993,(c)) (trine,33')\n(H7,148.042,(r)) (Moon,176.993,(c)) (30-semisextile,63')\n(H7,148.042,(r)) (Uranus,358.706,(c)) (150-quincunx,40')", "(H4,56.445,(r)) (Pluto,296.698,(p)) (trine,15')\n(H1,328.042,(r)) (Pluto,268.843,(c)) (sextile,48')", "(H1,328.042,(r)) (Moon,298.687,(p)) (30-semisextile,39')\n(H1,328.042,(r)) (Sun,298.944,(c)) (30-semisextile,54')", "(H1,328.042,(r)) (Mercury,298.890,(p)) (30-semisextile,51')\n(H10,236.445,(r)) (Sun,281.039,(p)) (45-semisquare,24')\n(H10,236.445,(r)) (Pluto,295.951,(p)) (sextile,30')\n(H10,236.445,(r)) (Pluto,265.506,(c)) (30-semisextile,56')", 20]
['2014-03-24 00:15:19', "(H1,309.899,(r)) (Mars,160.851,(p)) (150-quincunx,57')\n(H10,215.580,(r)) (Mars,215.091,(c)) (conjunction,29')", "(H1,309.899,(r)) (Venus,249.282,(p)) (sextile,37')\n(H10,215.580,(r)) (Jupiter,80.900,(p)) (135-sesquisquare,19')\n(H10,215.580,(r)) (Mean_Node,5.071,(p)) (150-quincunx,31')", "(H7,129.899,(r)) (Venus,340.676,(p)) (150-quincunx,47')\n(H4,35.580,(r)) (Sun,35.201,(c)) (conjunction,23')\n(H4,35.580,(r)) (Pluto,275.333,(c)) (trine,15')\n(H7,129.899,(r)) (Moon,175.321,(c)) (45-semisquare,25')\n(H7,129.899,(r)) (Mercury,40.278,(c)) (square,23')", "(H1,309.899,(r)) (Uranus,39.306,(p)) (square,36')\n(H4,35.580,(r)) (Mars,79.741,(p)) (45-semisquare,50')\n(H4,35.580,(r)) (Neptune,351.613,(p)) (45-semisquare,62')\n(H1,309.899,(r)) (Mars,309.459,(c)) (conjunction,26')\n(H4,35.580,(r)) (Sun,349.551,(c)) (45-semisquare,62')", "(H10,215.580,(r)) (Sun,65.660,(p)) (150-quincunx,5')\n(H1,309.899,(r)) (Moon,250.015,(c)) (sextile,7')", "(H10,215.580,(r)) (Neptune,350.678,(p)) (135-sesquisquare,6')\n(H1,309.899,(r)) (Pluto,265.509,(c)) (45-semisquare,37')\n(H10,215.580,(r)) (Mars,125.890,(c)) (square,19')", 20]
['2014-03-24 01:31:43', "(H1,326.546,(r)) (Uranus,27.578,(p)) (sextile,62')", "(H1,326.546,(r)) (Uranus,56.150,(p)) (square,24')\n(H1,326.546,(r)) (Sun,147.187,(c)) (opposition,38')\n(H10,234.787,(r)) (Mean_Node,54.765,(c)) (opposition,1')", "(H4,54.787,(r)) (Uranus,25.529,(p)) (30-semisextile,44')\n(H7,146.546,(r)) (Uranus,25.529,(p)) (trine,61')\n(H7,146.546,(r)) (Moon,176.856,(c)) (30-semisextile,19')", "(H1,326.546,(r)) (Pluto,296.698,(p)) (30-semisextile,9')", '4', "(H1,326.546,(r)) (Sun,281.039,(p)) (45-semisquare,30')\n(H1,326.546,(r)) (Pluto,295.951,(p)) (30-semisextile,36')\n(H1,326.546,(r)) (Pluto,265.506,(c)) (sextile,62')\n(H10,234.787,(r)) (Pluto,265.506,(c)) (30-semisextile,43')", 12]
