Row 1: {'time': '1935-11-14 07:49:35', 'p_a_allm': 30, 'p_a_min': 23, 'e': 0, 'p_a_maj': 24, 'p_a_conj': 6}
Row 2: {'time': '1935-11-14 08:03:20', 'p_a_allm': 20, 'p_a_min': 30, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 5}
Row 3: {'time': '1935-11-14 19:39:27', 'p_a_allm': 18, 'p_a_min': 24, 'e': 1, 'p_a_maj': 14, 'p_a_conj': 4}
Row 4: {'time': '1935-11-14 04:16:23', 'p_a_allm': 25, 'p_a_min': 19, 'e': 0, 'p_a_maj': 21, 'p_a_conj': 4}
Row 5: {'time': '1935-11-14 01:28:47', 'p_a_allm': 23, 'p_a_min': 28, 'e': 1, 'p_a_maj': 20, 'p_a_conj': 3}
Row 6: {'time': '1935-11-13 23:58:00', 'p_a_allm': 30, 'p_a_min': 35, 'e': 2, 'p_a_maj': 25, 'p_a_conj': 5}
Row 7: {'time': '1935-11-14 18:51:36', 'p_a_allm': 31, 'p_a_min': 29, 'e': 1, 'p_a_maj': 21, 'p_a_conj': 10}
Row 8: {'time': '1935-11-14 11:01:36', 'p_a_allm': 21, 'p_a_min': 27, 'e': 1, 'p_a_maj': 13, 'p_a_conj': 8}
Row 9: {'time': '1935-11-14 15:54:56', 'p_a_allm': 24, 'p_a_min': 24, 'e': 0, 'p_a_maj': 19, 'p_a_conj': 5}
Row 10: {'time': '1935-11-14 07:41:59', 'p_a_allm': 15, 'p_a_min': 23, 'e': 2, 'p_a_maj': 14, 'p_a_conj': 1}
Row 11: {'time': '1935-11-13 23:16:31', 'p_a_allm': 25, 'p_a_min': 14, 'e': 4, 'p_a_maj': 17, 'p_a_conj': 8}
Row 12: {'time': '1935-11-14 04:42:39', 'p_a_allm': 27, 'p_a_min': 30, 'e': 1, 'p_a_maj': 21, 'p_a_conj': 6}
Row 13: {'time': '1935-11-13 21:18:08', 'p_a_allm': 24, 'p_a_min': 28, 'e': 0, 'p_a_maj': 21, 'p_a_conj': 3}
Row 14: {'time': '1935-11-14 01:39:27', 'p_a_allm': 25, 'p_a_min': 26, 'e': 1, 'p_a_maj': 20, 'p_a_conj': 5}
Row 15: {'time': '1935-11-13 22:36:47', 'p_a_allm': 22, 'p_a_min': 28, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 5}
Row 16: {'time': '1935-11-14 11:56:24', 'p_a_allm': 33, 'p_a_min': 29, 'e': 1, 'p_a_maj': 29, 'p_a_conj': 4}
Row 17: {'time': '1935-11-14 17:23:52', 'p_a_allm': 28, 'p_a_min': 23, 'e': 1, 'p_a_maj': 20, 'p_a_conj': 8}
Row 18: {'time': '1935-11-14 10:48:55', 'p_a_allm': 18, 'p_a_min': 32, 'e': 0, 'p_a_maj': 12, 'p_a_conj': 6}
Row 19: {'time': '1935-11-14 03:00:07', 'p_a_allm': 23, 'p_a_min': 16, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 6}
Row 20: {'time': '1935-11-14 18:55:04', 'p_a_allm': 34, 'p_a_min': 27, 'e': 1, 'p_a_maj': 25, 'p_a_conj': 9}
Row 21: {'time': '1935-11-14 03:49:51', 'p_a_allm': 27, 'p_a_min': 29, 'e': 1, 'p_a_maj': 24, 'p_a_conj': 3}
Row 22: {'time': '1935-11-14 13:26:55', 'p_a_allm': 23, 'p_a_min': 30, 'e': 0, 'p_a_maj': 17, 'p_a_conj': 6}
Row 23: {'time': '1935-11-14 11:59:36', 'p_a_allm': 33, 'p_a_min': 37, 'e': 1, 'p_a_maj': 28, 'p_a_conj': 5}
Row 24: {'time': '1935-11-14 01:46:23', 'p_a_allm': 32, 'p_a_min': 22, 'e': 0, 'p_a_maj': 22, 'p_a_conj': 10}
Row 25: {'time': '1935-11-14 10:18:00', 'p_a_allm': 30, 'p_a_min': 22, 'e': 2, 'p_a_maj': 18, 'p_a_conj': 12}
Row 26: {'time': '1935-11-14 04:14:31', 'p_a_allm': 29, 'p_a_min': 21, 'e': 0, 'p_a_maj': 24, 'p_a_conj': 5}
Row 27: {'time': '1935-11-14 13:43:28', 'p_a_allm': 23, 'p_a_min': 31, 'e': 1, 'p_a_maj': 12, 'p_a_conj': 11}
Row 28: {'time': '1935-11-14 06:56:31', 'p_a_allm': 28, 'p_a_min': 31, 'e': 1, 'p_a_maj': 23, 'p_a_conj': 5}
Row 29: {'time': '1935-11-14 09:30:00', 'p_a_allm': 33, 'p_a_min': 18, 'e': 0, 'p_a_maj': 27, 'p_a_conj': 6}
Row 30: {'time': '1935-11-14 09:23:36', 'p_a_allm': 26, 'p_a_min': 28, 'e': 1, 'p_a_maj': 24, 'p_a_conj': 2}
Row 31: {'time': '1935-11-14 11:44:08', 'p_a_allm': 22, 'p_a_min': 34, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 6}
Row 32: {'time': '1935-11-14 13:17:04', 'p_a_allm': 21, 'p_a_min': 20, 'e': 2, 'p_a_maj': 14, 'p_a_conj': 7}
Row 33: {'time': '1935-11-14 08:25:52', 'p_a_allm': 19, 'p_a_min': 28, 'e': 1, 'p_a_maj': 15, 'p_a_conj': 4}
Row 34: {'time': '1935-11-14 18:27:35', 'p_a_allm': 22, 'p_a_min': 34, 'e': 0, 'p_a_maj': 14, 'p_a_conj': 8}
Row 35: {'time': '1935-11-14 11:32:24', 'p_a_allm': 22, 'p_a_min': 22, 'e': 2, 'p_a_maj': 16, 'p_a_conj': 6}
Row 36: {'time': '1935-11-14 19:18:07', 'p_a_allm': 34, 'p_a_min': 26, 'e': 0, 'p_a_maj': 25, 'p_a_conj': 9}
Row 37: {'time': '1935-11-13 21:31:52', 'p_a_allm': 31, 'p_a_min': 24, 'e': 0, 'p_a_maj': 22, 'p_a_conj': 9}
Row 38: {'time': '1935-11-13 22:16:15', 'p_a_allm': 17, 'p_a_min': 27, 'e': 1, 'p_a_maj': 11, 'p_a_conj': 6}
