Row 1: {'time': '1935-01-08 08:15:44', 'p_a_allm': 22, 'p_a_min': 16, 'e': 0, 'p_a_maj': 17, 'p_a_conj': 5}
Row 2: {'time': '1935-01-08 12:09:52', 'p_a_allm': 17, 'p_a_min': 15, 'e': 2, 'p_a_maj': 13, 'p_a_conj': 4}
Row 3: {'time': '1935-01-08 06:00:31', 'p_a_allm': 27, 'p_a_min': 19, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 7}
Row 4: {'time': '1935-01-08 23:20:00', 'p_a_allm': 18, 'p_a_min': 17, 'e': 3, 'p_a_maj': 13, 'p_a_conj': 5}
Row 5: {'time': '1935-01-08 16:14:07', 'p_a_allm': 31, 'p_a_min': 23, 'e': 0, 'p_a_maj': 25, 'p_a_conj': 6}
Row 6: {'time': '1935-01-08 05:34:47', 'p_a_allm': 16, 'p_a_min': 19, 'e': 4, 'p_a_maj': 15, 'p_a_conj': 1}
Row 7: {'time': '1935-01-08 12:25:51', 'p_a_allm': 19, 'p_a_min': 22, 'e': 1, 'p_a_maj': 13, 'p_a_conj': 6}
Row 8: {'time': '1935-01-08 10:35:29', 'p_a_allm': 29, 'p_a_min': 23, 'e': 1, 'p_a_maj': 21, 'p_a_conj': 8}
Row 9: {'time': '1935-01-08 13:12:31', 'p_a_allm': 21, 'p_a_min': 25, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 5}
Row 10: {'time': '1935-01-08 20:29:12', 'p_a_allm': 18, 'p_a_min': 23, 'e': 1, 'p_a_maj': 11, 'p_a_conj': 7}
Row 11: {'time': '1935-01-08 21:21:52', 'p_a_allm': 18, 'p_a_min': 32, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 2}
Row 12: {'time': '1935-01-08 13:28:23', 'p_a_allm': 26, 'p_a_min': 27, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 6}
Row 13: {'time': '1935-01-08 22:45:59', 'p_a_allm': 18, 'p_a_min': 22, 'e': 1, 'p_a_maj': 14, 'p_a_conj': 4}
Row 14: {'time': '1935-01-09 03:08:31', 'p_a_allm': 25, 'p_a_min': 27, 'e': 0, 'p_a_maj': 18, 'p_a_conj': 7}
Row 15: {'time': '1935-01-08 17:30:24', 'p_a_allm': 21, 'p_a_min': 26, 'e': 0, 'p_a_maj': 19, 'p_a_conj': 2}
Row 16: {'time': '1935-01-08 08:37:36', 'p_a_allm': 22, 'p_a_min': 16, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 5}
Row 17: {'time': '1935-01-08 17:38:23', 'p_a_allm': 20, 'p_a_min': 19, 'e': 1, 'p_a_maj': 18, 'p_a_conj': 2}
Row 18: {'time': '1935-01-08 06:17:04', 'p_a_allm': 16, 'p_a_min': 21, 'e': 1, 'p_a_maj': 12, 'p_a_conj': 4}
Row 19: {'time': '1935-01-08 23:41:20', 'p_a_allm': 23, 'p_a_min': 18, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 7}
Row 20: {'time': '1935-01-08 11:14:00', 'p_a_allm': 30, 'p_a_min': 14, 'e': 0, 'p_a_maj': 23, 'p_a_conj': 7}
Row 21: {'time': '1935-01-08 10:34:47', 'p_a_allm': 29, 'p_a_min': 26, 'e': 1, 'p_a_maj': 22, 'p_a_conj': 7}
Row 22: {'time': '1935-01-08 15:24:47', 'p_a_allm': 23, 'p_a_min': 24, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 8}
Row 23: {'time': '1935-01-08 19:18:47', 'p_a_allm': 22, 'p_a_min': 16, 'e': 2, 'p_a_maj': 16, 'p_a_conj': 6}
