Row 1: {'time': '1813-05-22 02:48:23', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_allm': 6, 'a_p_min': 7, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_allm': 4, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 7, 'h_p_allm': 7, 'h_p_min': 1, 'mon_p_conj': 0, 'mon_p_maj': 3, 'mon_p_allm': 3, 'mon_p_min': 3, 'e': 0, 'all_maj': 15, 'all_conj': 6}
Row 2: {'time': '1813-05-22 21:45:44', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 4, 'a_p_allm': 5, 'a_p_min': 12, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 2, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_allm': 3, 'h_p_min': 1, 'mon_p_conj': 1, 'mon_p_maj': 4, 'mon_p_allm': 5, 'mon_p_min': 5, 'e': 0, 'all_maj': 13, 'all_conj': 4}
Row 3: {'time': '1813-05-22 20:47:12', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 4, 'a_p_conj': 2, 'a_p_maj': 5, 'a_p_allm': 7, 'a_p_min': 8, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_allm': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_allm': 3, 'h_p_min': 8, 'mon_p_conj': 1, 'mon_p_maj': 2, 'mon_p_allm': 3, 'mon_p_min': 5, 'e': 0, 'all_maj': 11, 'all_conj': 5}
Row 4: {'time': '1813-05-22 08:00:47', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 2, 'a_p_conj': 0, 'a_p_maj': 4, 'a_p_allm': 4, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 9, 'mon_p_conj': 1, 'mon_p_maj': 8, 'mon_p_allm': 9, 'mon_p_min': 5, 'e': 1, 'all_maj': 17, 'all_conj': 1}
Row 5: {'time': '1813-05-22 07:09:51', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_allm': 2, 'p_a_min': 3, 'a_p_conj': 4, 'a_p_maj': 3, 'a_p_allm': 7, 'a_p_min': 5, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_allm': 3, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 7, 'mon_p_conj': 2, 'mon_p_maj': 7, 'mon_p_allm': 9, 'mon_p_min': 5, 'e': 0, 'all_maj': 15, 'all_conj': 8}
Row 6: {'time': '1813-05-22 04:57:51', 'p_a_conj': 0, 'p_a_maj': 4, 'p_a_allm': 4, 'p_a_min': 6, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 2, 'h_p_conj': 3, 'h_p_maj': 4, 'h_p_allm': 7, 'h_p_min': 3, 'mon_p_conj': 1, 'mon_p_maj': 6, 'mon_p_allm': 7, 'mon_p_min': 8, 'e': 0, 'all_maj': 15, 'all_conj': 6}
Row 7: {'time': '1813-05-21 23:51:44', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_allm': 2, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 3, 'a_p_allm': 3, 'a_p_min': 11, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 5, 'h_p_allm': 5, 'h_p_min': 3, 'mon_p_conj': 0, 'mon_p_maj': 6, 'mon_p_allm': 6, 'mon_p_min': 2, 'e': 1, 'all_maj': 16, 'all_conj': 0}
Row 8: {'time': '1813-05-22 21:23:44', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 4, 'a_p_allm': 5, 'a_p_min': 7, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 4, 'mon_p_conj': 1, 'mon_p_maj': 3, 'mon_p_allm': 4, 'mon_p_min': 4, 'e': 0, 'all_maj': 7, 'all_conj': 2}
Row 9: {'time': '1813-05-22 14:46:31', 'p_a_conj': 0, 'p_a_maj': 5, 'p_a_allm': 5, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 6, 'a_p_allm': 9, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 2, 'mon_p_conj': 3, 'mon_p_maj': 3, 'mon_p_allm': 6, 'mon_p_min': 4, 'e': 0, 'all_maj': 16, 'all_conj': 6}
Row 10: {'time': '1813-05-22 12:50:47', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 5, 'a_p_conj': 4, 'a_p_maj': 7, 'a_p_allm': 11, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_allm': 3, 'h_p_min': 5, 'mon_p_conj': 0, 'mon_p_maj': 4, 'mon_p_allm': 4, 'mon_p_min': 5, 'e': 0, 'all_maj': 17, 'all_conj': 5}
Row 11: {'time': '1813-05-22 02:53:20', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_allm': 5, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 2, 'h_p_conj': 2, 'h_p_maj': 2, 'h_p_allm': 4, 'h_p_min': 3, 'mon_p_conj': 0, 'mon_p_maj': 3, 'mon_p_allm': 3, 'mon_p_min': 4, 'e': 1, 'all_maj': 9, 'all_conj': 5}
