['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['1929-07-28 10:51:04', '0', '1', '2', "(Mercury,121.729,(r)) (H10,61.666,(d)) (sextile,3.80')", '4', '5', '6', '7', '8', '9', '10', '11', '12', "(Mars,164.628,(r)) (H1,164.467,(d)) (conjunction,9.67')", '14', '15', '16', '17', '18', "(Saturn,264.668,(r)) (H1,84.527,(c)) (opposition,8.45')\n(Neptune,150.129,(r)) (H10,330.016,(c)) (opposition,6.76')", 4]
['1929-07-28 09:48:15', '0', '1', "(Venus,81.375,(r)) (H5,261.479,(d)) (opposition,6.27')", '3', '4', '5', '6', '7', '8', '9', '10', "(Saturn,264.670,(r)) (H8,354.587,(d)) (square,4.99')", '12', "(Mars,164.601,(r)) (H10,344.647,(c)) (opposition,2.74')", '14', '15', '16', '17', '18', "(Moon,20.814,(r)) (H8,20.962,(d)) (conjunction,8.90')\n(Saturn,264.670,(r)) (H10,84.609,(d)) (opposition,3.67')", 5]
['1929-07-28 19:28:23', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', "(Mercury,122.487,(r)) (H1,212.552,(c)) (square,3.86')", '14', '15', "(Sun,125.198,(r)) (H10,125.025,(c)) (conjunction,10.37')", "(Moon,26.142,(r)) (H10,206.250,(d)) (opposition,6.46')", '18', "(Mars,164.851,(r)) (H8,164.916,(d)) (conjunction,3.90')", 4]
['1929-07-28 18:30:47', '0', '1', '2', "(Sun,125.160,(r)) (H10,125.310,(c)) (conjunction,9.01')", "(Sun,125.160,(r)) (H10,125.102,(c)) (conjunction,3.46')", '5', '6', '7', "(Moon,25.611,(r)) (H1,205.574,(c)) (opposition,2.24')\n(Moon,25.611,(r)) (H3,265.613,(c)) (trine,0.14')", '9', "(Sun,125.160,(r)) (H4,5.201,(d)) (trine,2.50')", '11', '12', "(Neptune,150.140,(r)) (H9,150.198,(d)) (conjunction,3.52')", '14', '15', '16', '17', "(Saturn,264.653,(r)) (H7,84.740,(d)) (opposition,5.22')", '19', 7]
['1929-07-27 23:02:31', "(Jupiter,69.426,(r)) (H1,309.463,(d)) (trine,2.20')", '1', '2', '3', "(Moon,14.940,(r)) (H7,134.970,(d)) (trine,1.83')", '5', '6', "(Venus,80.886,(r)) (H1,320.952,(d)) (trine,3.92')\n(Uranus,11.336,(r)) (H4,11.357,(c)) (conjunction,1.25')", '8', '9', '10', '11', "(Neptune,150.112,(r)) (H7,149.974,(d)) (conjunction,8.26')", "(Mars,164.324,(r)) (H1,254.282,(c)) (square,2.56')", "(Venus,80.886,(r)) (H1,320.904,(d)) (trine,1.05')\n(Uranus,11.336,(r)) (H10,191.392,(c)) (opposition,3.35')", '15', "(Moon,14.940,(r)) (H8,104.883,(c)) (square,3.39')", '17', '18', "(Uranus,11.336,(r)) (H10,281.268,(d)) (square,4.08')", 10]
['1929-07-28 18:18:32', '0', '1', "(Mercury,122.385,(r)) (H10,122.502,(c)) (conjunction,7.00')", "(Mercury,122.385,(r)) (H10,122.324,(c)) (conjunction,3.64')", '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', "(Pluto,108.378,(r)) (H10,108.337,(c)) (conjunction,2.44')", '17', '18', "(Saturn,264.653,(r)) (H10,84.750,(c)) (opposition,5.79')", 4]
['1929-07-28 11:46:00', '0', "(Mean_Node,47.226,(r)) (H5,287.278,(d)) (trine,3.12')", '2', '3', '4', '5', '6', '7', '8', '9', '10', "(Saturn,264.666,(r)) (H7,354.694,(d)) (square,1.66')", '12', "(Saturn,264.666,(r)) (H10,84.623,(d)) (opposition,2.60')", '14', '15', '16', '17', '18', "(Mars,164.652,(r)) (H10,344.664,(c)) (opposition,0.71')", 4]
['1929-07-28 15:22:39', '0', '1', "(Sun,125.035,(r)) (H10,125.102,(d)) (conjunction,4.06')", '3', '4', '5', '6', "(Jupiter,69.548,(r)) (H4,309.560,(d)) (trine,0.73')", '8', "(Pluto,108.374,(r)) (H5,288.419,(c)) (opposition,2.70')", "(Mars,164.745,(r)) (H1,164.597,(c)) (conjunction,8.86')", "(Mars,164.745,(r)) (H7,344.593,(c)) (opposition,9.12')", '12', '13', "(Jupiter,69.548,(r)) (H10,129.528,(d)) (sextile,1.19')", '15', '16', '17', '18', '19', 6]
['1929-07-27 22:00:15', '0', "(Mean_Node,47.256,(r)) (H10,227.390,(d)) (opposition,8.02')\n(Mercury,120.599,(r)) (H10,180.652,(c)) (sextile,3.15')", '2', '3', "(Uranus,11.336,(r)) (H5,71.344,(d)) (sextile,0.48')", '5', "(Saturn,264.693,(r)) (H10,174.709,(c)) (square,0.96')", '7', '8', "(Sun,124.343,(r)) (H1,244.409,(c)) (trine,4.00')", '10', "(Saturn,264.693,(r)) (H8,174.633,(d)) (square,3.62')", '12', '13', '14', '15', '16', '17', "(Uranus,11.336,(r)) (H8,191.209,(d)) (opposition,7.66')", '19', 7]
['1929-07-28 16:02:23', "(Uranus,11.330,(r)) (H10,131.337,(d)) (trine,0.41')", "(Sun,125.061,(r)) (H5,305.210,(c)) (opposition,8.97')", '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', "(Neptune,150.136,(r)) (H10,150.253,(d)) (conjunction,7.02')", '17', '18', '19', 3]
