Row 1: {'time': '1929-07-28 10:51:04', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 17, 'all_conj': 3, 'all_maj': 1, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 4}
Row 2: {'time': '1929-07-28 09:48:15', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_allm': 3, 'h_p_min': 0, 'e': 16, 'all_conj': 4, 'all_maj': 1, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 5}
Row 3: {'time': '1929-07-28 19:28:23', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 16, 'all_conj': 3, 'all_maj': 1, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 4}
Row 4: {'time': '1929-07-28 18:30:47', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 1, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'e': 14, 'all_conj': 5, 'all_maj': 2, 'a_p_p_a_conj': 4, 'a_p_h_p_all_m': 7}
Row 5: {'time': '1929-07-27 23:02:31', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 6, 'a_p_allm': 9, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'e': 12, 'all_conj': 3, 'all_maj': 7, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 10}
Row 6: {'time': '1929-07-28 18:18:32', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 0, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 16, 'all_conj': 4, 'all_maj': 0, 'a_p_p_a_conj': 4, 'a_p_h_p_all_m': 4}
Row 7: {'time': '1929-07-28 11:46:00', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'e': 16, 'all_conj': 2, 'all_maj': 2, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 4}
Row 8: {'time': '1929-07-28 15:22:39', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 14, 'all_conj': 4, 'all_maj': 2, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 6}
Row 9: {'time': '1929-07-27 22:00:15', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_allm': 3, 'h_p_min': 0, 'e': 14, 'all_conj': 2, 'all_maj': 5, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 7}
Row 10: {'time': '1929-07-28 16:02:23', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 17, 'all_conj': 2, 'all_maj': 1, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 3}
Row 11: {'time': '1929-07-28 19:41:52', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 16, 'all_conj': 2, 'all_maj': 2, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 4}
Row 12: {'time': '1929-07-28 16:20:15', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 15, 'all_conj': 3, 'all_maj': 2, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 5}
Row 13: {'time': '1929-07-28 13:29:28', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 15, 'all_conj': 3, 'all_maj': 2, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 5}
Row 14: {'time': '1929-07-28 01:30:47', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_allm': 3, 'h_p_min': 0, 'e': 13, 'all_conj': 4, 'all_maj': 4, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 8}
