['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['1929-07-28 10:51:04', "(Sun,144.078,(p)) (H9,24.233,(p)) (trine,9.29')\n(Mercury,121.729,(r)) (H1,121.735,(c)) (conjunction,0.31')", '1', '2', '3', '4', '5', "(Mars,182.277,(p)) (H8,2.219,(p)) (opposition,3.45')\n(Sun,98.122,(c)) (H10,8.304,(c)) (square,10.96')", "(Mars,164.628,(r)) (H5,224.578,(c)) (sextile,3.04')", '8', '9', "(Jupiter,69.514,(r)) (H4,249.694,(p)) (opposition,10.77')", '11', '12', '13', "(Moon,7.705,(c)) (H10,7.984,(c)) (conjunction,16.73')", "(Sun,88.000,(c)) (H9,327.999,(c)) (trine,0.07')", '16', "(Moon,235.141,(c)) (H10,355.621,(c)) (trine,28.85')", '18', '19', 9]
['1929-07-28 09:48:15', "(Venus,60.277,(c)) (H10,0.106,(c)) (sextile,10.31')", "(Mercury,164.340,(p)) (H10,44.162,(p)) (trine,10.69')", "(Moon,20.814,(r)) (H5,260.746,(p)) (trine,4.10')", "(Moon,20.814,(r)) (H5,260.908,(p)) (trine,5.64')", '4', '5', '6', '7', '8', '9', '10', "(Neptune,150.127,(r)) (H7,330.259,(p)) (opposition,7.92')", '12', '13', '14', '15', '16', '17', '18', '19', 5]
['1929-07-28 19:28:23', "(Mean_Node,47.209,(r)) (H9,107.287,(c)) (sextile,4.70')", '1', '2', '3', '4', '5', '6', "(Moon,40.911,(p)) (H5,40.493,(p)) (conjunction,25.10')", '8', "(Uranus,11.328,(r)) (H4,311.441,(c)) (sextile,6.76')", "(Mean_Node,45.407,(p)) (H5,45.281,(p)) (conjunction,7.56')", "(Pluto,109.140,(p)) (H4,19.180,(p)) (square,2.40')\n(Mean_Node,45.407,(p)) (H5,45.285,(p)) (conjunction,7.27')", '12', '13', '14', '15', '16', '17', '18', '19', 6]
['1929-07-28 18:30:47', "(Jupiter,72.772,(p)) (H9,132.895,(p)) (sextile,7.36')", "(Sun,125.160,(r)) (H7,65.045,(p)) (sextile,6.88')\n(Venus,81.771,(r)) (H5,21.847,(p)) (sextile,4.57')", "(Sun,125.160,(r)) (H10,124.976,(c)) (conjunction,10.99')\n(Jupiter,64.949,(c)) (H10,124.976,(c)) (sextile,1.66')", "(Jupiter,64.910,(c)) (H10,124.790,(c)) (sextile,7.21')", '4', '5', '6', "(Jupiter,69.571,(r)) (H1,249.407,(p)) (opposition,9.82')\n(Moon,25.611,(r)) (H1,205.714,(c)) (opposition,6.16')", "(Moon,359.286,(c)) (H10,119.435,(c)) (trine,8.95')", '9', '10', '11', "(Pluto,108.378,(r)) (H8,108.380,(p)) (conjunction,0.13')", '13', "(Moon,25.611,(r)) (H1,205.741,(c)) (opposition,7.77')", "(Mercury,188.057,(p)) (H10,188.089,(p)) (conjunction,1.95')", '16', "(Mercury,188.786,(p)) (H10,188.677,(p)) (conjunction,6.49')", '18', '19', 13]
['1929-07-27 23:02:31', "(Sun,105.250,(c)) (H9,165.367,(c)) (sextile,7.05')", '1', '2', '3', '4', '5', '6', '7', "(Jupiter,69.426,(r)) (H10,189.450,(c)) (trine,1.41')", '9', '10', '11', "(Pluto,108.357,(r)) (H8,108.294,(c)) (conjunction,3.78')", '13', '14', '15', '16', '17', "(Mars,164.324,(r)) (H7,164.322,(p)) (conjunction,0.16')\n(Sun,80.847,(c)) (H4,350.953,(c)) (square,6.35')", "(Neptune,150.112,(r)) (H10,149.955,(c)) (conjunction,9.41')", 6]
['1929-07-28 18:18:32', "(Jupiter,69.569,(r)) (H9,129.553,(p)) (sextile,0.96')\n(Jupiter,65.710,(c)) (H10,125.660,(c)) (sextile,2.98')", '1', '2', '3', '4', '5', '6', '7', "(Mercury,175.405,(p)) (H10,175.474,(p)) (conjunction,4.14')", '9', '10', '11', "(Pluto,108.378,(r)) (H7,18.412,(c)) (square,2.06')", '13', '14', '15', "(Mars,164.821,(r)) (H1,254.758,(p)) (square,3.75')", "(Sun,125.151,(r)) (H10,185.334,(p)) (sextile,10.98')\n(Moon,195.405,(p)) (H7,75.041,(p)) (trine,21.85')\n(Jupiter,75.009,(p)) (H7,75.041,(p)) (conjunction,1.90')", '18', '19', 8]
['1929-07-28 11:46:00', '0', "(Venus,106.667,(p)) (H5,286.640,(p)) (opposition,1.58')", "(Mean_Node,45.969,(p)) (H7,346.036,(p)) (sextile,4.01')\n(Jupiter,69.521,(r)) (H7,309.590,(c)) (trine,4.17')", "(Jupiter,69.521,(r)) (H7,309.440,(c)) (trine,4.84')\n(Moon,69.653,(c)) (H7,309.440,(c)) (trine,12.76')", '4', '5', '6', '7', "(Moon,21.891,(r)) (H10,21.748,(c)) (conjunction,8.62')", "(Jupiter,63.265,(c)) (H1,123.411,(c)) (sextile,8.80')", '10', "(Pluto,109.134,(p)) (H8,18.957,(p)) (square,10.60')", "(Pluto,109.139,(p)) (H8,19.183,(p)) (square,2.64')", "(Mars,164.652,(r)) (H9,344.806,(c)) (opposition,9.22')", '14', "(Uranus,11.331,(r)) (H10,11.290,(c)) (conjunction,2.51')", "(Mean_Node,47.226,(r)) (H8,317.050,(c)) (square,10.56')\n(Uranus,11.075,(c)) (H10,11.037,(c)) (conjunction,2.31')", "(Mean_Node,47.226,(r)) (H5,227.283,(c)) (opposition,3.47')", '18', '19', 14]
['1929-07-28 15:22:39', '0', '1', "(Mercury,81.046,(c)) (H10,80.958,(c)) (conjunction,5.30')", "(Mercury,80.853,(c)) (H10,80.781,(c)) (conjunction,4.33')", "(Mercury,80.632,(c)) (H10,80.575,(c)) (conjunction,3.40')", '5', "(Moon,13.946,(c)) (H8,13.687,(c)) (conjunction,15.56')", '7', '8', "(Uranus,11.330,(r)) (H4,311.191,(p)) (sextile,8.33')\n(Pluto,107.563,(c)) (H5,287.609,(c)) (opposition,2.74')", "(Uranus,11.175,(c)) (H4,251.058,(c)) (trine,7.04')", '11', '12', '13', '14', "(Sun,162.204,(p)) (H9,102.217,(p)) (sextile,0.82')", '16', '17', "(Saturn,267.662,(c)) (H8,357.762,(c)) (square,6.00')", '19', 9]
['1929-07-27 22:00:15', '0', "(Jupiter,69.418,(r)) (H5,69.284,(p)) (conjunction,8.03')", '2', '3', "(Moon,57.992,(c)) (H10,178.248,(c)) (trine,15.36')", '5', '6', '7', "(Mercury,75.954,(c)) (H3,315.831,(c)) (trine,7.42')", '9', "(Mean_Node,47.256,(r)) (H4,347.099,(c)) (sextile,9.43')", "(Pluto,107.476,(c)) (H5,17.501,(c)) (square,1.47')", '12', '13', '14', "(Uranus,10.480,(p)) (H1,310.657,(p)) (sextile,10.64')", "(Moon,178.693,(p)) (H8,178.874,(p)) (conjunction,10.81')\n(Neptune,151.521,(p)) (H10,241.350,(p)) (square,10.26')", '17', '18', '19', 8]
['1929-07-28 16:02:23', '0', "(Jupiter,73.091,(p)) (H10,133.007,(p)) (sextile,5.04')\n(Mean_Node,46.026,(p)) (H5,345.960,(p)) (sextile,3.95')", "(Mean_Node,47.216,(r)) (H5,347.066,(p)) (sextile,9.01')", "(Mean_Node,47.216,(r)) (H5,347.232,(p)) (sextile,0.94')\n(Mercury,167.059,(p)) (H5,347.232,(p)) (opposition,10.35')", "(Mercury,167.403,(p)) (H5,347.425,(p)) (opposition,1.27')", "(Mean_Node,47.216,(r)) (H10,137.260,(p)) (square,2.65')", '6', '7', "(Venus,51.475,(c)) (H3,231.397,(c)) (opposition,4.67')", '9', '10', '11', '12', "(Pluto,108.375,(r)) (H9,108.550,(p)) (conjunction,10.47')", "(Venus,52.402,(c)) (H9,52.309,(c)) (conjunction,5.57')", '15', '16', "(Mean_Node,47.216,(r)) (H7,347.366,(c)) (sextile,8.97')\n(Mean_Node,49.293,(c)) (H5,289.179,(c)) (trine,6.88')", '18', '19', 12]
