['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-07 03:34:15', '0', '1', '2', '3', '4', "(Mercury,190.851,(r)) (H10,310.873,(c)) (trine,1.36')", '6', '7', '8', '9', "(Mercury,190.851,(r)) (H10,10.999,(d)) (opposition,8.90')", '11', '12', '13', '14', "(Moon,280.026,(r)) (H4,100.198,(c)) (opposition,10.36')", '16', 3]
['1916-09-07 03:58:15', '0', '1', '2', '3', '4', '5', "(Moon,280.265,(r)) (H10,10.228,(d)) (square,2.23')", '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', 1]
['1916-09-06 23:15:44', '0', '1', '2', '3', '4', '5', "(Neptune,123.891,(r)) (H1,33.869,(d)) (square,1.35')\n(Mean_Node,296.515,(r)) (H10,296.548,(d)) (conjunction,1.99')", "(Jupiter,35.144,(r)) (H7,215.280,(d)) (opposition,8.13')", '8', '9', '10', "(Mars,208.827,(r)) (H5,88.811,(c)) (trine,0.95')", '12', '13', "(Uranus,316.694,(r)) (H5,76.706,(c)) (trine,0.70')", '15', '16', 5]
['1916-09-06 13:09:59', '0', '1', '2', '3', '4', '5', '6', "(Venus,117.782,(r)) (H5,357.863,(d)) (trine,4.83')", '8', '9', "(Moon,271.446,(r)) (H10,151.429,(d)) (trine,1.02')", '11', "(Mean_Node,296.537,(r)) (H1,176.482,(c)) (trine,3.28')", '13', "(Uranus,316.709,(r)) (H4,256.732,(c)) (sextile,1.40')", '15', '16', 4]
['1916-09-06 19:28:55', '0', "(Mercury,190.490,(r)) (H1,310.495,(d)) (trine,0.34')", '2', '3', '4', '5', "(Moon,275.198,(r)) (H1,275.130,(c)) (conjunction,4.07')", '7', '8', "(Moon,275.198,(r)) (H5,95.132,(d)) (opposition,3.96')\n(Jupiter,35.151,(r)) (H5,95.132,(d)) (sextile,1.16')", '10', "(Jupiter,35.151,(r)) (H1,335.223,(d)) (sextile,4.32')\n(Jupiter,35.151,(r)) (H5,35.023,(c)) (conjunction,7.69')", '12', '13', '14', "(Moon,275.198,(r)) (H8,95.110,(c)) (opposition,5.24')", '16', 7]
['1916-09-07 03:01:12', "(Venus,118.314,(r)) (H3,118.279,(c)) (conjunction,2.13')", "(Uranus,316.689,(r)) (H10,316.818,(c)) (conjunction,7.72')", '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', "(Mars,208.930,(r)) (H4,209.101,(d)) (conjunction,10.22')\n(Mars,208.930,(r)) (H5,119.005,(c)) (square,4.50')", '16', 4]
['1916-09-06 09:09:44', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', "(Uranus,316.714,(r)) (H4,196.663,(c)) (trine,3.12')", "(Mean_Node,296.546,(r)) (H4,296.433,(d)) (conjunction,6.76')", '16', 2]
['1916-09-06 16:47:19', '0', '1', '2', "(Moon,273.596,(r)) (H1,273.577,(d)) (conjunction,1.11')", '4', '5', '6', '7', '8', '9', '10', '11', '12', "(Jupiter,35.156,(r)) (H4,35.161,(d)) (conjunction,0.30')\n(Uranus,316.704,(r)) (H4,316.755,(c)) (conjunction,3.11')", '14', '15', '16', 3]
['1916-09-06 23:24:56', '0', '1', "(Mars,208.831,(r)) (H8,208.844,(c)) (conjunction,0.79')", '3', "(Mean_Node,296.514,(r)) (H10,296.665,(d)) (conjunction,9.04')", '5', "(Mars,208.831,(r)) (H10,298.749,(d)) (square,4.89')", "(Jupiter,35.144,(r)) (H7,155.203,(c)) (trine,3.55')", '8', '9', '10', '11', "(Mars,208.831,(r)) (H5,88.773,(c)) (trine,3.49')", '13', '14', '15', '16', 5]
['1916-09-06 12:57:44', "(Venus,117.774,(r)) (H4,297.620,(d)) (opposition,9.24')", '1', '2', '3', '4', '5', '6', '7', "(Moon,271.324,(r)) (H4,271.156,(c)) (conjunction,10.09')", '9', "(Venus,117.774,(r)) (H1,237.842,(d)) (trine,4.07')\n(Mean_Node,296.537,(r)) (H9,116.648,(d)) (opposition,6.64')", '11', '12', '13', '14', "(Moon,271.324,(r)) (H8,1.388,(c)) (square,3.83')", '16', 5]
['1916-09-07 02:46:39', '0', "(Jupiter,35.138,(r)) (H10,335.107,(d)) (sextile,1.90')", '2', "(Uranus,316.690,(r)) (H1,76.738,(d)) (trine,2.90')", '4', '5', "(Mars,208.924,(r)) (H10,298.979,(c)) (square,3.33')", '7', '8', '9', '10', '11', '12', '13', "(Moon,279.551,(r)) (H4,99.477,(c)) (opposition,4.44')", "(Mean_Node,296.507,(r)) (H7,296.500,(d)) (conjunction,0.43')", "(Mars,208.924,(r)) (H8,208.931,(c)) (conjunction,0.46')", 6]
['1916-09-06 05:04:47', '0', '1', '2', '3', '4', "(Moon,266.665,(r)) (H10,26.751,(d)) (trine,5.13')", "(Neptune,123.869,(r)) (H3,123.996,(c)) (conjunction,7.64')", "(Mars,208.325,(r)) (H10,28.356,(d)) (opposition,1.85')", '8', "(Moon,266.665,(r)) (H4,146.732,(c)) (trine,4.03')", "(Venus,117.473,(r)) (H9,297.636,(c)) (opposition,9.78')", '11', '12', '13', '14', '15', "(Saturn,116.805,(r)) (H4,116.741,(c)) (conjunction,3.86')", 6]
['1916-09-06 10:59:19', "(Moon,270.156,(r)) (H4,270.016,(d)) (conjunction,8.38')\n(Venus,117.699,(r)) (H7,357.614,(c)) (trine,5.12')", '1', '2', '3', '4', "(Jupiter,35.165,(r)) (H3,215.151,(c)) (opposition,0.87')", '6', '7', '8', "(Venus,117.699,(r)) (H4,297.691,(d)) (opposition,0.47')\n(Mars,208.488,(r)) (H5,328.567,(d)) (trine,4.73')", "(Moon,270.156,(r)) (H1,210.064,(d)) (sextile,5.49')", '11', '12', '13', '14', "(Neptune,123.876,(r)) (H4,213.927,(c)) (square,3.04')\n(Neptune,123.876,(r)) (H7,304.040,(c)) (opposition,9.82')", '16', 8]
['1916-09-07 01:52:39', '0', '1', '2', '3', '4', '5', '6', '7', "(Uranus,316.691,(r)) (H1,76.755,(d)) (trine,3.87')", '9', '10', "(Sun,164.102,(r)) (H4,164.270,(d)) (conjunction,10.12')", '12', '13', '14', '15', '16', 2]
['1916-09-06 05:12:47', '0', '1', '2', '3', "(Saturn,116.806,(r)) (H10,26.856,(d)) (square,3.04')", "(Jupiter,35.175,(r)) (H10,335.215,(c)) (sextile,2.42')", '6', '7', '8', "(Jupiter,35.175,(r)) (H4,215.193,(d)) (opposition,1.07')", '10', '11', '12', '13', '14', '15', '16', 3]
['1916-09-06 21:10:15', '0', '1', '2', "(Uranus,316.697,(r)) (H10,256.766,(d)) (sextile,4.10')", '4', '5', '6', "(Venus,118.089,(r)) (H7,178.019,(d)) (sextile,4.19')", '8', '9', '10', '11', '12', '13', '14', '15', '16', 2]
['1916-09-06 15:13:51', '0', '1', '2', '3', '4', '5', '6', "(Jupiter,35.158,(r)) (H5,335.123,(c)) (sextile,2.10')\n(Jupiter,35.158,(r)) (H7,35.321,(c)) (conjunction,9.75')", "(Pluto,94.268,(r)) (H5,334.292,(c)) (trine,1.43')", '9', '10', "(Mars,208.605,(r)) (H5,328.640,(c)) (trine,2.09')", '12', '13', '14', '15', "(Mean_Node,296.532,(r)) (H1,296.623,(d)) (conjunction,5.42')", 5]
['1916-09-06 15:06:32', '0', '1', '2', '3', '4', "(Jupiter,35.158,(r)) (H1,215.022,(c)) (opposition,8.17')", '6', '7', "(Venus,117.857,(r)) (H4,357.815,(d)) (trine,2.50')", "(Venus,117.857,(r)) (H4,297.721,(c)) (opposition,8.16')\n(Mars,208.602,(r)) (H5,328.598,(c)) (trine,0.20')", '10', '11', '12', '13', '14', "(Neptune,123.881,(r)) (H8,33.862,(c)) (square,1.17')", '16', 5]
['1916-09-06 14:47:12', '0', '1', "(Moon,272.407,(r)) (H8,92.484,(d)) (opposition,4.64')", '3', '4', '5', "(Mars,208.593,(r)) (H10,118.634,(c)) (square,2.46')", '7', "(Mean_Node,296.533,(r)) (H4,296.671,(c)) (conjunction,8.26')", "(Mean_Node,296.533,(r)) (H4,356.615,(d)) (sextile,4.93')", '10', '11', '12', '13', '14', '15', '16', 4]
['1916-09-06 13:39:19', '0', '1', "(Venus,117.801,(r)) (H1,207.714,(c)) (square,5.24')", '3', '4', "(Moon,271.736,(r)) (H10,151.794,(d)) (trine,3.51')", "(Sun,163.607,(r)) (H12,163.464,(c)) (conjunction,8.58')", '7', '8', "(Mercury,190.227,(r)) (H5,10.402,(d)) (opposition,10.52')", '10', '11', '12', '13', '14', '15', '16', 4]
