['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-22 02:48:23', '0', '1', '2', "(Venus,31.199,(c)) (H10,271.184,(c)) (trine,0.91')", "(Venus,30.727,(c)) (H10,270.851,(c)) (trine,7.45')", '5', '6', '7', '8', '9', 2]
['1813-05-22 21:45:44', "(Moon,292.161,(c)) (H7,52.648,(c)) (trine,29.22')", "(Neptune,254.553,(r)) (H8,74.583,(c)) (opposition,1.80')", "(Moon,224.109,(c)) (H8,133.645,(c)) (square,27.83')", '3', "(Mean_Node,135.547,(c)) (H7,75.715,(c)) (sextile,10.05')", '5', "(Sun,110.879,(p)) (H5,111.014,(p)) (conjunction,8.10')", "(Uranus,235.711,(r)) (H7,55.612,(c)) (opposition,5.93')", '8', '9', 6]
['1813-05-22 20:47:12', '0', '1', '2', '3', '4', "(Pluto,349.940,(c)) (H4,350.097,(c)) (conjunction,9.42')", '6', '7', '8', "(Sun,61.283,(r)) (H5,1.218,(c)) (sextile,3.91')", 2]
['1813-05-22 08:00:47', '0', '1', '2', '3', '4', '5', '6', "(Neptune,253.242,(p)) (H7,343.292,(p)) (square,3.00')", "(Moon,309.274,(p)) (H4,249.104,(p)) (sextile,10.19')", "(Mean_Node,131.365,(p)) (H4,251.281,(p)) (trine,5.05')", 3]
['1813-05-22 07:09:51', '0', "(Neptune,255.561,(c)) (H8,255.633,(c)) (conjunction,4.29')", "(Pluto,350.402,(c)) (H10,350.289,(c)) (conjunction,6.76')", "(Mean_Node,133.110,(p)) (H7,312.942,(p)) (opposition,10.08')", "(Mean_Node,133.090,(p)) (H7,313.222,(p)) (opposition,7.93')", '5', '6', "(Uranus,235.736,(r)) (H4,235.888,(p)) (conjunction,9.12')", '8', '9', 5]
['1813-05-22 04:57:51', "(Mean_Node,134.339,(r)) (H7,314.393,(p)) (opposition,3.21')\n(Jupiter,134.418,(p)) (H7,314.393,(p)) (opposition,1.54')", '1', '2', "(Moon,266.261,(p)) (H5,206.086,(p)) (sextile,10.51')\n(Mercury,26.171,(c)) (H5,146.035,(c)) (trine,8.12')", '4', "(Neptune,254.571,(r)) (H8,254.542,(c)) (conjunction,1.73')", "(Sun,60.650,(r)) (H5,240.688,(p)) (opposition,2.30')\n(Moon,356.161,(c)) (H5,115.986,(c)) (trine,10.51')", "(Uranus,235.740,(r)) (H8,235.644,(c)) (conjunction,5.74')", '8', '9', 8]
['1813-05-21 23:51:44', '0', '1', '2', "(Jupiter,127.537,(p)) (H7,187.570,(p)) (sextile,2.01')", '4', "(Mars,303.820,(r)) (H1,33.960,(p)) (square,8.41')", '6', '7', '8', '9', 2]
['1813-05-22 21:23:44', '0', "(Uranus,235.711,(r)) (H10,145.754,(c)) (square,2.55')", "(Mean_Node,134.303,(r)) (H10,224.349,(p)) (square,2.74')", '3', '4', '5', '6', '7', '8', '9', 2]
['1813-05-22 14:46:31', '0', '1', '2', "(Jupiter,120.836,(c)) (H7,0.912,(c)) (trine,4.53')", "(Jupiter,120.798,(c)) (H7,0.655,(c)) (trine,8.59')", '5', '6', '7', "(Uranus,235.723,(r)) (H1,235.664,(p)) (conjunction,3.56')", '9', 3]
['1813-05-22 12:50:47', "(Moon,321.266,(r)) (H10,141.263,(p)) (opposition,0.23')\n(Uranus,233.983,(p)) (H5,354.140,(p)) (trine,9.46')", "(Uranus,237.901,(c)) (H8,327.718,(c)) (square,10.97')", "(Pluto,350.510,(r)) (H1,170.492,(c)) (opposition,1.08')\n(Pluto,350.405,(c)) (H1,170.492,(c)) (opposition,5.24')", "(Mean_Node,133.097,(p)) (H7,13.066,(p)) (trine,1.85')", "(Jupiter,123.747,(r)) (H10,63.922,(c)) (sextile,10.51')", '5', "(Mean_Node,137.070,(c)) (H5,256.927,(c)) (trine,8.54')", "(Moon,321.266,(r)) (H7,321.319,(c)) (conjunction,3.17')", '8', '9', 9]
['1813-05-22 02:53:20', "(Mercury,21.393,(c)) (H5,81.547,(c)) (sextile,9.23')", '1', '2', '3', '4', "(Saturn,288.923,(r)) (H8,288.906,(p)) (conjunction,0.98')\n(Moon,58.557,(p)) (H4,148.514,(p)) (square,2.58')", '6', "(Mars,303.869,(r)) (H8,303.887,(p)) (conjunction,1.08')", '8', '9', 4]
['1813-05-22 04:53:36', '0', "(Pluto,350.507,(r)) (H10,260.686,(c)) (square,10.74')", "(Mean_Node,134.339,(r)) (H10,314.449,(c)) (opposition,6.58')", '3', '4', '5', "(Mean_Node,134.339,(r)) (H1,14.385,(c)) (trine,2.72')", '7', '8', "(Mars,303.901,(r)) (H5,243.983,(p)) (sextile,4.89')", 4]
['1813-05-22 07:52:07', "(Venus,130.263,(p)) (H10,70.395,(p)) (sextile,7.96')", '1', '2', "(Mercury,35.787,(r)) (H10,35.943,(p)) (conjunction,9.32')", '4', '5', '6', '7', '8', '9', 2]
['1813-05-22 20:25:52', "(Mercury,22.563,(c)) (H10,142.507,(c)) (trine,3.38')", '1', "(Saturn,289.155,(c)) (H8,109.271,(c)) (opposition,7.00')", "(Jupiter,120.860,(c)) (H7,60.873,(c)) (sextile,0.76')", "(Venus,60.572,(r)) (H7,60.608,(c)) (conjunction,2.20')", "(Pluto,350.671,(p)) (H8,170.723,(p)) (opposition,3.11')", '6', "(Neptune,254.554,(r)) (H4,74.433,(p)) (opposition,7.23')", "(Moon,315.885,(p)) (H4,75.433,(p)) (trine,27.15')", '9', 7]
['1813-05-22 05:54:00', '0', "(Uranus,233.893,(p)) (H10,53.910,(p)) (opposition,1.03')", '2', '3', "(Venus,59.827,(r)) (H7,299.673,(p)) (trine,9.26')", '5', '6', "(Saturn,288.918,(r)) (H4,108.948,(c)) (opposition,1.78')", '8', '9', 3]
['1813-05-22 11:43:20', '0', "(Mean_Node,134.324,(r)) (H8,314.396,(c)) (opposition,4.30')\n(Moon,134.694,(c)) (H8,314.396,(c)) (opposition,17.86')", "(Pluto,350.510,(r)) (H1,170.378,(p)) (opposition,7.91')", "(Mercury,26.054,(c)) (H5,266.109,(c)) (trine,3.31')", "(Jupiter,127.698,(p)) (H5,307.542,(p)) (opposition,9.38')", "(Moon,230.728,(c)) (H1,141.048,(c)) (square,19.20')", '6', '7', '8', "(Uranus,235.728,(r)) (H5,235.693,(c)) (conjunction,2.12')", 7]
['1813-05-22 12:43:12', '0', "(Saturn,288.908,(r)) (H10,19.030,(c)) (square,7.31')", '2', '3', '4', '5', '6', '7', "(Moon,334.098,(c)) (H4,214.374,(c)) (trine,16.58')", '9', 2]
['1813-05-22 19:09:59', '0', '1', '2', '3', '4', "(Moon,234.420,(c)) (H4,324.229,(c)) (square,11.47')", "(Uranus,235.715,(r)) (H4,55.621,(p)) (opposition,5.66')", '7', "(Uranus,234.028,(p)) (H1,294.084,(p)) (sextile,3.41')", "(Mercury,138.474,(p)) (H5,78.343,(p)) (sextile,7.85')", 4]
['1813-05-22 08:29:20', "(Moon,318.925,(r)) (H10,79.064,(p)) (trine,8.32')\n(Sun,115.480,(p)) (H5,295.381,(p)) (opposition,5.94')\n(Moon,355.799,(p)) (H5,295.381,(p)) (sextile,25.12')", '1', '2', '3', '4', '5', "(Pluto,350.508,(r)) (H5,290.620,(p)) (sextile,6.68')\n(Pluto,350.584,(p)) (H5,290.620,(p)) (sextile,2.15')", '7', "(Sun,112.124,(p)) (H5,292.271,(p)) (opposition,8.87')\n(Moon,331.618,(c)) (H1,91.214,(c)) (trine,24.25')", "(Sun,114.317,(p)) (H5,294.307,(p)) (opposition,0.62')", 8]
['1813-05-22 08:46:08', '0', '1', '2', "(Moon,268.171,(p)) (H5,267.773,(p)) (conjunction,23.88')", "(Jupiter,120.773,(c)) (H10,0.646,(c)) (trine,7.62')", "(Saturn,288.914,(r)) (H1,109.095,(c)) (opposition,10.83')\n(Saturn,289.246,(c)) (H1,109.095,(c)) (opposition,9.11')", '6', '7', "(Jupiter,123.721,(r)) (H5,183.584,(c)) (sextile,8.25')", "(Sun,60.802,(r)) (H5,180.805,(c)) (trine,0.17')\n(Moon,300.822,(c)) (H5,180.805,(c)) (trine,1.06')", 7]
['1813-05-22 15:31:28', "(Moon,288.864,(c)) (H5,289.224,(c)) (conjunction,21.60')", '1', "(Saturn,288.904,(r)) (H1,198.918,(c)) (square,0.88')", '3', "(Moon,16.496,(c)) (H5,316.541,(c)) (sextile,2.73')", "(Pluto,350.672,(p)) (H8,80.708,(p)) (square,2.17')", "(Mean_Node,137.064,(c)) (H4,257.086,(c)) (trine,1.33')", "(Pluto,349.516,(c)) (H7,349.577,(c)) (conjunction,3.67')", "(Venus,60.320,(r)) (H4,0.414,(p)) (sextile,5.64')\n(Jupiter,123.763,(r)) (H1,243.825,(p)) (trine,3.72')", '9', 8]
['1813-05-22 00:54:23', '0', '1', "(Sun,60.487,(r)) (H1,330.330,(c)) (square,9.46')", '3', '4', '5', "(Venus,59.571,(r)) (H5,59.596,(c)) (conjunction,1.45')", '7', '8', "(Pluto,350.505,(r)) (H5,170.484,(p)) (opposition,1.23')\n(Pluto,350.550,(p)) (H5,170.484,(p)) (opposition,3.94')\n(Moon,296.588,(c)) (H5,56.289,(c)) (trine,17.97')", 5]
['1813-05-21 23:40:08', '0', '1', "(Sun,60.438,(r)) (H10,240.507,(c)) (opposition,4.18')", '3', "(Moon,6.623,(c)) (H5,66.234,(c)) (sextile,23.33')", '5', "(Mean_Node,137.099,(c)) (H1,256.944,(c)) (trine,9.29')", '7', "(Mean_Node,137.197,(c)) (H4,17.202,(c)) (trine,0.30')", '9', 4]
['1813-05-22 14:01:52', "(Venus,130.577,(p)) (H5,10.574,(p)) (trine,0.16')\n(Mars,310.662,(p)) (H5,10.574,(p)) (sextile,5.28')", '1', '2', "(Moon,21.332,(c)) (H10,80.899,(c)) (sextile,25.99')", "(Uranus,236.687,(c)) (H5,296.803,(c)) (sextile,6.97')", "(Mars,304.048,(r)) (H1,213.964,(p)) (square,5.07')\n(Neptune,255.314,(c)) (H1,165.394,(c)) (square,4.81')", "(Uranus,235.724,(r)) (H4,235.843,(c)) (conjunction,7.10')", '7', '8', '9', 7]
['1813-05-22 01:42:31', '0', '1', '2', "(Sun,82.660,(p)) (H5,142.660,(p)) (sextile,0.03')", "(Sun,83.026,(p)) (H5,143.140,(p)) (sextile,6.83')\n(Mean_Node,135.592,(c)) (H10,255.651,(c)) (trine,3.58')", "(Sun,93.636,(p)) (H8,273.731,(p)) (opposition,5.65')", "(Sun,10.077,(c)) (H5,70.162,(c)) (sextile,5.08')", '7', '8', '9', 5]
['1813-05-22 08:18:32', '0', '1', "(Mean_Node,134.332,(r)) (H1,134.353,(p)) (conjunction,1.25')\n(Moon,318.829,(r)) (H8,318.914,(c)) (conjunction,5.08')", '3', '4', '5', "(Mars,311.658,(p)) (H4,251.505,(p)) (sextile,9.20')\n(Mean_Node,131.585,(p)) (H4,251.505,(p)) (trine,4.81')", '7', '8', '9', 4]
['1813-05-22 15:05:11', '0', '1', '2', '3', '4', '5', '6', '7', '8', "(Uranus,235.722,(r)) (H4,355.769,(p)) (trine,2.77')", 1]
['1813-05-22 06:50:31', "(Venus,59.875,(r)) (H7,240.057,(c)) (opposition,10.88')", "(Neptune,252.961,(p)) (H1,162.850,(p)) (square,6.63')\n(Saturn,287.648,(c)) (H10,287.687,(c)) (conjunction,2.37')", '2', '3', '4', "(Moon,318.044,(r)) (H1,137.932,(p)) (opposition,6.70')\n(Moon,228.307,(c)) (H4,138.770,(c)) (square,27.82')", "(Sun,110.288,(p)) (H4,230.350,(p)) (trine,3.73')", '7', '8', "(Moon,299.781,(c)) (H4,119.469,(c)) (opposition,18.70')\n(Mercury,23.568,(c)) (H5,143.466,(c)) (trine,6.10')", 8]
