['Time', '0: 1883-07-05', '1: 1895-01-24', '2: 1899-11-15', '3: 1898-12-01', '4: 1900-06-05', '5: 1909-07-11', '6: 1911-05-28', '7: 1914-10-07', '8: 1918-11-15', '9: 1921-06-29', '10: 1922-09-15', '11: 1941-12-12', '12: 1944-09-05', '13: 1953-06-24', '14: 1963-10-19', 'Count']
['1874-11-30 01:51:36', '0', '1', "(Mean_Node,23.045,(p)) (H1,202.975,(p)) (opposition,4.20')", "(Venus,262.022,(r)) (H9,81.967,(p)) (opposition,3.27')", "(Jupiter,203.570,(r)) (H1,203.404,(p)) (conjunction,9.99')\n(Jupiter,203.570,(r)) (H9,83.469,(p)) (trine,6.06')", '5', '6', '7', '8', "(Saturn,309.595,(r)) (H1,219.480,(p)) (square,6.86')", "(Moon,230.297,(c)) (H4,230.073,(c)) (conjunction,13.44')", '11', "(Moon,149.804,(r)) (H10,29.736,(c)) (trine,4.11')", '13', '14', 7]
['1874-11-30 02:36:23', "(Mean_Node,23.910,(p)) (H10,114.009,(p)) (square,5.96')", '1', '2', "(Moon,150.196,(r)) (H1,210.064,(p)) (sextile,7.91')\n(Sun,272.179,(p)) (H9,92.175,(p)) (opposition,0.24')", "(Sun,273.716,(p)) (H9,93.728,(p)) (opposition,0.74')\n(Venus,261.075,(c)) (H10,80.950,(c)) (opposition,7.52')", "(Moon,49.838,(c)) (H5,289.530,(c)) (trine,18.49')", "(Mean_Node,24.365,(r)) (H4,324.447,(p)) (sextile,4.94')", '7', '8', '9', '10', '11', "(Jupiter,203.576,(r)) (H9,143.488,(p)) (sextile,5.28')", '13', '14', 8]
['1874-11-30 01:33:59', '0', '1', '2', '3', '4', '5', '6', "(Moon,330.953,(c)) (H5,271.124,(c)) (sextile,10.29')", "(Moon,149.651,(r)) (H1,149.747,(c)) (conjunction,5.77')", '9', "(Mean_Node,24.367,(r)) (H5,264.249,(c)) (trine,7.09')", "(Uranus,135.229,(r)) (H1,135.072,(c)) (conjunction,9.42')", '12', "(Mars,196.551,(r)) (H10,16.654,(c)) (opposition,6.16')", '14', 5]
['1874-11-30 00:49:35', '0', '1', '2', '3', "(Venus,249.698,(p)) (H9,69.698,(p)) (opposition,0.03')", '5', '6', "(Jupiter,203.562,(r)) (H1,203.590,(p)) (conjunction,1.69')", "(Venus,262.041,(r)) (H1,142.007,(c)) (trine,2.02')", '9', '10', '11', '12', '13', '14', 3]
['1874-11-30 00:34:56', '0', '1', '2', '3', '4', "(Venus,262.045,(r)) (H5,262.005,(c)) (conjunction,2.44')", "(Moon,149.134,(r)) (H5,329.225,(p)) (opposition,5.44')\n(Jupiter,209.153,(p)) (H5,329.225,(p)) (trine,4.31')\n(Mean_Node,24.370,(r)) (H1,144.358,(c)) (trine,0.70')\n(Moon,19.978,(c)) (H5,260.294,(c)) (trine,18.98')", "(Venus,262.045,(r)) (H1,142.136,(c)) (trine,5.46')", '8', "(Moon,34.406,(p)) (H4,304.912,(p)) (square,30.35')", '10', '11', "(Moon,149.134,(r)) (H10,149.170,(p)) (conjunction,2.18')\n(Jupiter,189.053,(c)) (H10,9.194,(c)) (opposition,8.46')", '13', '14', 9]
['1874-11-30 01:15:11', "(Neptune,28.275,(p)) (H8,28.214,(p)) (conjunction,3.63')", "(Mars,184.162,(c)) (H8,4.114,(c)) (opposition,2.93')", "(Mars,196.543,(r)) (H1,196.597,(p)) (conjunction,3.23')", "(Neptune,28.434,(r)) (H9,28.611,(c)) (conjunction,10.61')", "(Uranus,135.229,(r)) (H9,75.344,(p)) (sextile,6.91')", '5', "(Mars,218.486,(p)) (H5,338.355,(p)) (trine,7.87')", '7', '8', '9', "(Sun,199.748,(c)) (H5,259.786,(c)) (sextile,2.26')", '11', '12', "(Saturn,309.593,(r)) (H12,219.614,(p)) (square,1.26')", '14', 8]
['1874-11-30 00:04:56', '0', "(Mean_Node,24.371,(r)) (H8,24.390,(p)) (conjunction,1.19')", "(Uranus,135.230,(r)) (H10,45.205,(c)) (square,1.49')\n(Uranus,135.154,(c)) (H10,45.205,(c)) (square,3.08')\n(Neptune,29.039,(c)) (H12,118.937,(c)) (square,6.14')", '3', '4', '5', "(Mean_Node,22.439,(p)) (H5,322.491,(p)) (sextile,3.11')", "(Moon,330.077,(c)) (H4,210.435,(c)) (trine,21.54')", "(Jupiter,209.956,(p)) (H5,329.783,(p)) (trine,10.34')", '9', "(Mean_Node,21.841,(p)) (H1,201.766,(p)) (opposition,4.46')", '11', "(Moon,337.082,(p)) (H1,217.601,(p)) (trine,31.11')", '13', '14', 9]
['1874-11-30 01:24:47', '0', '1', '2', '3', "(Moon,149.570,(r)) (H9,29.428,(c)) (trine,8.50')", '5', "(Mars,174.035,(c)) (H4,233.913,(c)) (sextile,7.31')", "(Moon,149.570,(r)) (H1,209.740,(p)) (sextile,10.19')\n(Moon,330.862,(c)) (H1,150.830,(c)) (opposition,1.93')", '8', "(Moon,34.894,(p)) (H1,214.807,(p)) (opposition,5.19')", "(Moon,52.094,(p)) (H5,351.776,(p)) (sextile,19.11')\n(Venus,262.030,(r)) (H5,262.076,(c)) (conjunction,2.76')", "(Mercury,193.326,(c)) (H1,133.462,(c)) (sextile,8.14')", '12', '13', '14', 8]
['1874-11-30 01:39:19', '0', '1', "(Mercury,227.597,(r)) (H12,137.594,(c)) (square,0.18')", "(Moon,189.318,(c)) (H10,69.049,(c)) (trine,16.13')", '4', '5', '6', '7', "(Pluto,51.424,(r)) (H5,351.335,(p)) (sextile,5.33')", '9', '10', '11', '12', '13', '14', 3]
['1874-11-30 01:40:56', '0', '1', "(Neptune,28.071,(p)) (H10,118.004,(p)) (square,4.00')", "(Mercury,259.504,(p)) (H9,79.580,(p)) (opposition,4.54')\n(Moon,189.331,(c)) (H10,69.426,(c)) (trine,5.68')", '4', '5', '6', "(Mercury,227.598,(r)) (H5,347.609,(p)) (trine,0.65')", '8', "(Pluto,51.424,(r)) (H4,321.425,(p)) (square,0.05')", '10', '11', '12', '13', "(Mars,247.814,(p)) (H1,247.875,(p)) (conjunction,3.61')", 6]
