['Time', 'Event0', 'Count']
['02:00:00', "(Mars,182.246,(r)) (MC,62.184,(d)) (trine,4')", 1]
['02:00:08', "(Mars,182.246,(r)) (MC,62.216,(d)) (trine,2')", 1]
['02:00:16', "(Mars,182.246,(r)) (MC,62.248,(d)) (trine,0')", 1]
['02:00:24', "(Mars,182.246,(r)) (MC,62.280,(d)) (trine,2')", 1]
['02:00:32', "(Mars,182.246,(r)) (MC,62.312,(d)) (trine,4')", 1]
['02:00:39', '', 0]
['02:00:47', '', 0]
['02:00:56', "(Venus,152.485,(r)) (MC,62.408,(d)) (square,5')\n(ASC,149.021,(r)) (Saturn,59.091,(d)) (square,4')", 2]
['02:01:04', "(Venus,152.485,(r)) (MC,62.439,(d)) (square,3')\n(ASC,149.044,(r)) (Saturn,59.088,(d)) (square,3')", 2]
['02:01:12', "(Venus,152.485,(r)) (MC,62.471,(d)) (square,1')\n(ASC,149.067,(r)) (Saturn,59.085,(d)) (square,1')", 2]
['02:01:20', "(Venus,152.485,(r)) (MC,62.503,(d)) (square,1')\n(ASC,149.090,(r)) (Saturn,59.082,(d)) (square,0')", 2]
['02:01:28', "(Venus,152.485,(r)) (MC,62.535,(d)) (square,3')\n(ASC,149.113,(r)) (Saturn,59.079,(d)) (square,2')", 2]
['02:01:36', "(Venus,152.485,(r)) (MC,62.567,(d)) (square,5')\n(ASC,149.135,(r)) (Saturn,59.077,(d)) (square,4')", 2]
['02:01:44', "(ASC,149.158,(r)) (Saturn,59.074,(d)) (square,5')", 1]
['02:01:52', '', 0]
['02:02:00', '', 0]
['02:02:08', '', 0]
['02:02:15', '', 0]
['02:02:23', '', 0]
['02:02:31', '', 0]
['02:02:39', '', 0]
['02:02:47', '', 0]
['02:02:56', '', 0]
['02:03:04', '', 0]
['02:03:12', '', 0]
['02:03:20', '', 0]
['02:03:28', '', 0]
['02:03:36', '', 0]
['02:03:44', '', 0]
['02:03:52', "(Mars,182.248,(r)) (MC,32.170,(c)) (150-quincunx,5')", 1]
['02:03:59', "(Mars,182.248,(r)) (MC,32.205,(c)) (150-quincunx,3')", 1]
['02:04:07', "(Mars,182.248,(r)) (MC,32.239,(c)) (150-quincunx,1')", 1]
['02:04:15', "(Mars,182.248,(r)) (MC,32.274,(c)) (150-quincunx,2')", 1]
['02:04:23', "(Mars,182.248,(r)) (MC,32.309,(c)) (150-quincunx,4')", 1]
['02:04:31', '', 0]
['02:04:39', '', 0]
['02:04:47', "(Venus,152.488,(r)) (MC,32.413,(c)) (trine,4')", 1]
['02:04:56', "(Venus,152.488,(r)) (MC,32.448,(c)) (trine,2')", 1]
['02:05:04', "(Venus,152.488,(r)) (MC,32.483,(c)) (trine,0')", 1]
['02:05:12', "(Moon,295.436,(r)) (ASC,160.360,(d)) (135-sesquisquare,5')\n(Venus,152.488,(r)) (MC,32.518,(c)) (trine,2')", 2]
['02:05:20', "(Moon,295.437,(r)) (ASC,160.382,(d)) (135-sesquisquare,3')\n(Venus,152.488,(r)) (MC,32.552,(c)) (trine,4')", 2]
['02:05:28', "(Moon,295.438,(r)) (ASC,160.405,(d)) (135-sesquisquare,2')", 1]
['02:05:36', "(Moon,295.439,(r)) (ASC,160.428,(d)) (135-sesquisquare,1')", 1]
['02:05:43', "(Moon,295.441,(r)) (ASC,160.451,(d)) (135-sesquisquare,1')", 1]
['02:05:51', "(Moon,295.442,(r)) (ASC,160.474,(d)) (135-sesquisquare,2')", 1]
['02:06:00', "(Moon,295.443,(r)) (ASC,160.497,(d)) (135-sesquisquare,3')", 1]
['02:06:08', "(Moon,295.444,(r)) (ASC,160.520,(d)) (135-sesquisquare,5')", 1]
['02:06:16', "(Mean_Node,190.617,(r)) (ASC,160.542,(d)) (30-semisextile,4')", 1]
['02:06:24', "(Mean_Node,190.617,(r)) (ASC,160.565,(d)) (30-semisextile,3')", 1]
['02:06:32', "(Mean_Node,190.617,(r)) (ASC,160.588,(d)) (30-semisextile,2')", 1]
['02:06:40', "(Mean_Node,190.617,(r)) (ASC,160.611,(d)) (30-semisextile,0')", 1]
['02:06:48', "(Mean_Node,190.617,(r)) (ASC,160.634,(d)) (30-semisextile,1')", 1]
['02:06:56', "(Mean_Node,190.617,(r)) (ASC,160.657,(d)) (30-semisextile,2')", 1]
['02:07:04', "(Mean_Node,190.617,(r)) (ASC,160.680,(d)) (30-semisextile,4')", 1]
['02:07:12', "(Mean_Node,190.617,(r)) (ASC,160.703,(d)) (30-semisextile,5')\n(MC,48.820,(r)) (Mars,168.910,(c)) (trine,5')", 2]
['02:07:20', "(MC,48.854,(r)) (Mars,168.912,(c)) (trine,3')", 1]
['02:07:28', "(MC,48.887,(r)) (Mars,168.913,(c)) (trine,2')", 1]
['02:07:36', "(ASC,150.160,(r)) (Mars,195.232,(d)) (45-semisquare,4')\n(MC,48.920,(r)) (Mars,168.915,(c)) (trine,0')", 2]
['02:07:44', "(ASC,150.183,(r)) (Mars,195.229,(d)) (45-semisquare,3')\n(MC,48.953,(r)) (Mars,168.917,(c)) (trine,2')", 2]
['02:07:52', "(ASC,150.206,(r)) (Mars,195.227,(d)) (45-semisquare,1')\n(MC,48.986,(r)) (Mars,168.919,(c)) (trine,4')", 2]
['02:08:00', "(Pluto,124.181,(r)) (MC,64.095,(d)) (sextile,5')\n(ASC,150.228,(r)) (Mars,195.224,(d)) (45-semisquare,0')", 2]
['02:08:08', "(Pluto,124.181,(r)) (MC,64.126,(d)) (sextile,3')\n(ASC,150.251,(r)) (Mars,195.222,(d)) (45-semisquare,2')", 2]
['02:08:16', "(Pluto,124.181,(r)) (MC,64.158,(d)) (sextile,1')\n(ASC,150.274,(r)) (Mars,195.220,(d)) (45-semisquare,3')", 2]
['02:08:24', "(Pluto,124.181,(r)) (MC,64.190,(d)) (sextile,1')\n(ASC,150.297,(r)) (Mars,195.217,(d)) (45-semisquare,5')", 2]
['02:08:32', "(Pluto,124.181,(r)) (MC,64.222,(d)) (sextile,2')", 1]
['02:08:40', "(Pluto,124.181,(r)) (MC,64.253,(d)) (sextile,4')\n(MC,49.185,(r)) (Pluto,109.258,(c)) (sextile,4')", 2]
['02:08:48', "(MC,49.218,(r)) (Pluto,109.258,(c)) (sextile,2')", 1]
['02:08:56', "(MC,49.251,(r)) (Pluto,109.259,(c)) (sextile,0')", 1]
['02:09:04', "(MC,49.284,(r)) (Pluto,109.259,(c)) (sextile,2')", 1]
['02:09:12', "(MC,49.318,(r)) (Pluto,109.260,(c)) (sextile,3')", 1]
['02:09:20', "(MC,49.351,(r)) (Pluto,109.260,(c)) (sextile,5')", 1]
['02:09:28', '', 0]
['02:09:36', '', 0]
['02:09:44', '', 0]
['02:09:52', '', 0]
['02:10:00', '', 0]
['02:10:08', '', 0]
['02:10:16', '', 0]
['02:10:24', '', 0]
['02:10:32', '', 0]
['02:10:40', '', 0]
['02:10:47', '', 0]
['02:10:56', '', 0]
['02:11:04', '', 0]
['02:11:12', '', 0]
['02:11:20', "(Pluto,124.181,(r)) (MC,34.114,(c)) (square,4')", 1]
['02:11:28', "(Pluto,124.181,(r)) (MC,34.148,(c)) (square,2')\n(ASC,150.821,(r)) (Moon,285.894,(c)) (135-sesquisquare,4')", 2]
['02:11:36', "(Pluto,124.181,(r)) (MC,34.183,(c)) (square,0')\n(ASC,150.843,(r)) (Moon,285.893,(c)) (135-sesquisquare,3')", 2]
['02:11:44', "(Pluto,124.181,(r)) (MC,34.217,(c)) (square,2')\n(ASC,150.866,(r)) (Moon,285.891,(c)) (135-sesquisquare,2')", 2]
['02:11:52', "(Pluto,124.181,(r)) (MC,34.252,(c)) (square,4')\n(ASC,150.889,(r)) (Moon,285.890,(c)) (135-sesquisquare,0')", 2]
['02:12:00', "(ASC,150.912,(r)) (Moon,285.888,(c)) (135-sesquisquare,1')", 1]
['02:12:08', "(ASC,150.934,(r)) (Moon,285.887,(c)) (135-sesquisquare,3')", 1]
['02:12:16', "(ASC,150.957,(r)) (Moon,285.885,(c)) (135-sesquisquare,4')", 1]
['02:12:24', '', 0]
['02:12:31', '', 0]
['02:12:39', '', 0]
['02:12:47', '', 0]
['02:12:56', '', 0]
['02:13:04', '', 0]
['02:13:12', '', 0]
['02:13:20', '', 0]
['02:13:28', '', 0]
['02:13:36', '', 0]
['02:13:44', '', 0]
['02:13:52', '', 0]
['02:14:00', '', 0]
['02:14:08', '', 0]
['02:14:15', '', 0]
['02:14:23', '', 0]
['02:14:31', '', 0]
['02:14:39', '', 0]
['02:14:47', '', 0]
['02:14:56', '', 0]
['02:15:04', '', 0]
['02:15:12', '', 0]
['02:15:20', '', 0]
