['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:00:00, 32, opp/conj: 4', 'sqr/tri/sext: 13', 'major: 17', 'minor: 15']
['23:00:08, 32, opp/conj: 4', 'sqr/tri/sext: 13', 'major: 17', 'minor: 15']
['23:00:16, 33, opp/conj: 4', 'sqr/tri/sext: 12', 'major: 16', 'minor: 17']
['23:00:24, 37, opp/conj: 5', 'sqr/tri/sext: 13', 'major: 18', 'minor: 19']
['23:00:32, 37, opp/conj: 5', 'sqr/tri/sext: 13', 'major: 18', 'minor: 19']
['23:00:39, 39, opp/conj: 5', 'sqr/tri/sext: 14', 'major: 19', 'minor: 20']
['23:00:47, 41, opp/conj: 6', 'sqr/tri/sext: 14', 'major: 20', 'minor: 21']
['23:00:56, 41, opp/conj: 6', 'sqr/tri/sext: 15', 'major: 21', 'minor: 20']
['23:01:04, 39, opp/conj: 5', 'sqr/tri/sext: 13', 'major: 18', 'minor: 21']
['23:01:12, 38, opp/conj: 5', 'sqr/tri/sext: 12', 'major: 17', 'minor: 21']
['23:01:20, 35, opp/conj: 4', 'sqr/tri/sext: 13', 'major: 17', 'minor: 18']
['23:01:28, 34, opp/conj: 4', 'sqr/tri/sext: 13', 'major: 17', 'minor: 17']
['23:01:36, 35, opp/conj: 5', 'sqr/tri/sext: 14', 'major: 19', 'minor: 16']
['23:01:44, 29, opp/conj: 4', 'sqr/tri/sext: 11', 'major: 15', 'minor: 14']
['23:01:52, 29, opp/conj: 4', 'sqr/tri/sext: 11', 'major: 15', 'minor: 14']
['23:02:00, 28, opp/conj: 4', 'sqr/tri/sext: 11', 'major: 15', 'minor: 13']
['23:02:08, 26, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 13']
['23:02:15, 25, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 12']
['23:02:23, 26, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 14']
['23:02:31, 24, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 13']
['23:02:39, 23, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 11']
['23:02:47, 22, opp/conj: 3', 'sqr/tri/sext: 11', 'major: 14', 'minor: 8']
['23:02:56, 21, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 9']
['23:03:04, 20, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 9']
['23:03:12, 19, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 9']
['23:03:20, 22, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 12']
['23:03:28, 23, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 14']
['23:03:36, 23, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 15']
['23:03:44, 19, opp/conj: 0', 'sqr/tri/sext: 6', 'major: 6', 'minor: 13']
['23:03:52, 19, opp/conj: 0', 'sqr/tri/sext: 7', 'major: 7', 'minor: 12']
['23:03:59, 19, opp/conj: 0', 'sqr/tri/sext: 6', 'major: 6', 'minor: 13']
['23:04:07, 20, opp/conj: 0', 'sqr/tri/sext: 7', 'major: 7', 'minor: 13']
['23:04:15, 20, opp/conj: 1', 'sqr/tri/sext: 5', 'major: 6', 'minor: 14']
['23:04:23, 21, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 14']
['23:04:31, 20, opp/conj: 1', 'sqr/tri/sext: 5', 'major: 6', 'minor: 14']
['23:04:39, 18, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 11']
['23:04:47, 20, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 13']
['23:04:56, 19, opp/conj: 1', 'sqr/tri/sext: 5', 'major: 6', 'minor: 13']
['23:05:04, 20, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 12']
['23:05:12, 21, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 12']
['23:05:20, 18, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 9']
['23:05:28, 18, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 8']
['23:05:36, 21, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 10']
['23:05:43, 19, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 10']
['23:05:51, 20, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 10']
['23:06:00, 18, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 8']
['23:06:08, 19, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 8']
['23:06:16, 19, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 9']
['23:06:24, 21, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 11']
['23:06:32, 21, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 11']
['23:06:40, 23, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 13']
['23:06:48, 22, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 13']
