['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2013-12-12', '3: 2014-03-24', '4: 2015-05-27', '5: 2017-09-15', '6: 2018-02-19', '7: 2019-05-22', '8: 2019-08-13', '9: 2021-04-06', '10: 2021-07-10', '11: 2022-01-03', '12: 2022-05-25', '13: 2024-02-28', '14: 2024-03-08', 'Count']
['02:52:08', '0', '1', "(H1,333.341,(r)) (Neptune,333.535,(dp)) (conjunction,12')\n(H1,333.341,(r)) (Neptune,333.479,(dr)) (conjunction,8')", '3', "(H10,242.236,(r)) (Moon,242.526,(dp)) (conjunction,17')\n(H1,333.341,(r)) (Neptune,273.448,(cp)) (sextile,6')\n(H1,333.341,(r)) (Neptune,273.443,(cr)) (sextile,6')", '5', '6', '7', "(H10,242.236,(r)) (Moon,62.508,(cp)) (opposition,16')", '9', "(H1,333.341,(r)) (Moon,332.901,(dp)) (conjunction,26')", "(Uranus,318.688,(r)) (Moon,318.156,(dr)) (conjunction,32')", "(H10,242.236,(r)) (Mercury,332.362,(dr)) (square,8')\n(H10,242.236,(r)) (Mercury,2.231,(cp)) (trine,0')", "(H3,30.332,(r)) (Moon,210.822,(dr)) (opposition,29')", "(H3,30.332,(r)) (Moon,210.509,(dr)) (opposition,11')", 12]
['09:23:36', '0', "(H7,240.067,(r)) (Mercury,0.221,(cr)) (trine,9')", "(H1,60.067,(r)) (Moon,0.212,(dp)) (sextile,9')\n(H1,60.067,(r)) (Mars,0.170,(dp)) (sextile,6')\n(Mean_Node,121.339,(r)) (Moon,121.495,(cr)) (conjunction,9')", "(H7,240.067,(r)) (Mercury,359.941,(cp)) (trine,8')\n(H7,240.067,(r)) (Mercury,359.981,(cr)) (trine,5')", "(Neptune,305.685,(r)) (Moon,245.985,(dp)) (sextile,18')", "(Moon,56.282,(r)) (Moon,326.561,(cp)) (square,17')", "(H4,156.539,(r)) (Mercury,336.528,(cr)) (opposition,1')", '7', "(H1,60.067,(r)) (Moon,60.366,(dp)) (conjunction,18')\n(H10,336.539,(r)) (Moon,66.371,(cp)) (square,10')", '9', "(H10,336.539,(r)) (Moon,336.369,(dp)) (conjunction,10')", '11', "(Mars,21.370,(r)) (Moon,21.166,(cr)) (conjunction,12')\n(H9,302.670,(r)) (Mercury,2.743,(cp)) (sextile,4')", "(Jupiter,34.726,(r)) (Moon,214.315,(dr)) (opposition,25')\n(H1,60.067,(r)) (Moon,239.586,(dp)) (opposition,29')\n(H4,156.539,(r)) (Mean_Node,36.429,(dp)) (trine,7')\n(H4,156.539,(r)) (Mean_Node,36.532,(dr)) (trine,0')\n(Sun,351.113,(r)) (Moon,261.266,(cp)) (square,9')", "(H1,60.067,(r)) (Moon,239.922,(dp)) (opposition,9')", 20]
['15:00:31', "(Sun,351.347,(r)) (Moon,51.518,(dp)) (sextile,10')", '1', '2', "(H4,244.709,(r)) (Jupiter,334.626,(cp)) (square,5')\n(H4,244.709,(r)) (Jupiter,334.611,(cr)) (square,6')", "(H10,64.709,(r)) (Saturn,244.927,(dp)) (opposition,13')\n(H10,64.709,(r)) (Saturn,244.925,(dr)) (opposition,13')", "(H3,217.445,(r)) (Moon,157.345,(dr)) (sextile,6')\n(Moon,59.561,(r)) (Moon,329.385,(cp)) (square,11')", "(H4,244.709,(r)) (Moon,334.540,(cp)) (square,10')", '7', '8', "(H10,64.709,(r)) (Mars,64.628,(dp)) (conjunction,5')\n(H10,64.709,(r)) (Mars,64.546,(dr)) (conjunction,10')", "(H10,64.709,(r)) (Mars,64.783,(dp)) (conjunction,4')", "(H1,143.562,(r)) (Moon,143.160,(cr)) (conjunction,24')", "(H10,64.709,(r)) (Mars,304.641,(dp)) (trine,4')", "(H1,143.562,(r)) (Venus,23.515,(dr)) (trine,3')\n(H3,217.445,(r)) (Moon,217.335,(dr)) (conjunction,7')", "(Mercury,333.330,(r)) (Moon,243.038,(dp)) (square,17')\n(H1,143.562,(r)) (Venus,23.485,(dr)) (trine,5')\n(H3,217.445,(r)) (Moon,217.019,(dr)) (conjunction,26')", 18]
['09:21:04', "(H10,335.865,(r)) (Mean_Node,276.057,(cp)) (sextile,12')", '1', "(Mean_Node,121.340,(r)) (Moon,121.474,(cr)) (conjunction,8')", '3', "(Neptune,305.685,(r)) (Moon,245.962,(dp)) (sextile,17')\n(H10,335.865,(r)) (Moon,245.962,(dp)) (square,6')", "(Moon,56.258,(r)) (Moon,326.540,(cp)) (square,17')", '6', '7', '8', "(H1,59.520,(r)) (Moon,149.303,(cr)) (square,13')", "(H10,335.865,(r)) (Moon,336.347,(dp)) (conjunction,29')", "(H1,59.520,(r)) (Jupiter,119.359,(cr)) (sextile,10')", "(Mars,21.369,(r)) (Moon,21.143,(cr)) (conjunction,14')\n(H9,302.030,(r)) (Mercury,1.969,(cr)) (sextile,4')", "(Jupiter,34.725,(r)) (Moon,214.293,(dr)) (opposition,26')\n(H1,59.520,(r)) (Moon,239.563,(dp)) (opposition,3')\n(Sun,351.112,(r)) (Moon,261.242,(cp)) (square,8')", "(H1,59.520,(r)) (Moon,239.898,(dp)) (opposition,23')", 14]
['16:46:23', "(Mars,21.599,(r)) (Moon,81.884,(cp)) (sextile,17')", "(Jupiter,34.789,(r)) (Moon,304.708,(cp)) (square,5')", "(H1,179.018,(r)) (Mars,359.235,(dr)) (opposition,13')\n(H10,89.349,(r)) (Mars,359.235,(dr)) (square,7')\n(Neptune,305.694,(r)) (Moon,125.208,(cr)) (opposition,29')", "(H3,244.866,(r)) (Jupiter,334.644,(cp)) (square,13')", "(H3,244.866,(r)) (Saturn,244.927,(dp)) (conjunction,4')\n(H3,244.866,(r)) (Saturn,244.926,(dr)) (conjunction,4')", "(Sun,351.420,(r)) (Moon,171.669,(dp)) (opposition,15')", '6', "(Mean_Node,121.323,(r)) (Moon,61.358,(dp)) (sextile,2')", '8', "(H3,244.866,(r)) (Mars,64.671,(dp)) (opposition,12')", "(H9,64.866,(r)) (Mars,64.826,(dp)) (conjunction,2')", '11', "(H9,64.866,(r)) (Mars,304.696,(dp)) (trine,10')", '13', "(Venus,327.795,(r)) (Moon,237.848,(cr)) (square,3')", 14]
['02:50:47', '0', '1', '2', "(H4,61.916,(r)) (Moon,1.813,(cp)) (sextile,6')", '4', '5', '6', '7', '8', '9', "(H1,333.046,(r)) (Moon,332.889,(dp)) (conjunction,9')", '11', "(H1,333.046,(r)) (Mercury,333.014,(dp)) (conjunction,2')\n(H1,333.046,(r)) (Moon,92.952,(dr)) (trine,6')", '13', "(H3,30.003,(r)) (Moon,210.497,(dr)) (opposition,30')", 5]
['04:07:04', "(Mean_Node,121.351,(r)) (Moon,61.490,(cr)) (sextile,8')\n(H3,48.467,(r)) (Neptune,288.525,(cp)) (trine,3')\n(H3,48.467,(r)) (Neptune,288.504,(cr)) (trine,2')", '1', "(H1,350.070,(r)) (Mean_Node,229.877,(dp)) (trine,12')\n(H1,350.070,(r)) (Mean_Node,229.957,(dr)) (trine,7')", '3', '4', '5', "(H7,170.070,(r)) (Moon,170.503,(dp)) (conjunction,26')", "(H3,48.467,(r)) (Saturn,288.643,(dp)) (trine,11')\n(H3,48.467,(r)) (Saturn,288.614,(dr)) (trine,9')", "(H3,48.467,(r)) (Saturn,288.659,(dp)) (trine,12')\n(H3,48.467,(r)) (Saturn,288.597,(dr)) (trine,8')\n(Sun,350.894,(r)) (Moon,51.073,(cr)) (sextile,11')", '9', "(Mercury,333.498,(r)) (Moon,333.566,(dp)) (conjunction,4')", "(Uranus,318.691,(r)) (Moon,318.836,(dr)) (conjunction,9')\n(H3,48.467,(r)) (Venus,348.522,(dp)) (sextile,3')", "(Mercury,333.498,(r)) (Moon,93.581,(dr)) (trine,5')\n(H10,259.831,(r)) (Saturn,320.028,(dp)) (sextile,12')\n(H10,259.831,(r)) (Saturn,319.984,(dr)) (sextile,9')", "(Mean_Node,121.351,(r)) (Moon,211.490,(dr)) (square,8')\n(Sun,350.894,(r)) (Moon,230.631,(cr)) (trine,16')", "(Venus,327.144,(r)) (Moon,237.007,(dp)) (square,8')\n(Uranus,318.691,(r)) (Moon,258.524,(cp)) (sextile,10')\n(H1,350.070,(r)) (Moon,230.270,(cr)) (trine,12')", 22]
['02:56:08', '0', "(H7,154.228,(r)) (Mercury,334.293,(dp)) (opposition,4')\n(H7,154.228,(r)) (Mercury,334.221,(dr)) (opposition,0')", '2', '3', '4', '5', '6', '7', '8', "(H1,334.228,(r)) (Mars,64.334,(dp)) (square,6')\n(H1,334.228,(r)) (Mars,64.251,(dr)) (square,1')", "(H1,334.228,(r)) (Mars,64.100,(dr)) (square,8')\n(H10,243.192,(r)) (Moon,332.937,(dp)) (square,15')", "(Uranus,318.688,(r)) (Moon,318.192,(dr)) (conjunction,30')", "(H10,243.192,(r)) (Mercury,333.020,(dp)) (square,10')", "(H3,31.318,(r)) (Moon,210.858,(dr)) (opposition,28')", '14', 9]
['11:10:00', "(Neptune,305.687,(r)) (Moon,65.442,(cr)) (trine,15')\n(H10,5.404,(r)) (Moon,65.442,(cr)) (sextile,2')", '1', "(Mean_Node,121.336,(r)) (Moon,1.189,(dp)) (trine,9')", "(H4,185.404,(r)) (Moon,5.323,(cr)) (opposition,5')", "(Mean_Node,121.336,(r)) (Moon,241.607,(dr)) (trine,16')", "(Moon,57.317,(r)) (Moon,327.452,(cp)) (square,8')\n(Venus,327.506,(r)) (Moon,327.452,(cp)) (conjunction,3')", '6', '7', "(Mean_Node,121.336,(r)) (Moon,61.325,(dp)) (sextile,1')", '9', '10', '11', '12', "(Jupiter,34.741,(r)) (Moon,215.268,(dr)) (opposition,32')\n(H1,83.348,(r)) (Venus,23.320,(dr)) (sextile,2')", "(Jupiter,34.741,(r)) (Moon,214.953,(dr)) (opposition,13')\n(H1,83.348,(r)) (Venus,23.291,(dr)) (sextile,3')\n(H3,151.081,(r)) (Moon,240.904,(dp)) (square,11')", 13]
['17:09:28', '0', "(Jupiter,34.792,(r)) (Moon,304.903,(cp)) (square,7')", "(H10,94.657,(r)) (Moon,4.475,(dp)) (square,11')\n(Neptune,305.695,(r)) (Moon,125.402,(cr)) (opposition,18')", "(H4,274.657,(r)) (Jupiter,334.647,(cp)) (sextile,1')\n(H4,274.657,(r)) (Jupiter,334.632,(cr)) (sextile,1')", '4', "(Sun,351.436,(r)) (Moon,171.875,(dp)) (opposition,26')\n(H3,250.479,(r)) (Jupiter,250.568,(cp)) (conjunction,5')\n(H3,250.479,(r)) (Jupiter,250.519,(cr)) (conjunction,2')", "(Mercury,333.299,(r)) (Moon,152.943,(dr)) (opposition,21')\n(H3,250.479,(r)) (Mercury,340.362,(cp)) (square,7')", "(Mean_Node,121.322,(r)) (Moon,61.566,(dp)) (sextile,15')", '8', "(H10,94.657,(r)) (Moon,154.834,(cp)) (sextile,11')", '10', '11', '12', '13', "(Venus,327.815,(r)) (Moon,238.078,(cr)) (square,16')", 13]
