['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2013-12-12', '3: 2014-03-24', '4: 2015-05-27', '5: 2017-09-15', '6: 2018-02-19', '7: 2019-05-22', '8: 2019-08-13', '9: 2021-04-06', '10: 2021-07-10', '11: 2022-01-03', '12: 2022-05-25', '13: 2024-02-28', '14: 2024-03-08', 'Count']
['02:52:08', "(Sun,342.345,(c)) (H12,297.336,(c)) (45-semisquare,1')", '1', '2', "(H3,30.332,(r)) (Mercury,345.503,(c)) (45-semisquare,10')", "(H10,242.236,(r)) (Mars,32.400,(p)) (150-quincunx,10')\n(Mean_Node,120.548,(p)) (H1,345.686,(p)) (135-sesquisquare,8')\n(Sun,350.842,(r)) (H1,320.892,(c)) (30-semisextile,3')", "(H1,333.341,(r)) (Sun,333.272,(c)) (conjunction,4')", '6', "(H3,30.332,(r)) (Mean_Node,120.337,(p)) (square,0')", "(H3,30.332,(r)) (Mean_Node,120.325,(p)) (square,0')", '9', "(Neptune,305.677,(r)) (H1,350.676,(p)) (45-semisquare,0')\n(Mercury,346.543,(c)) (H12,286.487,(c)) (sextile,3')\n(Pluto,252.714,(c)) (H10,222.554,(c)) (30-semisextile,10')", "(Sun,350.842,(r)) (H10,260.862,(p)) (square,1')\n(Uranus,319.696,(p)) (H3,49.525,(p)) (square,10')", "(Mars,21.168,(r)) (H10,261.189,(p)) (trine,1')\n(Uranus,319.712,(p)) (H9,229.859,(p)) (square,9')\n(Neptune,306.218,(p)) (H1,351.390,(p)) (45-semisquare,10')\n(Neptune,306.218,(p)) (H10,261.189,(p)) (45-semisquare,2')\n(Saturn,41.516,(c)) (H10,221.700,(c)) (opposition,11')", "(Moon,6.071,(p)) (H3,51.376,(p)) (45-semisquare,18')\n(H3,30.332,(r)) (Jupiter,30.205,(c)) (conjunction,8')", "(Moon,6.409,(p)) (H3,51.397,(p)) (45-semisquare,1')\n(Moon,52.479,(r)) (H3,7.656,(c)) (45-semisquare,11')\n(H3,30.332,(r)) (Jupiter,30.201,(c)) (conjunction,8')", 23]
['09:23:36', "(Saturn,43.329,(r)) (H12,43.186,(p)) (conjunction,9')\n(H1,60.067,(r)) (Mars,15.027,(c)) (45-semisquare,2')", "(H4,156.539,(r)) (Jupiter,36.621,(p)) (trine,5')", '2', '3', "(Mars,21.370,(r)) (H10,351.477,(p)) (30-semisextile,6')\n(H3,122.670,(r)) (Mars,32.598,(p)) (square,4')", '5', "(Venus,349.580,(p)) (H3,139.750,(p)) (150-quincunx,10')", "(Sun,351.113,(r)) (H3,140.981,(p)) (150-quincunx,8')\n(Saturn,45.340,(p)) (H1,75.242,(p)) (30-semisextile,6')\n(Mean_Node,120.323,(p)) (H1,75.242,(p)) (45-semisquare,5')", "(Sun,351.113,(r)) (H3,141.206,(p)) (150-quincunx,6')\n(Mars,21.370,(r)) (H3,141.206,(p)) (trine,10')\n(Saturn,45.365,(p)) (H1,75.423,(p)) (30-semisextile,3')\n(Mean_Node,120.311,(p)) (H1,75.423,(p)) (45-semisquare,7')", "(Saturn,43.329,(r)) (H3,103.407,(c)) (sextile,5')\n(H1,60.067,(r)) (Sun,329.963,(c)) (square,6')", "(Saturn,43.329,(r)) (H9,283.170,(c)) (trine,10')\n(Pluto,252.897,(r)) (H1,42.776,(c)) (150-quincunx,7')\n(Uranus,317.537,(c)) (H12,17.366,(c)) (sextile,10')\n(Pluto,252.717,(c)) (H1,42.776,(c)) (150-quincunx,4')", '11', "(Saturn,43.329,(r)) (H10,358.412,(p)) (45-semisquare,5')", "(H1,60.067,(r)) (Mean_Node,120.070,(p)) (sextile,0')\n(Mean_Node,120.070,(p)) (H4,180.166,(p)) (sextile,6')\n(Moon,102.961,(c)) (H4,133.237,(c)) (30-semisextile,17')", "(H1,60.067,(r)) (Sun,14.905,(p)) (45-semisquare,10')", 24]
['15:00:31', "(Mean_Node,121.327,(r)) (H12,121.489,(p)) (conjunction,10')", "(Mercury,334.333,(p)) (H7,334.151,(p)) (conjunction,11')", "(Mean_Node,121.327,(r)) (H10,76.476,(p)) (45-semisquare,9')\n(H3,217.445,(r)) (Sun,337.564,(c)) (trine,7')", '3', "(Mars,32.769,(p)) (H10,77.701,(p)) (45-semisquare,4')\n(Mars,21.544,(r)) (H3,201.603,(c)) (opposition,4')", "(Jupiter,34.774,(r)) (H10,79.640,(p)) (45-semisquare,8')\n(H1,143.562,(r)) (Sun,8.742,(p)) (135-sesquisquare,11')\n(Uranus,319.539,(p)) (H10,79.640,(p)) (trine,6')\n(Uranus,318.714,(r)) (H10,48.843,(c)) (square,8')", "(Venus,349.868,(p)) (H4,260.001,(p)) (square,8')", "(Neptune,306.168,(p)) (H10,81.051,(p)) (135-sesquisquare,7')\n(Sun,332.090,(c)) (H3,197.244,(c)) (135-sesquisquare,9')\n(Mean_Node,122.344,(c)) (H1,122.416,(c)) (conjunction,4')", "(Sun,351.347,(r)) (H10,81.242,(p)) (square,6')\n(Neptune,306.173,(p)) (H10,81.242,(p)) (135-sesquisquare,4')\n(Sun,331.861,(c)) (H3,196.993,(c)) (135-sesquisquare,8')\n(Mean_Node,122.356,(c)) (H1,122.176,(c)) (conjunction,11')", "(Sun,330.200,(c)) (H3,195.163,(c)) (135-sesquisquare,2')", '10', "(Jupiter,34.774,(r)) (H1,169.847,(p)) (135-sesquisquare,4')\n(Uranus,319.717,(p)) (H1,169.847,(p)) (150-quincunx,8')\n(Moon,59.561,(r)) (H1,119.664,(c)) (sextile,6')\n(Sun,329.449,(c)) (H3,194.331,(c)) (135-sesquisquare,7')", "(Mercury,333.330,(r)) (H12,93.429,(c)) (trine,6')\n(H10,64.709,(r)) (Mars,4.853,(c)) (sextile,9')", "(Sun,15.110,(p)) (H3,240.242,(p)) (135-sesquisquare,8')\n(Jupiter,39.989,(p)) (H4,265.057,(p)) (135-sesquisquare,4')\n(Sun,327.278,(c)) (H1,117.423,(c)) (150-quincunx,9')", "(Sun,15.135,(p)) (H3,240.265,(p)) (135-sesquisquare,8')\n(Jupiter,39.995,(p)) (H10,85.078,(p)) (45-semisquare,5')\n(Sun,327.253,(c)) (H1,117.397,(c)) (150-quincunx,9')", 31]
['09:21:04', "(Mars,21.369,(r)) (H1,66.216,(p)) (45-semisquare,9')\n(H1,59.520,(r)) (Sun,359.564,(p)) (sextile,3')\n(Saturn,44.175,(p)) (H10,344.170,(p)) (sextile,0')", "(Jupiter,36.621,(p)) (H7,246.637,(p)) (150-quincunx,1')", "(H3,122.030,(r)) (Mean_Node,122.068,(c)) (conjunction,2')", "(Jupiter,34.725,(r)) (H4,169.628,(p)) (135-sesquisquare,6')\n(H3,122.030,(r)) (Jupiter,31.990,(c)) (square,2')", "(Neptune,305.685,(r)) (H10,350.788,(p)) (45-semisquare,6')\n(Sun,351.112,(r)) (H10,321.083,(c)) (30-semisextile,2')\n(H10,335.865,(r)) (Sun,335.865,(c)) (conjunction,0')", "(Uranus,318.702,(r)) (H3,138.645,(p)) (opposition,3')\n(Moon,288.154,(p)) (H3,138.645,(p)) (150-quincunx,29')\n(Uranus,318.702,(r)) (H10,318.851,(c)) (conjunction,9')\n(H1,59.520,(r)) (Moon,194.336,(c)) (135-sesquisquare,11')\n(H3,122.030,(r)) (Mercury,347.026,(c)) (135-sesquisquare,0')\n(H10,335.865,(r)) (Venus,305.774,(c)) (30-semisextile,5')", "(Moon,293.258,(p)) (H4,173.493,(p)) (trine,14')\n(H3,122.030,(r)) (Mercury,347.108,(c)) (135-sesquisquare,5')", "(Mars,21.369,(r)) (H12,51.434,(p)) (30-semisextile,4')\n(H3,122.030,(r)) (Sun,331.852,(c)) (150-quincunx,11')", '8', "(Mean_Node,121.340,(r)) (H1,76.184,(p)) (45-semisquare,9')", "(Mercury,346.662,(c)) (H12,16.765,(c)) (30-semisextile,6')\n(Pluto,252.717,(c)) (H9,282.572,(c)) (30-semisextile,9')", "(Venus,327.413,(r)) (H10,357.333,(p)) (30-semisextile,5')\n(Moon,134.307,(c)) (H10,314.687,(c)) (opposition,23')", "(Saturn,41.534,(c)) (H1,41.492,(c)) (conjunction,3')", "(Moon,9.753,(p)) (H3,145.038,(p)) (135-sesquisquare,17')\n(Moon,102.935,(c)) (H4,132.604,(c)) (30-semisextile,20')", "(Uranus,318.702,(r)) (H1,78.530,(p)) (trine,10')\n(Moon,10.094,(p)) (H3,145.063,(p)) (135-sesquisquare,2')\n(Moon,102.573,(c)) (H10,312.580,(c)) (150-quincunx,0')", 31]
['16:46:23', "(Mean_Node,121.323,(r)) (H12,151.381,(p)) (30-semisextile,3')\n(Saturn,43.359,(r)) (H12,133.279,(c)) (square,5')", '1', "(Mars,31.758,(p)) (H3,256.927,(p)) (135-sesquisquare,10')\n(Mars,11.298,(c)) (H1,161.463,(c)) (150-quincunx,10')", '3', "(Sun,351.420,(r)) (H12,126.373,(c)) (135-sesquisquare,3')\n(Mean_Node,121.323,(r)) (H10,76.298,(c)) (45-semisquare,2')", "(Moon,198.414,(c)) (H3,228.310,(c)) (30-semisextile,6')", '6', "(Sun,351.420,(r)) (H3,261.567,(p)) (square,9')\n(Mars,21.599,(r)) (H3,261.567,(p)) (trine,2')\n(Saturn,43.359,(r)) (H12,163.336,(p)) (trine,1')\n(Saturn,45.374,(p)) (H10,105.483,(p)) (sextile,7')\n(Sun,332.164,(c)) (H12,122.338,(c)) (150-quincunx,10')\n(Mean_Node,122.340,(c)) (H12,122.338,(c)) (conjunction,0')", "(Mars,21.599,(r)) (H3,261.760,(p)) (trine,10')\n(Sun,331.935,(c)) (H12,122.109,(c)) (150-quincunx,10')", "(Saturn,45.589,(p)) (H12,165.472,(p)) (trine,7')\n(Sun,330.274,(c)) (H12,120.453,(c)) (150-quincunx,11')", "(Saturn,45.618,(p)) (H12,165.769,(p)) (trine,9')", "(H10,89.349,(r)) (Sun,329.523,(c)) (trine,10')", "(H9,64.866,(r)) (Mars,4.909,(c)) (sextile,3')", '13', '14', 20]
['02:50:47', '0', '1', '2', "(H4,61.916,(r)) (Jupiter,31.940,(c)) (30-semisextile,1')", "(Saturn,44.864,(p)) (H10,254.987,(p)) (150-quincunx,7')\n(Mean_Node,120.548,(p)) (H1,345.388,(p)) (135-sesquisquare,10')", "(Uranus,318.688,(r)) (H1,318.692,(c)) (conjunction,0')", '6', '7', "(Saturn,41.702,(c)) (H3,11.792,(c)) (30-semisextile,5')", '9', "(Uranus,318.688,(r)) (H9,228.791,(p)) (square,6')", "(Sun,350.841,(r)) (H1,350.773,(p)) (conjunction,4')\n(H3,30.003,(r)) (Mercury,345.085,(p)) (45-semisquare,5')\n(H3,30.003,(r)) (Venus,300.130,(c)) (square,8')", "(Mars,21.167,(r)) (H1,351.091,(p)) (30-semisextile,5')\n(Uranus,319.712,(p)) (H9,229.544,(p)) (square,10')\n(Neptune,306.218,(p)) (H1,351.091,(p)) (45-semisquare,8')\n(Saturn,41.516,(c)) (H10,221.361,(c)) (opposition,9')", "(Moon,52.466,(r)) (H1,352.534,(p)) (sextile,4')\n(Moon,52.466,(r)) (H4,82.364,(p)) (30-semisextile,6')\n(Moon,6.058,(p)) (H3,51.061,(p)) (45-semisquare,0')\n(Moon,52.466,(r)) (H3,7.342,(c)) (45-semisquare,7')", "(Moon,52.466,(r)) (H1,352.554,(p)) (sextile,5')\n(Moon,52.466,(r)) (H10,262.385,(p)) (150-quincunx,5')\n(Moon,6.397,(p)) (H3,51.083,(p)) (45-semisquare,19')\n(Moon,52.466,(r)) (H3,7.317,(c)) (45-semisquare,9')", 21]
['04:07:04', "(Sun,342.397,(c)) (H10,252.536,(c)) (square,8')\n(Saturn,42.547,(c)) (H10,252.536,(c)) (150-quincunx,1')", '1', "(Mean_Node,121.351,(r)) (H1,1.349,(p)) (trine,0')\n(Mean_Node,121.351,(r)) (H10,271.378,(p)) (150-quincunx,2')\n(Mars,31.372,(p)) (H1,1.349,(p)) (30-semisextile,1')\n(Mars,31.372,(p)) (H10,271.378,(p)) (trine,0')", '3', "(Mean_Node,121.351,(r)) (H3,61.441,(p)) (sextile,5')\n(Mars,32.438,(p)) (H1,2.537,(p)) (30-semisextile,6')\n(Mars,32.438,(p)) (H10,272.591,(p)) (trine,9')", "(Mercury,333.498,(r)) (H3,63.375,(p)) (square,7')\n(Jupiter,34.681,(r)) (H10,274.518,(p)) (trine,10')\n(Uranus,319.520,(p)) (H1,4.421,(p)) (45-semisquare,6')\n(Uranus,319.520,(p)) (H10,274.518,(p)) (45-semisquare,0')\n(Jupiter,34.681,(r)) (H10,244.523,(c)) (150-quincunx,9')\n(Venus,305.504,(c)) (H1,335.467,(c)) (30-semisextile,2')", "(H4,79.831,(r)) (Venus,304.973,(c)) (135-sesquisquare,9')\n(H7,170.070,(r)) (Venus,304.973,(c)) (135-sesquisquare,6')\n(Mercury,347.138,(c)) (H3,32.289,(c)) (45-semisquare,9')\n(Venus,304.973,(c)) (H7,155.103,(c)) (150-quincunx,8')", "(Neptune,305.679,(r)) (H1,5.796,(p)) (sextile,7')\n(H1,350.070,(r)) (Neptune,305.063,(c)) (45-semisquare,0')\n(Neptune,305.063,(c)) (H12,305.074,(c)) (conjunction,1')", "(Neptune,306.164,(p)) (H1,5.981,(p)) (sextile,11')\n(Neptune,306.164,(p)) (H10,276.114,(p)) (30-semisextile,3')\n(H1,350.070,(r)) (Neptune,305.055,(c)) (45-semisquare,1')\n(Neptune,305.055,(c)) (H12,304.879,(c)) (conjunction,11')", "(Mars,21.206,(r)) (H3,66.351,(p)) (45-semisquare,9')\n(Neptune,306.197,(p)) (H3,66.351,(p)) (trine,9')\n(Mean_Node,121.351,(r)) (H10,241.272,(c)) (trine,5')\n(Mean_Node,122.467,(c)) (H1,332.452,(c)) (150-quincunx,1')", '10', "(Moon,53.206,(r)) (H10,278.121,(p)) (135-sesquisquare,5')\n(Moon,338.242,(p)) (H1,7.938,(p)) (30-semisextile,18')\n(Moon,338.242,(p)) (H10,278.121,(p)) (sextile,7')\n(Jupiter,30.574,(c)) (H10,240.584,(c)) (150-quincunx,1')", '12', "(Jupiter,39.886,(p)) (H4,99.931,(p)) (sextile,3')", "(H10,259.831,(r)) (Uranus,319.785,(p)) (sextile,3')\n(Jupiter,39.892,(p)) (H1,9.720,(p)) (30-semisextile,10')\n(Jupiter,39.892,(p)) (H10,279.952,(p)) (trine,4')", 38]
['02:56:08', '0', "(H7,154.228,(r)) (Mercury,334.086,(p)) (opposition,8')", "(H3,31.318,(r)) (Mars,31.336,(p)) (conjunction,1')\n(Sun,350.845,(r)) (H10,230.777,(c)) (trine,4')", '3', "(Mean_Node,121.354,(r)) (H10,256.228,(p)) (135-sesquisquare,8')\n(Saturn,44.865,(p)) (H3,44.766,(p)) (conjunction,6')", "(H3,31.318,(r)) (Jupiter,31.313,(c)) (conjunction,0')\n(H10,243.192,(r)) (Sun,333.275,(c)) (square,5')\n(Mercury,347.081,(c)) (H10,227.237,(c)) (trine,9')", "(Moon,185.022,(c)) (H7,139.498,(c)) (45-semisquare,31')", "(Mars,21.170,(r)) (H12,321.131,(p)) (sextile,2')\n(Saturn,43.304,(r)) (H3,13.365,(c)) (30-semisextile,4')", "(Mars,21.170,(r)) (H12,321.321,(p)) (sextile,9')\n(Saturn,43.304,(r)) (H3,13.145,(c)) (30-semisextile,10')\n(H3,31.318,(r)) (Sun,331.353,(c)) (sextile,2')", "(Mars,21.170,(r)) (H10,261.161,(p)) (trine,1')\n(Neptune,306.196,(p)) (H1,351.363,(p)) (45-semisquare,10')\n(Neptune,306.196,(p)) (H10,261.161,(p)) (45-semisquare,2')\n(Saturn,41.591,(c)) (H3,11.542,(c)) (30-semisextile,3')", "(Neptune,306.201,(p)) (H10,261.379,(p)) (45-semisquare,11')\n(Mercury,346.544,(c)) (H1,316.673,(c)) (30-semisextile,8')\n(Uranus,317.521,(c)) (H12,287.381,(c)) (30-semisextile,8')", "(H3,31.318,(r)) (Mercury,346.304,(c)) (45-semisquare,1')\n(Moon,130.412,(c)) (H3,10.814,(c)) (trine,24')\n(Mercury,346.304,(c)) (H1,316.267,(c)) (30-semisextile,2')", "(Pluto,252.897,(r)) (H10,222.715,(c)) (30-semisextile,11')\n(Mercury,346.084,(c)) (H1,315.942,(c)) (30-semisextile,9')\n(Pluto,252.701,(c)) (H10,222.715,(c)) (30-semisextile,1')", "(Moon,99.033,(c)) (H3,8.699,(c)) (square,20')", "(Moon,52.517,(r)) (H3,52.340,(p)) (conjunction,11')\n(Moon,98.672,(c)) (H3,8.674,(c)) (square,0')", 30]
['11:10:00', "(Mean_Node,121.336,(r)) (H1,76.383,(c)) (45-semisquare,3')\n(H10,5.404,(r)) (Neptune,305.430,(c)) (sextile,2')", '1', "(Sun,4.864,(p)) (H1,94.836,(p)) (square,2')\n(Mars,21.425,(r)) (H10,351.461,(c)) (30-semisextile,2')\n(Saturn,42.144,(c)) (H1,72.060,(c)) (30-semisextile,5')", '3', "(Neptune,306.079,(p)) (H1,96.080,(p)) (150-quincunx,0')", "(Moon,289.048,(p)) (H3,169.395,(p)) (trine,21')\n(Uranus,319.532,(p)) (H3,169.395,(p)) (150-quincunx,8')\n(Uranus,317.758,(c)) (H10,347.594,(c)) (30-semisextile,10')", "(Venus,349.671,(p)) (H3,169.851,(p)) (opposition,11')\n(H4,185.404,(r)) (Venus,305.337,(c)) (trine,4')\n(Mercury,347.096,(c)) (H4,167.150,(c)) (opposition,3')", "(Sun,351.187,(r)) (H3,171.181,(p)) (opposition,0')\n(H10,5.404,(r)) (Mars,35.565,(p)) (30-semisextile,10')\n(Neptune,306.165,(p)) (H3,171.181,(p)) (135-sesquisquare,1')\n(Saturn,41.742,(c)) (H3,131.597,(c)) (square,9')", "(Mars,21.425,(r)) (H3,171.423,(p)) (150-quincunx,0')", '9', "(Neptune,305.687,(r)) (H1,65.796,(c)) (trine,6')\n(H10,5.404,(r)) (Mars,5.394,(c)) (conjunction,1')", "(Moon,342.026,(p)) (H1,101.838,(p)) (trine,11')\n(Moon,342.026,(p)) (H10,26.794,(p)) (45-semisquare,14')", "(Pluto,252.897,(r)) (H10,342.739,(c)) (square,9')\n(Saturn,41.539,(c)) (H12,41.394,(c)) (conjunction,9')\n(Neptune,304.968,(c)) (H1,65.068,(c)) (trine,6')\n(Pluto,252.706,(c)) (H10,342.739,(c)) (square,2')", '13', '14', 25]
['17:09:28', "(Saturn,42.593,(c)) (H10,87.447,(c)) (45-semisquare,9')", "(Mercury,333.299,(r)) (H7,18.287,(p)) (45-semisquare,1')", '2', '3', "(Mars,21.611,(r)) (H10,81.641,(c)) (sextile,2')", "(Venus,349.448,(p)) (H10,109.450,(p)) (trine,0')\n(Uranus,319.543,(p)) (H10,109.450,(p)) (150-quincunx,6')\n(Jupiter,34.792,(r)) (H10,79.622,(c)) (45-semisquare,10')", "(Venus,349.979,(p)) (H4,289.816,(p)) (sextile,10')", "(Neptune,305.695,(r)) (H12,170.595,(p)) (135-sesquisquare,6')\n(H3,250.479,(r)) (Sun,10.491,(p)) (trine,1')\n(Mars,35.747,(p)) (H12,170.595,(p)) (135-sesquisquare,9')", "(Neptune,305.695,(r)) (H12,170.857,(p)) (135-sesquisquare,10')\n(Mars,35.913,(p)) (H12,170.857,(p)) (135-sesquisquare,3')\n(H1,187.018,(r)) (Mars,7.029,(c)) (opposition,1')", "(Saturn,43.360,(r)) (H3,268.498,(p)) (135-sesquisquare,8')\n(H1,187.018,(r)) (Mars,37.113,(p)) (150-quincunx,6')\n(Sun,351.436,(r)) (H12,126.575,(c)) (135-sesquisquare,8')\n(Mean_Node,121.322,(r)) (H10,76.472,(c)) (45-semisquare,9')\n(Mars,5.781,(c)) (H3,230.784,(c)) (135-sesquisquare,0')", "(H10,94.657,(r)) (Uranus,319.701,(p)) (135-sesquisquare,3')\n(Mars,5.583,(c)) (H9,50.525,(c)) (45-semisquare,4')", "(Venus,300.868,(c)) (H10,75.807,(c)) (135-sesquisquare,4')\n(Jupiter,30.667,(c)) (H10,75.807,(c)) (45-semisquare,8')", '12', "(Moon,60.817,(r)) (H3,270.925,(p)) (150-quincunx,6')\n(Moon,107.691,(c)) (H3,227.869,(c)) (trine,11')", "(Moon,60.817,(r)) (H3,270.946,(p)) (150-quincunx,8')\n(Moon,107.328,(c)) (H3,227.843,(c)) (trine,31')", 26]
