['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2013-12-12', '3: 2014-03-24', '4: 2015-05-27', '5: 2017-09-15', '6: 2018-02-19', '7: 2019-05-22', '8: 2019-08-13', '9: 2021-04-06', '10: 2021-07-10', '11: 2022-01-03', '12: 2022-05-25', '13: 2024-02-28', '14: 2024-03-08', 'Count']
['02:52:08', '0', '1', "(H1,333.341,(r)) (Neptune,332.815,(p)) (conjunction,32')\n(H10,242.236,(r)) (Mars,182.362,(p)) (sextile,8')\n(H10,242.236,(r)) (Neptune,332.815,(p)) (square,35')", "(H4,62.236,(r)) (Jupiter,331.456,(c)) (square,47')", "(H10,242.236,(r)) (Saturn,241.307,(p)) (conjunction,56')\n(H1,333.341,(r)) (Sun,273.115,(c)) (sextile,14')", '5', "(H4,62.236,(r)) (Mercury,332.406,(p)) (square,10')\n(H7,153.341,(r)) (Mercury,332.406,(p)) (opposition,56')", "(H1,333.341,(r)) (Mars,94.109,(p)) (trine,46')", "(H10,242.236,(r)) (Saturn,182.013,(c)) (sextile,13')", '9', '10', "(H10,242.236,(r)) (Mercury,301.618,(p)) (sextile,37')", '12', "(H4,62.236,(r)) (Sun,2.229,(c)) (sextile,0')", '14', 12]
['09:23:36', "(H1,60.067,(r)) (Saturn,300.515,(c)) (trine,27')", '1', "(H10,336.539,(r)) (Saturn,245.512,(c)) (square,62')", '3', "(H10,336.539,(r)) (Sun,65.897,(p)) (square,38')\n(H1,60.067,(r)) (Mars,330.005,(c)) (square,4')", "(H10,336.539,(r)) (Mercury,155.457,(p)) (opposition,65')\n(H1,60.067,(r)) (Uranus,240.886,(c)) (opposition,49')\n(H10,336.539,(r)) (Jupiter,216.836,(c)) (trine,18')", "(H7,240.067,(r)) (Mercury,0.761,(c)) (trine,42')", "(H1,60.067,(r)) (Sun,61.123,(p)) (conjunction,63')\n(H1,60.067,(r)) (Mars,299.487,(c)) (trine,35')", '8', '9', "(H10,336.539,(r)) (Mars,246.666,(c)) (square,8')", "(H1,60.067,(r)) (Jupiter,331.039,(p)) (square,58')\n(H10,336.539,(r)) (Jupiter,96.303,(c)) (trine,14')", "(H1,60.067,(r)) (Mars,0.395,(p)) (sextile,20')\n(H1,60.067,(r)) (Saturn,150.318,(c)) (square,15')", '13', "(H10,336.539,(r)) (Uranus,216.686,(c)) (trine,9')", 16]
['15:00:31', '0', "(H4,244.709,(r)) (Jupiter,124.600,(c)) (trine,7')", "(H10,64.709,(r)) (Saturn,245.478,(c)) (opposition,46')", '3', "(H1,143.562,(r)) (Saturn,234.118,(c)) (square,33')", "(H1,143.562,(r)) (Venus,144.455,(p)) (conjunction,54')\n(H10,64.709,(r)) (Mercury,155.457,(p)) (square,45')", '6', "(H1,143.562,(r)) (Neptune,263.007,(c)) (trine,33')", '8', '9', '10', '11', "(H1,143.562,(r)) (Mercury,262.585,(c)) (trine,59')", '13', "(H1,143.562,(r)) (Moon,322.935,(p)) (opposition,38')\n(H10,64.709,(r)) (Moon,153.845,(c)) (square,52')", 9]
['09:21:04', "(H1,59.520,(r)) (Saturn,300.515,(c)) (trine,60')", '1', "(H10,335.865,(r)) (Mean_Node,215.301,(p)) (trine,34')\n(H10,335.865,(r)) (Saturn,245.512,(c)) (square,21')\n(H10,335.865,(r)) (Neptune,274.884,(c)) (sextile,59')", '3', "(H10,335.865,(r)) (Sun,65.897,(p)) (square,2')\n(H1,59.520,(r)) (Mars,330.002,(c)) (square,29')", "(H10,335.865,(r)) (Mercury,155.457,(p)) (opposition,24')\n(H10,335.865,(r)) (Jupiter,216.836,(c)) (trine,58')", '6', "(H1,59.520,(r)) (Mars,299.484,(c)) (trine,2')", '8', '9', "(H10,335.865,(r)) (Mars,246.663,(c)) (square,48')", "(H10,335.865,(r)) (Jupiter,96.302,(c)) (trine,26')", "(H1,59.520,(r)) (Mercury,58.652,(p)) (conjunction,52')\n(H1,59.520,(r)) (Mars,0.395,(p)) (sextile,52')\n(H1,59.520,(r)) (Pluto,298.447,(p)) (trine,64')\n(H1,59.520,(r)) (Saturn,150.318,(c)) (square,48')", '13', "(H1,59.520,(r)) (Venus,328.966,(c)) (square,33')\n(H10,335.865,(r)) (Uranus,216.687,(c)) (trine,49')", 17]
['16:46:23', '0', '1', '2', '3', '4', '5', '6', "(H1,179.018,(r)) (Mars,299.969,(c)) (trine,57')", '8', '9', "(H1,179.018,(r)) (Mercury,88.129,(p)) (square,53')", '11', "(H1,179.018,(r)) (Mercury,58.652,(p)) (trine,22')\n(H1,179.018,(r)) (Pluto,298.447,(p)) (trine,34')\n(H10,89.349,(r)) (Mars,0.395,(p)) (square,63')\n(H10,89.349,(r)) (Saturn,150.300,(c)) (sextile,57')", "(H4,269.349,(r)) (Jupiter,29.420,(c)) (trine,4')", "(H10,89.349,(r)) (Venus,329.729,(c)) (trine,23')", 8]
['02:50:47', '0', '1', "(H1,333.046,(r)) (Neptune,332.815,(p)) (conjunction,14')\n(H10,241.916,(r)) (Mars,182.362,(p)) (sextile,27')\n(H10,241.916,(r)) (Neptune,332.815,(p)) (square,54')", "(H4,61.916,(r)) (Jupiter,331.456,(c)) (square,28')", "(H10,241.916,(r)) (Saturn,241.307,(p)) (conjunction,37')\n(H1,333.046,(r)) (Sun,273.113,(c)) (sextile,4')", "(H10,241.916,(r)) (Uranus,240.874,(c)) (conjunction,63')", "(H4,61.916,(r)) (Mercury,332.406,(p)) (square,29')\n(H7,153.046,(r)) (Mercury,332.406,(p)) (opposition,38')", "(H1,333.046,(r)) (Mars,94.109,(p)) (trine,64')\n(H10,241.916,(r)) (Sun,61.123,(p)) (opposition,48')", "(H10,241.916,(r)) (Saturn,182.012,(c)) (sextile,6')", '9', '10', "(H10,241.916,(r)) (Mercury,301.618,(p)) (sextile,18')\n(H10,241.916,(r)) (Jupiter,331.039,(p)) (square,53')", '12', "(H4,61.916,(r)) (Sun,2.228,(c)) (sextile,19')", '14', 15]
['04:07:04', '0', '1', "(H1,350.070,(r)) (Sun,260.624,(p)) (square,33')\n(H10,259.831,(r)) (Sun,260.624,(p)) (conjunction,48')", '3', '4', '5', '6', "(H1,350.070,(r)) (Saturn,290.117,(p)) (sextile,3')\n(H1,350.070,(r)) (Mean_Node,110.074,(p)) (trine,0')", "(H10,259.831,(r)) (Sun,140.465,(p)) (trine,38')\n(H1,350.070,(r)) (Neptune,260.270,(c)) (square,12')\n(H10,259.831,(r)) (Neptune,260.270,(c)) (conjunction,26')", "(H1,350.070,(r)) (Mars,79.741,(p)) (square,20')\n(H10,259.831,(r)) (Mars,79.741,(p)) (opposition,5')\n(H1,350.070,(r)) (Neptune,260.110,(c)) (square,2')\n(H10,259.831,(r)) (Mars,318.949,(c)) (sextile,53')\n(H10,259.831,(r)) (Neptune,260.110,(c)) (conjunction,17')\n(H10,259.831,(r)) (Mean_Node,168.904,(c)) (square,56')", '10', '11', '12', '13', "(H1,350.070,(r)) (Uranus,49.816,(p)) (sextile,15')\n(H10,259.831,(r)) (Moon,140.460,(c)) (trine,38')", 15]
['02:56:08', '0', '1', "(H1,334.228,(r)) (Mean_Node,215.301,(p)) (trine,64')\n(H10,243.192,(r)) (Mars,182.362,(p)) (sextile,50')\n(H10,243.192,(r)) (Neptune,332.815,(p)) (square,23')\n(H1,334.228,(r)) (Neptune,274.898,(c)) (sextile,40')", '3', '4', '5', "(H4,63.192,(r)) (Mercury,332.406,(p)) (square,47')\n(H7,154.228,(r)) (Moon,94.546,(c)) (sextile,19')", "(H1,334.228,(r)) (Mars,94.109,(p)) (trine,7')", '8', '9', '10', '11', '12', "(H4,63.192,(r)) (Sun,2.235,(c)) (sextile,57')", '14', 8]
['11:10:00', "(H1,83.348,(r)) (Neptune,322.291,(p)) (trine,63')", "(H4,185.404,(r)) (Jupiter,124.625,(c)) (sextile,47')", "(H10,5.404,(r)) (Saturn,245.501,(c)) (trine,6')\n(H10,5.404,(r)) (Neptune,274.880,(c)) (square,31')", '3', "(H10,5.404,(r)) (Sun,65.897,(p)) (sextile,30')", "(H1,83.348,(r)) (Sun,172.835,(p)) (square,31')\n(H10,5.404,(r)) (Moon,5.438,(c)) (conjunction,2')", '6', "(H1,83.348,(r)) (Neptune,262.995,(c)) (opposition,21')", '8', '9', "(H1,83.348,(r)) (Neptune,353.142,(p)) (square,12')", "(H10,5.404,(r)) (Jupiter,96.332,(c)) (square,56')", "(H1,83.348,(r)) (Mercury,262.821,(c)) (opposition,32')", "(H1,83.348,(r)) (Moon,202.455,(p)) (trine,54')\n(H1,83.348,(r)) (Mercury,353.901,(c)) (square,33')", "(H1,83.348,(r)) (Moon,322.935,(p)) (trine,25')\n(H1,83.348,(r)) (Sun,353.895,(c)) (square,33')", 15]
['17:09:28', '0', '1', "(H10,94.657,(r)) (Mean_Node,215.301,(p)) (trine,39')\n(H10,94.657,(r)) (Neptune,274.867,(c)) (opposition,13')", '3', "(H1,187.018,(r)) (Mean_Node,187.180,(p)) (conjunction,10')\n(H10,94.657,(r)) (Sun,274.329,(c)) (opposition,20')", "(H10,94.657,(r)) (Mercury,155.457,(p)) (sextile,48')", '6', "(H10,94.657,(r)) (Mars,94.109,(p)) (conjunction,33')", '8', '9', "(H1,187.018,(r)) (Mars,247.136,(c)) (sextile,7')", "(H1,187.018,(r)) (Jupiter,96.432,(c)) (square,35')", '12', '13', '14', 8]
