Row 3: {'time': '2000-03-11 03:02:07', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_min': 1, 'a_p_conj': 5, 'a_p_maj': 2, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 1, 'e': 9, 'total_count': 301}
Row 5: {'time': '2000-03-11 07:40:00', 'p_a_conj': 3, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 2, 'e': 7, 'total_count': 269}
Row 6: {'time': '2000-03-11 15:49:35', 'p_a_conj': 1, 'p_a_maj': 4, 'p_a_min': 5, 'a_p_conj': 2, 'a_p_maj': 7, 'a_p_min': 4, 'p_h_conj': 2, 'p_h_maj': 2, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 1, 'e': 4, 'total_count': 443}
Row 7: {'time': '2000-03-11 15:00:31', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 4, 'a_p_maj': 4, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 7, 'total_count': 260}
Row 8: {'time': '2000-03-11 02:50:47', 'p_a_conj': 6, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 3, 'a_p_min': 2, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 1, 'e': 7, 'total_count': 389}
Row 14: {'time': '2000-03-11 16:08:47', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 2, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_min': 5, 'e': 5, 'total_count': 364}
Row 15: {'time': '2000-03-11 09:44:23', 'p_a_conj': 3, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 2, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 4, 'h_p_maj': 2, 'h_p_min': 1, 'e': 4, 'total_count': 384}
Row 16: {'time': '2000-03-11 09:21:04', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 6, 'a_p_conj': 2, 'a_p_maj': 5, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_min': 3, 'e': 5, 'total_count': 309}
Row 20: {'time': '2000-03-11 08:16:23', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_min': 1, 'a_p_conj': 4, 'a_p_maj': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 4, 'e': 7, 'total_count': 340}
Row 23: {'time': '2000-03-11 02:21:28', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 3, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_min': 5, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 2, 'e': 7, 'total_count': 287}
Row 24: {'time': '2000-03-11 06:31:28', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_min': 5, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 3, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 3, 'e': 6, 'total_count': 328}
Row 25: {'time': '2000-03-11 13:41:12', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 4, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 4, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 3, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 3, 'e': 6, 'total_count': 302}
Row 26: {'time': '2000-03-11 17:53:52', 'p_a_conj': 3, 'p_a_maj': 7, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_min': 8, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 2, 'e': 5, 'total_count': 416}
Row 28: {'time': '2000-03-11 07:49:19', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 4, 'a_p_conj': 4, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 3, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 2, 'e': 9, 'total_count': 310}
Row 47: {'time': '2000-03-11 10:02:31', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 2, 'e': 4, 'total_count': 265}
Row 48: {'time': '2000-03-11 10:27:27', 'p_a_conj': 3, 'p_a_maj': 3, 'p_a_min': 7, 'a_p_conj': 4, 'a_p_maj': 1, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_min': 2, 'e': 6, 'total_count': 364}
Row 49: {'time': '2000-03-11 03:27:51', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 2, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_min': 4, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 2, 'e': 7, 'total_count': 340}
