Row 1: {'time': '2000-03-11 16:46:22', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 13, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 4, 'h_p_maj': 12, 'h_p_min': 14, 'mon_p_conj': 3, 'mon_p_maj': 9, 'mon_p_min': 9, 'e': 3, 'total_count': 77}
Row 2: {'time': '2000-03-11 12:58:30', 'p_a_conj': 0, 'p_a_maj': 5, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 11, 'a_p_min': 14, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 6, 'h_p_conj': 2, 'h_p_maj': 10, 'h_p_min': 4, 'mon_p_conj': 3, 'mon_p_maj': 6, 'mon_p_min': 8, 'e': 0, 'total_count': 74}
Row 3: {'time': '2000-03-11 15:49:34', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_min': 6, 'a_p_conj': 1, 'a_p_maj': 5, 'a_p_min': 9, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 6, 'h_p_min': 13, 'mon_p_conj': 3, 'mon_p_maj': 5, 'mon_p_min': 4, 'e': 1, 'total_count': 59}
Row 4: {'time': '2000-03-11 15:00:30', 'p_a_conj': 1, 'p_a_maj': 5, 'p_a_min': 4, 'a_p_conj': 3, 'a_p_maj': 7, 'a_p_min': 15, 'p_h_conj': 0, 'p_h_maj': 4, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 6, 'h_p_min': 9, 'mon_p_conj': 2, 'mon_p_maj': 3, 'mon_p_min': 6, 'e': 2, 'total_count': 67}
Row 5: {'time': '2000-03-11 09:23:36', 'p_a_conj': 0, 'p_a_maj': 8, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 5, 'a_p_min': 13, 'p_h_conj': 0, 'p_h_maj': 4, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 9, 'h_p_min': 7, 'mon_p_conj': 2, 'mon_p_maj': 5, 'mon_p_min': 10, 'e': 1, 'total_count': 68}
Row 6: {'time': '2000-03-11 16:08:46', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 4, 'a_p_conj': 2, 'a_p_maj': 13, 'a_p_min': 10, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 6, 'h_p_maj': 14, 'h_p_min': 9, 'mon_p_conj': 3, 'mon_p_maj': 8, 'mon_p_min': 5, 'e': 1, 'total_count': 80}
Row 7: {'time': '2000-03-11 09:44:22', 'p_a_conj': 1, 'p_a_maj': 5, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 16, 'a_p_min': 9, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_min': 10, 'mon_p_conj': 1, 'mon_p_maj': 5, 'mon_p_min': 10, 'e': 0, 'total_count': 66}
Row 8: {'time': '2000-03-11 15:24:56', 'p_a_conj': 0, 'p_a_maj': 7, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 6, 'a_p_min': 8, 'p_h_conj': 0, 'p_h_maj': 4, 'p_h_min': 2, 'h_p_conj': 1, 'h_p_maj': 7, 'h_p_min': 4, 'mon_p_conj': 2, 'mon_p_maj': 4, 'mon_p_min': 5, 'e': 1, 'total_count': 54}
Row 9: {'time': '2000-03-11 13:18:56', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 5, 'a_p_min': 6, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_min': 5, 'h_p_conj': 4, 'h_p_maj': 5, 'h_p_min': 15, 'mon_p_conj': 2, 'mon_p_maj': 6, 'mon_p_min': 8, 'e': 0, 'total_count': 65}
Row 10: {'time': '2000-03-11 13:49:50', 'p_a_conj': 0, 'p_a_maj': 4, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 7, 'a_p_min': 12, 'p_h_conj': 1, 'p_h_maj': 5, 'p_h_min': 0, 'h_p_conj': 4, 'h_p_maj': 2, 'h_p_min': 8, 'mon_p_conj': 2, 'mon_p_maj': 5, 'mon_p_min': 11, 'e': 0, 'total_count': 64}
Row 11: {'time': '2000-03-11 06:31:28', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 5, 'a_p_conj': 4, 'a_p_maj': 14, 'a_p_min': 12, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 4, 'h_p_conj': 1, 'h_p_maj': 13, 'h_p_min': 13, 'mon_p_conj': 1, 'mon_p_maj': 5, 'mon_p_min': 3, 'e': 0, 'total_count': 79}
