Row 1: {'time': '2000-03-11 16:46:23', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 3, 'h_p_maj': 1, 'h_p_min': 0, 'e': 5, 'total_count': 281}
Row 2: {'time': '2000-03-11 10:39:19', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 4, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 3, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 1, 'e': 4, 'total_count': 228}
Row 3: {'time': '2000-03-11 03:02:07', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 1, 'a_p_conj': 4, 'a_p_maj': 2, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 1, 'e': 7, 'total_count': 245}
Row 4: {'time': '2000-03-11 12:58:31', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 3, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_min': 3, 'e': 7, 'total_count': 168}
Row 5: {'time': '2000-03-11 07:40:00', 'p_a_conj': 3, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 5, 'total_count': 245}
Row 6: {'time': '2000-03-11 15:49:35', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 4, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_min': 3, 'p_h_conj': 1, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 4, 'total_count': 311}
Row 7: {'time': '2000-03-11 15:00:31', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 4, 'a_p_maj': 3, 'a_p_min': 2, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 0, 'e': 4, 'total_count': 237}
Row 8: {'time': '2000-03-11 02:50:47', 'p_a_conj': 6, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 2, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 1, 'e': 4, 'total_count': 369}
Row 9: {'time': '2000-03-11 02:56:08', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 6, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 1, 'e': 6, 'total_count': 209}
Row 10: {'time': '2000-03-11 11:10:00', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 2, 'e': 6, 'total_count': 204}
Row 11: {'time': '2000-03-11 17:09:28', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 0, 'a_p_maj': 3, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 2, 'e': 3, 'total_count': 208}
