Row 1: {'time': '2000-03-11 16:46:23', 'p_a_conj': 2, 'p_a_maj': 15, 'p_a_min': 21, 'a_p_conj': 0, 'e': 3, 'total_count': 38}
Row 2: {'time': '2000-03-11 10:39:19', 'p_a_conj': 5, 'p_a_maj': 10, 'p_a_min': 20, 'a_p_conj': 0, 'e': 1, 'total_count': 35}
Row 3: {'time': '2000-03-11 03:02:07', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_min': 21, 'a_p_conj': 0, 'e': 2, 'total_count': 41}
Row 4: {'time': '2000-03-11 12:58:31', 'p_a_conj': 7, 'p_a_maj': 17, 'p_a_min': 20, 'a_p_conj': 0, 'e': 2, 'total_count': 44}
Row 5: {'time': '2000-03-11 07:40:00', 'p_a_conj': 6, 'p_a_maj': 20, 'p_a_min': 26, 'a_p_conj': 0, 'e': 0, 'total_count': 52}
Row 6: {'time': '2000-03-11 15:49:35', 'p_a_conj': 7, 'p_a_maj': 17, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 45}
Row 7: {'time': '2000-03-11 15:00:31', 'p_a_conj': 5, 'p_a_maj': 11, 'p_a_min': 31, 'a_p_conj': 0, 'e': 0, 'total_count': 47}
Row 8: {'time': '2000-03-11 02:50:47', 'p_a_conj': 6, 'p_a_maj': 15, 'p_a_min': 21, 'a_p_conj': 0, 'e': 1, 'total_count': 42}
Row 9: {'time': '2000-03-11 02:56:08', 'p_a_conj': 1, 'p_a_maj': 16, 'p_a_min': 23, 'a_p_conj': 0, 'e': 4, 'total_count': 40}
Row 10: {'time': '2000-03-11 11:10:00', 'p_a_conj': 3, 'p_a_maj': 16, 'p_a_min': 20, 'a_p_conj': 0, 'e': 1, 'total_count': 39}
Row 11: {'time': '2000-03-11 17:09:28', 'p_a_conj': 4, 'p_a_maj': 13, 'p_a_min': 21, 'a_p_conj': 0, 'e': 1, 'total_count': 38}
Row 12: {'time': '2000-03-11 02:52:08', 'p_a_conj': 4, 'p_a_maj': 17, 'p_a_min': 21, 'a_p_conj': 0, 'e': 2, 'total_count': 42}
Row 13: {'time': '2000-03-11 09:23:36', 'p_a_conj': 5, 'p_a_maj': 21, 'p_a_min': 17, 'a_p_conj': 0, 'e': 1, 'total_count': 43}
Row 14: {'time': '2000-03-11 16:08:47', 'p_a_conj': 7, 'p_a_maj': 17, 'p_a_min': 23, 'a_p_conj': 0, 'e': 1, 'total_count': 47}
Row 15: {'time': '2000-03-11 09:44:23', 'p_a_conj': 6, 'p_a_maj': 11, 'p_a_min': 28, 'a_p_conj': 0, 'e': 2, 'total_count': 45}
Row 16: {'time': '2000-03-11 09:21:04', 'p_a_conj': 4, 'p_a_maj': 22, 'p_a_min': 17, 'a_p_conj': 0, 'e': 0, 'total_count': 43}
Row 17: {'time': '2000-03-11 15:24:56', 'p_a_conj': 10, 'p_a_maj': 16, 'p_a_min': 28, 'a_p_conj': 0, 'e': 0, 'total_count': 54}
Row 18: {'time': '2000-03-11 04:03:03', 'p_a_conj': 5, 'p_a_maj': 18, 'p_a_min': 16, 'a_p_conj': 0, 'e': 4, 'total_count': 39}
Row 19: {'time': '2000-03-11 13:18:56', 'p_a_conj': 3, 'p_a_maj': 23, 'p_a_min': 18, 'a_p_conj': 0, 'e': 2, 'total_count': 44}
Row 20: {'time': '2000-03-11 08:16:23', 'p_a_conj': 5, 'p_a_maj': 16, 'p_a_min': 24, 'a_p_conj': 0, 'e': 2, 'total_count': 45}
Row 21: {'time': '2000-03-11 13:49:51', 'p_a_conj': 5, 'p_a_maj': 20, 'p_a_min': 27, 'a_p_conj': 0, 'e': 2, 'total_count': 52}
Row 22: {'time': '2000-03-11 15:29:28', 'p_a_conj': 6, 'p_a_maj': 19, 'p_a_min': 24, 'a_p_conj': 0, 'e': 2, 'total_count': 49}
Row 23: {'time': '2000-03-11 02:21:28', 'p_a_conj': 5, 'p_a_maj': 18, 'p_a_min': 26, 'a_p_conj': 0, 'e': 1, 'total_count': 49}
Row 24: {'time': '2000-03-11 06:31:28', 'p_a_conj': 6, 'p_a_maj': 23, 'p_a_min': 23, 'a_p_conj': 0, 'e': 0, 'total_count': 52}
Row 25: {'time': '2000-03-11 13:41:12', 'p_a_conj': 6, 'p_a_maj': 16, 'p_a_min': 15, 'a_p_conj': 0, 'e': 2, 'total_count': 37}
Row 26: {'time': '2000-03-11 17:53:52', 'p_a_conj': 10, 'p_a_maj': 20, 'p_a_min': 20, 'a_p_conj': 0, 'e': 0, 'total_count': 50}
Row 27: {'time': '2000-03-11 11:26:47', 'p_a_conj': 6, 'p_a_maj': 19, 'p_a_min': 26, 'a_p_conj': 0, 'e': 1, 'total_count': 51}
Row 28: {'time': '2000-03-11 07:49:19', 'p_a_conj': 6, 'p_a_maj': 18, 'p_a_min': 21, 'a_p_conj': 0, 'e': 0, 'total_count': 45}
Row 29: {'time': '2000-03-11 15:11:59', 'p_a_conj': 3, 'p_a_maj': 12, 'p_a_min': 29, 'a_p_conj': 0, 'e': 1, 'total_count': 44}
Row 30: {'time': '2000-03-11 04:07:04', 'p_a_conj': 6, 'p_a_maj': 19, 'p_a_min': 22, 'a_p_conj': 0, 'e': 5, 'total_count': 47}
Row 31: {'time': '2000-03-11 13:40:00', 'p_a_conj': 7, 'p_a_maj': 15, 'p_a_min': 14, 'a_p_conj': 0, 'e': 1, 'total_count': 36}
Row 32: {'time': '2000-03-11 15:44:39', 'p_a_conj': 6, 'p_a_maj': 12, 'p_a_min': 26, 'a_p_conj': 0, 'e': 1, 'total_count': 44}
Row 33: {'time': '2000-03-11 12:09:04', 'p_a_conj': 6, 'p_a_maj': 18, 'p_a_min': 20, 'a_p_conj': 0, 'e': 1, 'total_count': 44}
Row 34: {'time': '2000-03-11 06:30:16', 'p_a_conj': 7, 'p_a_maj': 21, 'p_a_min': 22, 'a_p_conj': 0, 'e': 0, 'total_count': 50}
