['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['20:00:00, 243, opp/conj: 4', 'sqr/tri/sext: 5', 'major: 9', 'minor: 13']
['20:00:08, 262, opp/conj: 5', 'sqr/tri/sext: 6', 'major: 11', 'minor: 11']
['20:00:16, 272, opp/conj: 5', 'sqr/tri/sext: 7', 'major: 12', 'minor: 11']
['20:00:24, 234, opp/conj: 4', 'sqr/tri/sext: 4', 'major: 8', 'minor: 13']
['20:00:32, 242, opp/conj: 4', 'sqr/tri/sext: 4', 'major: 8', 'minor: 14']
['20:00:39, 186, opp/conj: 3', 'sqr/tri/sext: 3', 'major: 6', 'minor: 12']
['20:00:47, 160, opp/conj: 3', 'sqr/tri/sext: 3', 'major: 6', 'minor: 9']
['20:00:56, 164, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 7']
['20:01:04, 174, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 8']
['20:01:12, 186, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 7']
['20:01:20, 202, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 7']
['20:01:28, 210, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 8']
['20:01:36, 230, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 10']
['20:01:44, 262, opp/conj: 4', 'sqr/tri/sext: 7', 'major: 11', 'minor: 9']
['20:01:52, 317, opp/conj: 5', 'sqr/tri/sext: 8', 'major: 13', 'minor: 11']
['20:02:00, 257, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 9']
['20:02:08, 243, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 9']
['20:02:15, 274, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 12']
['20:02:23, 274, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 10']
['20:02:31, 274, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 11']
['20:02:39, 284, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 11']
['20:02:47, 309, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 14']
['20:02:56, 275, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 12']
['20:03:04, 231, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 11']
['20:03:12, 271, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 12']
['20:03:20, 278, opp/conj: 4', 'sqr/tri/sext: 7', 'major: 11', 'minor: 16']
['20:03:28, 332, opp/conj: 6', 'sqr/tri/sext: 9', 'major: 15', 'minor: 13']
['20:03:36, 288, opp/conj: 5', 'sqr/tri/sext: 7', 'major: 12', 'minor: 13']
['20:03:44, 371, opp/conj: 7', 'sqr/tri/sext: 9', 'major: 16', 'minor: 13']
['20:03:52, 438, opp/conj: 8', 'sqr/tri/sext: 10', 'major: 18', 'minor: 16']
