['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['11:44:40', '0', '1', '2', '3', '4', "(H12,119.556,(r)) (Mean_Node,209.455,(cp)) (square,6')\n(H12,119.556,(r)) (Mean_Node,209.462,(cr)) (square,6')", '6', "(Venus,81.463,(r)) (Moon,141.167,(dr)) (sextile,18')", '8', '9', "(H4,231.846,(r)) (Jupiter,111.832,(cp)) (trine,1')\n(H4,231.846,(r)) (Jupiter,111.821,(cr)) (trine,2')", '11', "(Saturn,264.666,(r)) (Moon,204.798,(cp)) (sextile,8')", "(Mercury,121.808,(r)) (Moon,212.100,(dr)) (square,18')", "(Moon,21.879,(r)) (Moon,141.656,(dr)) (trine,13')\n(H10,51.846,(r)) (Moon,141.656,(dr)) (square,11')", "(H10,51.846,(r)) (Uranus,171.884,(dp)) (trine,2')\n(H10,51.846,(r)) (Uranus,171.823,(dr)) (trine,1')", '16', "(Mars,164.651,(r)) (Moon,164.242,(dp)) (conjunction,25')", "(H12,119.556,(r)) (Mars,179.789,(cp)) (sextile,14')", "(Neptune,150.130,(r)) (Moon,239.875,(dr)) (square,15')", 14]
['10:51:04', '0', "(H5,254.201,(r)) (Jupiter,14.125,(dp)) (trine,5')\n(H5,254.201,(r)) (Jupiter,14.106,(dr)) (trine,6')\n(Mean_Node,47.228,(r)) (Moon,347.303,(cr)) (sextile,5')", '2', '3', '4', '5', '6', '7', "(H10,38.365,(r)) (Venus,98.311,(dp)) (sextile,3')\n(H1,137.520,(r)) (Moon,137.532,(cr)) (conjunction,1')", '9', '10', '11', '12', "(Mercury,121.729,(r)) (Moon,211.656,(dr)) (square,4')\n(Mercury,121.729,(r)) (Moon,211.939,(cp)) (square,13')", "(Moon,21.388,(r)) (Moon,141.092,(dr)) (trine,18')", '15', '16', '17', "(H7,317.520,(r)) (Mean_Node,197.578,(cp)) (trine,4')\n(H7,317.520,(r)) (Mean_Node,197.645,(cr)) (trine,8')", "(H8,339.137,(r)) (Mean_Node,249.323,(dp)) (square,11')", 11]
['11:44:47', '0', '1', '2', '3', '4', "(H12,119.581,(r)) (Mean_Node,209.455,(cp)) (square,8')\n(H12,119.581,(r)) (Mean_Node,209.462,(cr)) (square,7')", '6', "(Venus,81.463,(r)) (Moon,141.168,(dr)) (sextile,18')", '8', '9', "(H4,231.875,(r)) (Jupiter,111.832,(cp)) (trine,3')\n(H4,231.875,(r)) (Jupiter,111.821,(cr)) (trine,3')", '11', "(Saturn,264.666,(r)) (Moon,204.799,(cp)) (sextile,8')", "(Mercury,121.808,(r)) (Moon,212.101,(dr)) (square,18')", "(Moon,21.880,(r)) (Moon,141.658,(dr)) (trine,13')\n(H10,51.875,(r)) (Moon,141.658,(dr)) (square,13')", "(H10,51.875,(r)) (Uranus,171.884,(dp)) (trine,1')\n(H10,51.875,(r)) (Uranus,171.823,(dr)) (trine,3')", '16', "(Mars,164.651,(r)) (Moon,164.243,(dp)) (conjunction,24')", "(H12,119.581,(r)) (Mars,179.790,(cp)) (sextile,13')", "(Neptune,150.130,(r)) (Moon,239.877,(dr)) (square,15')", 14]
['10:51:12', '0', "(H5,254.233,(r)) (Jupiter,14.125,(dp)) (trine,6')\n(H5,254.233,(r)) (Jupiter,14.106,(dr)) (trine,8')\n(Mean_Node,47.228,(r)) (Moon,347.304,(cr)) (sextile,5')", '2', '3', '4', '5', '6', '7', "(H10,38.400,(r)) (Venus,98.311,(dp)) (sextile,5')\n(H1,137.546,(r)) (Moon,137.533,(cr)) (conjunction,1')", '9', '10', '11', '12', "(Mercury,121.730,(r)) (Moon,211.657,(dr)) (square,4')\n(Mercury,121.730,(r)) (Moon,211.940,(cp)) (square,13')", "(Moon,21.390,(r)) (Moon,141.093,(dr)) (trine,18')", '15', '16', '17', "(H7,317.546,(r)) (Mean_Node,197.578,(cp)) (trine,2')\n(H7,317.546,(r)) (Mean_Node,197.645,(cr)) (trine,6')", "(H8,339.166,(r)) (Mean_Node,249.323,(dp)) (square,9')", 11]
['10:50:54', '0', "(H5,254.164,(r)) (Jupiter,14.125,(dp)) (trine,2')\n(H5,254.164,(r)) (Jupiter,14.106,(dr)) (trine,4')\n(Mean_Node,47.228,(r)) (Moon,347.301,(cr)) (sextile,4')", '2', '3', '4', '5', '6', '7', "(H10,38.327,(r)) (Venus,98.311,(dp)) (sextile,1')\n(H1,137.490,(r)) (Moon,137.531,(cr)) (conjunction,2')", '9', '10', '11', "(H7,317.490,(r)) (Neptune,77.259,(cp)) (trine,14')", "(Mercury,121.729,(r)) (Moon,211.655,(dr)) (square,4')\n(Mercury,121.729,(r)) (Moon,211.937,(cp)) (square,12')\n(H1,137.490,(r)) (Neptune,77.274,(cp)) (sextile,13')", "(Moon,21.387,(r)) (Moon,141.090,(dr)) (trine,18')", '15', '16', '17', "(H7,317.490,(r)) (Mean_Node,197.578,(cp)) (trine,5')\n(H7,317.490,(r)) (Mean_Node,197.645,(cr)) (trine,9')", "(H8,339.105,(r)) (Mean_Node,249.323,(dp)) (square,13')", 13]
['11:26:15', '0', "(H10,47.275,(r)) (Mars,107.066,(dp)) (sextile,13')", "(H5,262.587,(r)) (Mean_Node,322.411,(dr)) (sextile,11')", "(H5,262.587,(r)) (Mean_Node,322.421,(dr)) (sextile,10')", '4', '5', '6', "(H5,262.587,(r)) (Moon,262.425,(cr)) (conjunction,10')", "(H1,144.402,(r)) (Moon,144.432,(cp)) (conjunction,2')", "(H1,144.402,(r)) (Jupiter,264.583,(dp)) (trine,11')\n(H1,144.402,(r)) (Jupiter,264.629,(dr)) (trine,14')", '10', '11', "(Saturn,264.667,(r)) (Moon,204.621,(cp)) (sextile,3')", "(Mercury,121.781,(r)) (Moon,211.948,(dr)) (square,10')\n(H9,14.312,(r)) (Mercury,104.216,(cr)) (square,6')", "(Moon,21.711,(r)) (Moon,141.462,(dr)) (trine,15')", "(H10,47.275,(r)) (Jupiter,347.337,(cp)) (sextile,4')\n(H10,47.275,(r)) (Jupiter,347.417,(cr)) (sextile,9')", '16', '17', "(H8,346.775,(r)) (Mean_Node,256.824,(dp)) (square,3')\n(H8,346.775,(r)) (Mean_Node,256.891,(dr)) (square,7')", "(H1,144.402,(r)) (Saturn,204.397,(cp)) (sextile,0')\n(H1,144.402,(r)) (Saturn,204.318,(cr)) (sextile,5')", 17]
['10:51:28', "(H9,5.896,(r)) (Moon,246.174,(cr)) (trine,17')", "(H5,254.298,(r)) (Jupiter,14.125,(dp)) (trine,10')\n(H5,254.298,(r)) (Jupiter,14.106,(dr)) (trine,12')\n(Mean_Node,47.228,(r)) (Moon,347.307,(cr)) (sextile,5')", '2', '3', "(H7,317.598,(r)) (Jupiter,77.813,(dr)) (trine,13')", '5', '6', '7', "(H10,38.468,(r)) (Venus,98.312,(dp)) (sextile,9')\n(H1,137.598,(r)) (Moon,137.535,(cr)) (conjunction,4')", '9', '10', '11', '12', "(Mercury,121.730,(r)) (Moon,211.659,(dr)) (square,4')\n(Mercury,121.730,(r)) (Moon,211.942,(cp)) (square,13')", "(Moon,21.392,(r)) (Moon,141.096,(dr)) (trine,18')", '15', '16', '17', "(H7,317.598,(r)) (Mean_Node,197.578,(cp)) (trine,1')\n(H7,317.598,(r)) (Mean_Node,197.645,(cr)) (trine,3')", "(H8,339.224,(r)) (Mean_Node,249.323,(dp)) (square,6')\n(H8,339.224,(r)) (Mean_Node,249.409,(dr)) (square,11')", 14]
['00:30:46', "(H9,216.906,(r)) (Moon,156.724,(dp)) (sextile,11')\n(Mercury,120.820,(r)) (Moon,240.716,(cr)) (trine,6')", '1', '2', '3', "(Jupiter,69.437,(r)) (Moon,69.720,(cr)) (conjunction,17')", '5', '6', '7', "(H1,312.661,(r)) (Moon,132.215,(cr)) (opposition,27')", '9', '10', "(H7,132.661,(r)) (Neptune,222.891,(dp)) (square,14')\n(H7,132.661,(r)) (Neptune,222.891,(dr)) (square,14')\n(H8,180.717,(r)) (Mars,180.919,(dr)) (conjunction,12')", "(H7,132.661,(r)) (Neptune,222.892,(dp)) (square,14')\n(H7,132.661,(r)) (Neptune,222.891,(dr)) (square,14')\n(H8,180.717,(r)) (Mars,180.748,(dr)) (conjunction,2')\n(Pluto,108.359,(r)) (Moon,198.295,(cp)) (square,4')", "(H1,312.661,(r)) (Neptune,222.893,(dp)) (square,14')\n(H1,312.661,(r)) (Neptune,222.890,(dr)) (square,14')\n(Mercury,120.820,(r)) (Moon,181.067,(cr)) (sextile,15')", "(H9,216.906,(r)) (Uranus,127.113,(dr)) (square,12')", "(Mercury,120.820,(r)) (Moon,30.845,(cp)) (square,2')", "(H1,312.661,(r)) (Saturn,12.446,(dp)) (sextile,13')\n(H1,312.661,(r)) (Saturn,12.456,(dr)) (sextile,12')", '17', '18', '19', 18]
['18:30:08', "(Uranus,11.329,(r)) (Moon,251.489,(cp)) (trine,10')", "(Jupiter,69.571,(r)) (Moon,70.007,(dr)) (conjunction,26')\n(Sun,125.159,(r)) (Moon,5.133,(cp)) (trine,2')", "(H7,47.989,(r)) (Jupiter,48.181,(dp)) (conjunction,12')\n(H7,47.989,(r)) (Jupiter,47.997,(dr)) (conjunction,0')", "(H7,47.989,(r)) (Jupiter,48.205,(dp)) (conjunction,13')\n(H7,47.989,(r)) (Jupiter,47.974,(dr)) (conjunction,1')", "(H5,1.036,(r)) (Jupiter,61.260,(cr)) (sextile,13')\n(H7,47.989,(r)) (Mars,228.099,(cp)) (opposition,7')\n(H7,47.989,(r)) (Mars,227.994,(cr)) (opposition,0')", '5', "(Neptune,150.140,(r)) (Moon,150.624,(dp)) (conjunction,29')\n(Neptune,150.140,(r)) (Moon,150.164,(dr)) (conjunction,1')\n(Neptune,150.140,(r)) (Moon,270.137,(cr)) (trine,0')\n(H8,77.997,(r)) (Pluto,78.225,(cp)) (conjunction,14')\n(H8,77.997,(r)) (Pluto,78.224,(cr)) (conjunction,14')", "(Moon,25.605,(r)) (Moon,145.436,(dr)) (trine,10')\n(H4,328.931,(r)) (Venus,148.927,(cp)) (opposition,0')", '8', '9', '10', "(Saturn,264.653,(r)) (Moon,204.763,(cp)) (sextile,7')", "(H5,1.036,(r)) (Mars,181.203,(dr)) (opposition,10')\n(H4,328.931,(r)) (Mars,149.138,(cr)) (opposition,12')", "(Uranus,11.329,(r)) (Moon,191.811,(cr)) (opposition,29')\n(H10,148.931,(r)) (Mars,148.780,(cr)) (conjunction,9')", "(H10,148.931,(r)) (Mercury,148.768,(dp)) (conjunction,10')", '15', '16', '17', '18', "(Saturn,264.653,(r)) (Moon,265.170,(dp)) (conjunction,31')\n(Mean_Node,47.211,(r)) (Moon,167.090,(cr)) (trine,7')", 25]
['22:56:46', '0', '1', '2', '3', "(Jupiter,69.425,(r)) (Moon,68.902,(cr)) (conjunction,31')", "(H8,147.467,(r)) (Pluto,147.513,(dp)) (conjunction,3')\n(H8,147.467,(r)) (Pluto,147.508,(dr)) (conjunction,2')", "(H12,263.163,(r)) (Mars,143.004,(dp)) (trine,10')\n(H12,263.163,(r)) (Mars,142.982,(dr)) (trine,11')", "(H5,62.724,(r)) (Venus,152.828,(dp)) (square,6')", "(Uranus,11.336,(r)) (Moon,131.407,(cr)) (trine,4')\n(H3,8.619,(r)) (Uranus,248.635,(cp)) (trine,1')\n(H3,8.619,(r)) (Uranus,248.644,(cr)) (trine,2')", "(Mean_Node,47.254,(r)) (Moon,167.009,(dr)) (trine,15')", '10', '11', '12', '13', '14', '15', "(H1,284.495,(r)) (Saturn,164.638,(cr)) (trine,9')", '17', '18', '19', 11]
