['Time, Count, opp-conj: 0, sqr-tri-sext: 0, major: 0, minor: 0, empty: 20']
['11:44:40, 40, opp-conj: 9, sqr-tri-sext: 13, major: 22, minor: 18, empty: 1']
['10:51:04, 30, opp-conj: 5, sqr-tri-sext: 8, major: 13, minor: 17, empty: 4']
['11:44:47, 42, opp-conj: 8, sqr-tri-sext: 16, major: 24, minor: 18, empty: 1']
['10:51:12, 23, opp-conj: 4, sqr-tri-sext: 7, major: 11, minor: 12, empty: 7']
['10:50:54, 29, opp-conj: 5, sqr-tri-sext: 7, major: 12, minor: 17, empty: 4']
['11:26:15, 31, opp-conj: 4, sqr-tri-sext: 9, major: 13, minor: 18, empty: 3']
['10:51:28, 22, opp-conj: 3, sqr-tri-sext: 7, major: 10, minor: 12, empty: 8']
['00:30:46, 31, opp-conj: 6, sqr-tri-sext: 14, major: 20, minor: 11, empty: 4']
['18:30:08, 36, opp-conj: 5, sqr-tri-sext: 13, major: 18, minor: 18, empty: 2']
['22:56:46, 29, opp-conj: 5, sqr-tri-sext: 9, major: 14, minor: 15, empty: 5']
['08:51:28, 46, opp-conj: 8, sqr-tri-sext: 11, major: 19, minor: 27, empty: 0']
['23:02:30, 33, opp-conj: 5, sqr-tri-sext: 11, major: 16, minor: 17, empty: 3']
['15:00:22, 27, opp-conj: 2, sqr-tri-sext: 11, major: 13, minor: 14, empty: 6']
['17:14:15, 32, opp-conj: 4, sqr-tri-sext: 18, major: 22, minor: 10, empty: 7']
['15:00:14, 26, opp-conj: 2, sqr-tri-sext: 9, major: 11, minor: 15, empty: 6']
['22:56:56, 29, opp-conj: 5, sqr-tri-sext: 9, major: 14, minor: 15, empty: 3']
['18:29:44, 38, opp-conj: 3, sqr-tri-sext: 11, major: 14, minor: 24, empty: 0']
['08:51:36, 46, opp-conj: 8, sqr-tri-sext: 11, major: 19, minor: 27, empty: 0']
['11:26:30, 29, opp-conj: 3, sqr-tri-sext: 10, major: 13, minor: 16, empty: 3']
['11:45:36, 34, opp-conj: 7, sqr-tri-sext: 14, major: 21, minor: 13, empty: 3']
['11:45:44, 34, opp-conj: 7, sqr-tri-sext: 13, major: 20, minor: 14, empty: 3']
['23:19:36, 28, opp-conj: 3, sqr-tri-sext: 7, major: 10, minor: 18, empty: 7']
['21:41:12, 29, opp-conj: 6, sqr-tri-sext: 7, major: 13, minor: 16, empty: 7']
['05:32:56, 34, opp-conj: 1, sqr-tri-sext: 15, major: 16, minor: 18, empty: 1']
['13:32:46, 30, opp-conj: 4, sqr-tri-sext: 14, major: 18, minor: 12, empty: 3']
['21:41:20, 34, opp-conj: 8, sqr-tri-sext: 8, major: 16, minor: 18, empty: 6']
['10:51:20, 24, opp-conj: 4, sqr-tri-sext: 7, major: 11, minor: 13, empty: 7']
['11:45:28, 35, opp-conj: 7, sqr-tri-sext: 15, major: 22, minor: 13, empty: 2']
['08:51:44, 47, opp-conj: 7, sqr-tri-sext: 12, major: 19, minor: 28, empty: 0']
['18:20:00, 36, opp-conj: 5, sqr-tri-sext: 9, major: 14, minor: 22, empty: 3']
['20:04:22, 33, opp-conj: 1, sqr-tri-sext: 11, major: 12, minor: 21, empty: 3']
['22:56:38, 22, opp-conj: 5, sqr-tri-sext: 7, major: 12, minor: 10, empty: 9']
['18:30:24, 30, opp-conj: 5, sqr-tri-sext: 10, major: 15, minor: 15, empty: 4']
['11:44:56, 40, opp-conj: 8, sqr-tri-sext: 15, major: 23, minor: 17, empty: 2']
['10:51:36, 26, opp-conj: 4, sqr-tri-sext: 6, major: 10, minor: 16, empty: 6']
['20:04:14, 33, opp-conj: 2, sqr-tri-sext: 11, major: 13, minor: 20, empty: 2']
['05:50:46, 27, opp-conj: 2, sqr-tri-sext: 9, major: 11, minor: 16, empty: 5']
['21:41:28, 37, opp-conj: 9, sqr-tri-sext: 8, major: 17, minor: 20, empty: 4']
['11:26:38, 30, opp-conj: 4, sqr-tri-sext: 9, major: 13, minor: 17, empty: 4']
['11:26:22, 29, opp-conj: 4, sqr-tri-sext: 9, major: 13, minor: 16, empty: 2']
['08:51:20, 38, opp-conj: 6, sqr-tri-sext: 7, major: 13, minor: 25, empty: 1']
['11:05:28, 21, opp-conj: 2, sqr-tri-sext: 6, major: 8, minor: 13, empty: 7']
['21:37:20, 33, opp-conj: 2, sqr-tri-sext: 16, major: 18, minor: 15, empty: 7']
['01:03:02, 32, opp-conj: 5, sqr-tri-sext: 12, major: 17, minor: 15, empty: 3']
['01:40:00, 19, opp-conj: 3, sqr-tri-sext: 5, major: 8, minor: 11, empty: 8']
['20:00:08, 19, opp-conj: 3, sqr-tri-sext: 6, major: 9, minor: 10, empty: 8']
['20:00:08, 19, opp-conj: 3, sqr-tri-sext: 6, major: 9, minor: 10, empty: 8']
['11:44:32, 37, opp-conj: 8, sqr-tri-sext: 13, major: 21, minor: 16, empty: 3']
['11:45:52, 32, opp-conj: 7, sqr-tri-sext: 10, major: 17, minor: 15, empty: 4']
['11:06:16, 31, opp-conj: 4, sqr-tri-sext: 11, major: 15, minor: 16, empty: 3']
['05:33:04, 33, opp-conj: 1, sqr-tri-sext: 16, major: 17, minor: 16, empty: 0']
['12:23:51, 21, opp-conj: 3, sqr-tri-sext: 10, major: 13, minor: 8, empty: 9']
['23:19:44, 29, opp-conj: 5, sqr-tri-sext: 6, major: 11, minor: 18, empty: 6']
['18:19:44, 40, opp-conj: 6, sqr-tri-sext: 10, major: 16, minor: 24, empty: 3']
['23:02:23, 32, opp-conj: 6, sqr-tri-sext: 11, major: 17, minor: 15, empty: 3']
['23:02:38, 34, opp-conj: 6, sqr-tri-sext: 10, major: 16, minor: 18, empty: 4']
['18:30:00, 40, opp-conj: 4, sqr-tri-sext: 15, major: 19, minor: 21, empty: 2']
['15:00:30, 26, opp-conj: 2, sqr-tri-sext: 12, major: 14, minor: 12, empty: 5']
['21:50:14, 27, opp-conj: 4, sqr-tri-sext: 14, major: 18, minor: 9, empty: 6']
['04:44:56, 33, opp-conj: 4, sqr-tri-sext: 10, major: 14, minor: 19, empty: 3']
['15:00:07, 27, opp-conj: 3, sqr-tri-sext: 9, major: 12, minor: 15, empty: 6']
['18:37:20, 29, opp-conj: 3, sqr-tri-sext: 9, major: 12, minor: 17, empty: 6']
['18:26:38, 31, opp-conj: 7, sqr-tri-sext: 12, major: 19, minor: 12, empty: 3']
['21:37:27, 35, opp-conj: 2, sqr-tri-sext: 17, major: 19, minor: 16, empty: 6']
['10:51:44, 28, opp-conj: 4, sqr-tri-sext: 8, major: 12, minor: 16, empty: 5']
['10:51:52, 30, opp-conj: 4, sqr-tri-sext: 8, major: 12, minor: 18, empty: 5']
['07:10:38, 25, opp-conj: 0, sqr-tri-sext: 12, major: 12, minor: 13, empty: 4']
['17:14:22, 32, opp-conj: 5, sqr-tri-sext: 17, major: 22, minor: 10, empty: 7']
['11:45:04, 38, opp-conj: 6, sqr-tri-sext: 15, major: 21, minor: 17, empty: 3']
['19:30:46, 27, opp-conj: 2, sqr-tri-sext: 16, major: 18, minor: 9, empty: 5']
['00:30:56, 37, opp-conj: 7, sqr-tri-sext: 14, major: 21, minor: 16, empty: 4']
['03:03:04, 30, opp-conj: 3, sqr-tri-sext: 13, major: 16, minor: 14, empty: 3']
['11:46:00, 30, opp-conj: 5, sqr-tri-sext: 12, major: 17, minor: 13, empty: 3']
['21:41:04, 27, opp-conj: 5, sqr-tri-sext: 7, major: 12, minor: 15, empty: 6']
['11:26:46, 31, opp-conj: 4, sqr-tri-sext: 9, major: 13, minor: 18, empty: 4']
['18:29:52, 42, opp-conj: 4, sqr-tri-sext: 13, major: 17, minor: 25, empty: 0']
['23:57:52, 34, opp-conj: 2, sqr-tri-sext: 15, major: 17, minor: 17, empty: 4']
['11:05:36, 26, opp-conj: 3, sqr-tri-sext: 10, major: 13, minor: 13, empty: 6']
['17:54:24, 48, opp-conj: 4, sqr-tri-sext: 24, major: 28, minor: 20, empty: 2']
['18:20:08, 36, opp-conj: 5, sqr-tri-sext: 10, major: 15, minor: 21, empty: 3']
['05:50:30, 23, opp-conj: 1, sqr-tri-sext: 7, major: 8, minor: 15, empty: 5']
['13:33:04, 27, opp-conj: 3, sqr-tri-sext: 10, major: 13, minor: 14, empty: 5']
['07:29:44, 24, opp-conj: 2, sqr-tri-sext: 12, major: 14, minor: 10, empty: 6']
['03:02:56, 33, opp-conj: 3, sqr-tri-sext: 14, major: 17, minor: 16, empty: 4']
['05:54:24, 34, opp-conj: 3, sqr-tri-sext: 14, major: 17, minor: 17, empty: 5']
['01:39:50, 19, opp-conj: 3, sqr-tri-sext: 6, major: 9, minor: 10, empty: 8']
['23:16:22, 31, opp-conj: 2, sqr-tri-sext: 7, major: 9, minor: 22, empty: 6']
['11:25:52, 35, opp-conj: 5, sqr-tri-sext: 11, major: 16, minor: 19, empty: 4']
['00:30:39, 31, opp-conj: 6, sqr-tri-sext: 15, major: 21, minor: 10, empty: 5']
['11:26:00, 32, opp-conj: 6, sqr-tri-sext: 10, major: 16, minor: 16, empty: 6']
['17:56:16, 34, opp-conj: 3, sqr-tri-sext: 9, major: 12, minor: 22, empty: 3']
['01:03:10, 36, opp-conj: 6, sqr-tri-sext: 14, major: 20, minor: 16, empty: 2']
['21:36:56, 38, opp-conj: 2, sqr-tri-sext: 18, major: 20, minor: 18, empty: 4']
['18:30:16, 32, opp-conj: 4, sqr-tri-sext: 11, major: 15, minor: 17, empty: 3']
['20:04:30, 33, opp-conj: 1, sqr-tri-sext: 11, major: 12, minor: 21, empty: 3']
['01:39:42, 21, opp-conj: 3, sqr-tri-sext: 6, major: 9, minor: 12, empty: 8']
['21:50:22, 27, opp-conj: 4, sqr-tri-sext: 14, major: 18, minor: 9, empty: 5']
['05:32:48, 34, opp-conj: 1, sqr-tri-sext: 13, major: 14, minor: 20, empty: 3']
['06:09:52, 27, opp-conj: 3, sqr-tri-sext: 8, major: 11, minor: 16, empty: 4']
['00:30:24, 36, opp-conj: 6, sqr-tri-sext: 15, major: 21, minor: 15, empty: 6']
