['Time, Count, opp-conj: 0, sqr-tri-sext: 0, major: 0, minor: 0, empty: 20']
['11:44:40, 19, opp-conj: 7, sqr-tri-sext: 12, major: 19, minor: 0, empty: 7']
['10:51:04, 12, opp-conj: 3, sqr-tri-sext: 9, major: 12, minor: 0, empty: 11']
['11:44:47, 19, opp-conj: 7, sqr-tri-sext: 12, major: 19, minor: 0, empty: 7']
['10:51:12, 12, opp-conj: 3, sqr-tri-sext: 9, major: 12, minor: 0, empty: 11']
['10:50:54, 12, opp-conj: 3, sqr-tri-sext: 9, major: 12, minor: 0, empty: 11']
['11:26:15, 9, opp-conj: 1, sqr-tri-sext: 8, major: 9, minor: 0, empty: 11']
['10:51:28, 12, opp-conj: 3, sqr-tri-sext: 9, major: 12, minor: 0, empty: 11']
['00:30:46, 18, opp-conj: 3, sqr-tri-sext: 15, major: 18, minor: 0, empty: 8']
['18:30:08, 22, opp-conj: 6, sqr-tri-sext: 16, major: 22, minor: 0, empty: 4']
['22:56:46, 16, opp-conj: 4, sqr-tri-sext: 12, major: 16, minor: 0, empty: 7']
['08:51:28, 15, opp-conj: 5, sqr-tri-sext: 10, major: 15, minor: 0, empty: 10']
['23:02:30, 21, opp-conj: 3, sqr-tri-sext: 18, major: 21, minor: 0, empty: 6']
['15:00:22, 18, opp-conj: 4, sqr-tri-sext: 14, major: 18, minor: 0, empty: 7']
['17:14:15, 14, opp-conj: 3, sqr-tri-sext: 11, major: 14, minor: 0, empty: 10']
['15:00:14, 18, opp-conj: 4, sqr-tri-sext: 14, major: 18, minor: 0, empty: 7']
['22:56:56, 15, opp-conj: 3, sqr-tri-sext: 12, major: 15, minor: 0, empty: 7']
['18:29:44, 19, opp-conj: 6, sqr-tri-sext: 13, major: 19, minor: 0, empty: 5']
['08:51:36, 15, opp-conj: 5, sqr-tri-sext: 10, major: 15, minor: 0, empty: 10']
['11:26:30, 7, opp-conj: 0, sqr-tri-sext: 7, major: 7, minor: 0, empty: 13']
['11:45:36, 19, opp-conj: 6, sqr-tri-sext: 13, major: 19, minor: 0, empty: 7']
['11:45:44, 20, opp-conj: 6, sqr-tri-sext: 14, major: 20, minor: 0, empty: 7']
['23:19:36, 15, opp-conj: 4, sqr-tri-sext: 11, major: 15, minor: 0, empty: 10']
['21:41:12, 20, opp-conj: 4, sqr-tri-sext: 16, major: 20, minor: 0, empty: 6']
['05:32:56, 16, opp-conj: 3, sqr-tri-sext: 13, major: 16, minor: 0, empty: 7']
['13:32:46, 23, opp-conj: 8, sqr-tri-sext: 15, major: 23, minor: 0, empty: 8']
['21:41:20, 20, opp-conj: 4, sqr-tri-sext: 16, major: 20, minor: 0, empty: 6']
['10:51:20, 12, opp-conj: 3, sqr-tri-sext: 9, major: 12, minor: 0, empty: 11']
['11:45:28, 19, opp-conj: 6, sqr-tri-sext: 13, major: 19, minor: 0, empty: 7']
['08:51:44, 15, opp-conj: 5, sqr-tri-sext: 10, major: 15, minor: 0, empty: 10']
['18:20:00, 15, opp-conj: 5, sqr-tri-sext: 10, major: 15, minor: 0, empty: 8']
['20:04:22, 16, opp-conj: 5, sqr-tri-sext: 11, major: 16, minor: 0, empty: 11']
['22:56:38, 15, opp-conj: 4, sqr-tri-sext: 11, major: 15, minor: 0, empty: 7']
['18:30:24, 24, opp-conj: 7, sqr-tri-sext: 17, major: 24, minor: 0, empty: 3']
['11:44:56, 20, opp-conj: 7, sqr-tri-sext: 13, major: 20, minor: 0, empty: 6']
