['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:00:00, 19, opp/conj: 3', 'sqr/tri/sext: 16', 'major: 19', 'minor: 0']
['23:00:08, 20, opp/conj: 3', 'sqr/tri/sext: 17', 'major: 20', 'minor: 0']
['23:00:16, 18, opp/conj: 3', 'sqr/tri/sext: 15', 'major: 18', 'minor: 0']
['23:00:24, 17, opp/conj: 4', 'sqr/tri/sext: 13', 'major: 17', 'minor: 0']
['23:00:32, 17, opp/conj: 4', 'sqr/tri/sext: 13', 'major: 17', 'minor: 0']
['23:00:39, 18, opp/conj: 4', 'sqr/tri/sext: 14', 'major: 18', 'minor: 0']
['23:00:47, 17, opp/conj: 3', 'sqr/tri/sext: 14', 'major: 17', 'minor: 0']
['23:00:56, 17, opp/conj: 4', 'sqr/tri/sext: 13', 'major: 17', 'minor: 0']
['23:01:04, 17, opp/conj: 4', 'sqr/tri/sext: 13', 'major: 17', 'minor: 0']
['23:01:12, 16, opp/conj: 4', 'sqr/tri/sext: 12', 'major: 16', 'minor: 0']
['23:01:20, 14, opp/conj: 3', 'sqr/tri/sext: 11', 'major: 14', 'minor: 0']
['23:01:28, 13, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 0']
['23:01:36, 15, opp/conj: 5', 'sqr/tri/sext: 10', 'major: 15', 'minor: 0']
['23:01:44, 17, opp/conj: 5', 'sqr/tri/sext: 12', 'major: 17', 'minor: 0']
['23:01:52, 16, opp/conj: 5', 'sqr/tri/sext: 11', 'major: 16', 'minor: 0']
['23:02:00, 15, opp/conj: 5', 'sqr/tri/sext: 10', 'major: 15', 'minor: 0']
['23:02:08, 16, opp/conj: 5', 'sqr/tri/sext: 11', 'major: 16', 'minor: 0']
['23:02:15, 18, opp/conj: 5', 'sqr/tri/sext: 13', 'major: 18', 'minor: 0']
['23:02:23, 18, opp/conj: 5', 'sqr/tri/sext: 13', 'major: 18', 'minor: 0']
['23:02:31, 21, opp/conj: 7', 'sqr/tri/sext: 14', 'major: 21', 'minor: 0']
['23:02:39, 20, opp/conj: 6', 'sqr/tri/sext: 14', 'major: 20', 'minor: 0']
['23:02:47, 20, opp/conj: 6', 'sqr/tri/sext: 14', 'major: 20', 'minor: 0']
['23:02:56, 20, opp/conj: 6', 'sqr/tri/sext: 14', 'major: 20', 'minor: 0']
['23:03:04, 18, opp/conj: 5', 'sqr/tri/sext: 13', 'major: 18', 'minor: 0']
['23:03:12, 17, opp/conj: 5', 'sqr/tri/sext: 12', 'major: 17', 'minor: 0']
['23:03:20, 14, opp/conj: 4', 'sqr/tri/sext: 10', 'major: 14', 'minor: 0']
['23:03:28, 13, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 0']
['23:03:36, 14, opp/conj: 4', 'sqr/tri/sext: 10', 'major: 14', 'minor: 0']
['23:03:44, 15, opp/conj: 4', 'sqr/tri/sext: 11', 'major: 15', 'minor: 0']
['23:03:52, 16, opp/conj: 6', 'sqr/tri/sext: 10', 'major: 16', 'minor: 0']
['23:03:59, 18, opp/conj: 6', 'sqr/tri/sext: 12', 'major: 18', 'minor: 0']
['23:04:07, 16, opp/conj: 7', 'sqr/tri/sext: 9', 'major: 16', 'minor: 0']
['23:04:15, 15, opp/conj: 7', 'sqr/tri/sext: 8', 'major: 15', 'minor: 0']
['23:04:23, 16, opp/conj: 7', 'sqr/tri/sext: 9', 'major: 16', 'minor: 0']
['23:04:31, 16, opp/conj: 7', 'sqr/tri/sext: 9', 'major: 16', 'minor: 0']
['23:04:39, 16, opp/conj: 6', 'sqr/tri/sext: 10', 'major: 16', 'minor: 0']
['23:04:47, 17, opp/conj: 6', 'sqr/tri/sext: 11', 'major: 17', 'minor: 0']
['23:04:56, 17, opp/conj: 6', 'sqr/tri/sext: 11', 'major: 17', 'minor: 0']
['23:05:04, 19, opp/conj: 5', 'sqr/tri/sext: 14', 'major: 19', 'minor: 0']
['23:05:12, 19, opp/conj: 5', 'sqr/tri/sext: 14', 'major: 19', 'minor: 0']
['23:05:20, 17, opp/conj: 4', 'sqr/tri/sext: 13', 'major: 17', 'minor: 0']
['23:05:28, 16, opp/conj: 4', 'sqr/tri/sext: 12', 'major: 16', 'minor: 0']
['23:05:36, 14, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 0']
['23:05:43, 13, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 0']
['23:05:51, 14, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 0']
['23:06:00, 13, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 0']
['23:06:08, 13, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 0']
['23:06:16, 13, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 0']
['23:06:24, 13, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 0']
['23:06:32, 12, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 0']
['23:06:40, 11, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 0']
['23:06:48, 11, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 0']
['23:06:56, 11, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 0']
['23:07:04, 12, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 0']
['23:07:12, 10, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 0']
['23:07:20, 10, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 0']
['23:07:28, 8, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 0']
['23:07:36, 8, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 0']
['23:07:44, 9, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 0']
['23:07:52, 9, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 0']
['23:08:00, 8, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 0']
['23:08:08, 8, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 0']
['23:08:16, 7, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 0']
['23:08:24, 7, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 0']
['23:08:32, 10, opp/conj: 4', 'sqr/tri/sext: 6', 'major: 10', 'minor: 0']
['23:08:40, 10, opp/conj: 4', 'sqr/tri/sext: 6', 'major: 10', 'minor: 0']
['23:08:48, 10, opp/conj: 4', 'sqr/tri/sext: 6', 'major: 10', 'minor: 0']
['23:08:56, 10, opp/conj: 4', 'sqr/tri/sext: 6', 'major: 10', 'minor: 0']
['23:09:04, 10, opp/conj: 5', 'sqr/tri/sext: 5', 'major: 10', 'minor: 0']
['23:09:12, 10, opp/conj: 4', 'sqr/tri/sext: 6', 'major: 10', 'minor: 0']
['23:09:20, 9, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 0']
['23:09:28, 12, opp/conj: 5', 'sqr/tri/sext: 7', 'major: 12', 'minor: 0']
['23:09:36, 14, opp/conj: 6', 'sqr/tri/sext: 8', 'major: 14', 'minor: 0']
['23:09:44, 14, opp/conj: 6', 'sqr/tri/sext: 8', 'major: 14', 'minor: 0']
['23:09:52, 14, opp/conj: 6', 'sqr/tri/sext: 8', 'major: 14', 'minor: 0']
['23:10:00, 15, opp/conj: 6', 'sqr/tri/sext: 9', 'major: 15', 'minor: 0']
['23:10:08, 15, opp/conj: 6', 'sqr/tri/sext: 9', 'major: 15', 'minor: 0']
['23:10:16, 15, opp/conj: 6', 'sqr/tri/sext: 9', 'major: 15', 'minor: 0']
['23:10:24, 15, opp/conj: 6', 'sqr/tri/sext: 9', 'major: 15', 'minor: 0']
['23:10:32, 15, opp/conj: 6', 'sqr/tri/sext: 9', 'major: 15', 'minor: 0']
['23:10:40, 16, opp/conj: 6', 'sqr/tri/sext: 10', 'major: 16', 'minor: 0']
['23:10:47, 16, opp/conj: 6', 'sqr/tri/sext: 10', 'major: 16', 'minor: 0']
['23:10:56, 16, opp/conj: 6', 'sqr/tri/sext: 10', 'major: 16', 'minor: 0']
['23:11:04, 14, opp/conj: 5', 'sqr/tri/sext: 9', 'major: 14', 'minor: 0']
['23:11:12, 12, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 0']
['23:11:20, 9, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 0']
['23:11:28, 8, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 0']
['23:11:36, 9, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 0']
['23:11:44, 9, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 0']
['23:11:52, 9, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 0']
['23:12:00, 8, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 0']
['23:12:08, 6, opp/conj: 2', 'sqr/tri/sext: 4', 'major: 6', 'minor: 0']
['23:12:16, 6, opp/conj: 2', 'sqr/tri/sext: 4', 'major: 6', 'minor: 0']
['23:12:24, 6, opp/conj: 2', 'sqr/tri/sext: 4', 'major: 6', 'minor: 0']
['23:12:31, 6, opp/conj: 2', 'sqr/tri/sext: 4', 'major: 6', 'minor: 0']
['23:12:39, 7, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 0']
['23:12:47, 7, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 0']
['23:12:56, 8, opp/conj: 4', 'sqr/tri/sext: 4', 'major: 8', 'minor: 0']
['23:13:04, 8, opp/conj: 4', 'sqr/tri/sext: 4', 'major: 8', 'minor: 0']
['23:13:12, 7, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 0']
['23:13:20, 7, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 0']
['23:13:28, 7, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 0']
['23:13:36, 7, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 0']
['23:13:44, 7, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 0']
['23:13:52, 7, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 0']
['23:14:00, 7, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 0']
['23:14:08, 5, opp/conj: 3', 'sqr/tri/sext: 2', 'major: 5', 'minor: 0']
['23:14:15, 4, opp/conj: 3', 'sqr/tri/sext: 1', 'major: 4', 'minor: 0']
['23:14:23, 4, opp/conj: 3', 'sqr/tri/sext: 1', 'major: 4', 'minor: 0']
['23:14:31, 4, opp/conj: 3', 'sqr/tri/sext: 1', 'major: 4', 'minor: 0']
['23:14:39, 4, opp/conj: 3', 'sqr/tri/sext: 1', 'major: 4', 'minor: 0']
['23:14:47, 5, opp/conj: 3', 'sqr/tri/sext: 2', 'major: 5', 'minor: 0']
['23:14:56, 8, opp/conj: 3', 'sqr/tri/sext: 5', 'major: 8', 'minor: 0']
['23:15:04, 9, opp/conj: 4', 'sqr/tri/sext: 5', 'major: 9', 'minor: 0']
['23:15:12, 10, opp/conj: 5', 'sqr/tri/sext: 5', 'major: 10', 'minor: 0']
['23:15:20, 9, opp/conj: 4', 'sqr/tri/sext: 5', 'major: 9', 'minor: 0']
['23:15:28, 9, opp/conj: 3', 'sqr/tri/sext: 6', 'major: 9', 'minor: 0']
['23:15:36, 11, opp/conj: 5', 'sqr/tri/sext: 6', 'major: 11', 'minor: 0']
['23:15:44, 11, opp/conj: 5', 'sqr/tri/sext: 6', 'major: 11', 'minor: 0']
['23:15:51, 11, opp/conj: 5', 'sqr/tri/sext: 6', 'major: 11', 'minor: 0']
['23:15:59, 11, opp/conj: 5', 'sqr/tri/sext: 6', 'major: 11', 'minor: 0']
['23:16:07, 11, opp/conj: 5', 'sqr/tri/sext: 6', 'major: 11', 'minor: 0']
['23:16:15, 13, opp/conj: 5', 'sqr/tri/sext: 8', 'major: 13', 'minor: 0']
['23:16:23, 14, opp/conj: 5', 'sqr/tri/sext: 9', 'major: 14', 'minor: 0']
['23:16:31, 13, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 0']
['23:16:39, 12, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 0']
['23:16:47, 12, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 0']
['23:16:56, 12, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 0']
['23:17:04, 11, opp/conj: 3', 'sqr/tri/sext: 8', 'major: 11', 'minor: 0']
['23:17:12, 13, opp/conj: 3', 'sqr/tri/sext: 10', 'major: 13', 'minor: 0']
['23:17:20, 13, opp/conj: 3', 'sqr/tri/sext: 10', 'major: 13', 'minor: 0']
['23:17:28, 13, opp/conj: 3', 'sqr/tri/sext: 10', 'major: 13', 'minor: 0']
['23:17:36, 12, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 0']
['23:17:44, 12, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 0']
['23:17:52, 12, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 0']
['23:18:00, 12, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 0']
['23:18:08, 12, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 0']
['23:18:16, 11, opp/conj: 1', 'sqr/tri/sext: 10', 'major: 11', 'minor: 0']
['23:18:24, 10, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 0']
['23:18:32, 9, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 0']
['23:18:40, 9, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 0']
['23:18:48, 10, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 0']
['23:18:56, 10, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 0']
['23:19:04, 10, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 0']
['23:19:12, 10, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 0']
['23:19:20, 10, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 0']
['23:19:28, 9, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 0']
['23:19:36, 9, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 0']
['23:19:44, 9, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 0']
['23:19:52, 10, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 0']
['23:20:00, 12, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 0']
['23:20:08, 14, opp/conj: 5', 'sqr/tri/sext: 9', 'major: 14', 'minor: 0']
['23:20:16, 14, opp/conj: 5', 'sqr/tri/sext: 9', 'major: 14', 'minor: 0']
['23:20:24, 15, opp/conj: 7', 'sqr/tri/sext: 8', 'major: 15', 'minor: 0']
['23:20:32, 15, opp/conj: 7', 'sqr/tri/sext: 8', 'major: 15', 'minor: 0']
['23:20:40, 13, opp/conj: 7', 'sqr/tri/sext: 6', 'major: 13', 'minor: 0']
['23:20:48, 15, opp/conj: 7', 'sqr/tri/sext: 8', 'major: 15', 'minor: 0']
['23:20:56, 17, opp/conj: 7', 'sqr/tri/sext: 10', 'major: 17', 'minor: 0']
['23:21:04, 16, opp/conj: 7', 'sqr/tri/sext: 9', 'major: 16', 'minor: 0']
['23:21:12, 17, opp/conj: 7', 'sqr/tri/sext: 10', 'major: 17', 'minor: 0']
['23:21:20, 17, opp/conj: 7', 'sqr/tri/sext: 10', 'major: 17', 'minor: 0']
['23:21:28, 19, opp/conj: 7', 'sqr/tri/sext: 12', 'major: 19', 'minor: 0']
['23:21:36, 20, opp/conj: 7', 'sqr/tri/sext: 13', 'major: 20', 'minor: 0']
['23:21:44, 20, opp/conj: 8', 'sqr/tri/sext: 12', 'major: 20', 'minor: 0']
['23:21:52, 19, opp/conj: 7', 'sqr/tri/sext: 12', 'major: 19', 'minor: 0']
['23:22:00, 16, opp/conj: 5', 'sqr/tri/sext: 11', 'major: 16', 'minor: 0']
['23:22:08, 14, opp/conj: 4', 'sqr/tri/sext: 10', 'major: 14', 'minor: 0']
['23:22:16, 14, opp/conj: 4', 'sqr/tri/sext: 10', 'major: 14', 'minor: 0']
['23:22:24, 11, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 0']
['23:22:32, 10, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 0']
['23:22:39, 10, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 0']
['23:22:47, 10, opp/conj: 3', 'sqr/tri/sext: 7', 'major: 10', 'minor: 0']
['23:22:56, 7, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 0']
['23:23:04, 6, opp/conj: 3', 'sqr/tri/sext: 3', 'major: 6', 'minor: 0']
['23:23:12, 6, opp/conj: 3', 'sqr/tri/sext: 3', 'major: 6', 'minor: 0']
['23:23:20, 6, opp/conj: 3', 'sqr/tri/sext: 3', 'major: 6', 'minor: 0']
['23:23:28, 8, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 0']
['23:23:36, 8, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 0']
['23:23:44, 10, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 0']
['23:23:52, 11, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 0']
['23:24:00, 12, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 0']
['23:24:08, 15, opp/conj: 4', 'sqr/tri/sext: 11', 'major: 15', 'minor: 0']
['23:24:16, 19, opp/conj: 5', 'sqr/tri/sext: 14', 'major: 19', 'minor: 0']
['23:24:23, 21, opp/conj: 6', 'sqr/tri/sext: 15', 'major: 21', 'minor: 0']
['23:24:31, 21, opp/conj: 6', 'sqr/tri/sext: 15', 'major: 21', 'minor: 0']
['23:24:39, 21, opp/conj: 6', 'sqr/tri/sext: 15', 'major: 21', 'minor: 0']
['23:24:47, 22, opp/conj: 7', 'sqr/tri/sext: 15', 'major: 22', 'minor: 0']
['23:24:56, 23, opp/conj: 8', 'sqr/tri/sext: 15', 'major: 23', 'minor: 0']
