Time,all-pd,mj1-pd,mj2-pd,mja-pd,min-pd,all-sc,mj1-sc,mj2-sc,mja-sc,min-sc
19:32:56,15,5,8,13,2,24,2,9,11,13
02:35:36,21,8,5,13,8,23,5,6,11,12
02:35:28,20,8,5,13,7,21,4,6,10,11
02:35:12,19,7,6,13,6,19,5,6,11,8
00:43:36,13,10,3,13,0,25,2,7,9,16
00:58:15,16,4,9,13,3,17,2,8,10,7
00:43:44,13,10,3,13,0,21,2,5,7,14
05:40:32,16,8,5,13,3,24,7,7,14,10
16:06:15,19,2,11,13,6,27,2,12,14,13
08:12:08,15,8,5,13,2,35,1,15,16,19
08:29:04,14,5,8,13,1,13,2,2,4,9
00:38:39,19,9,4,13,6,18,3,9,12,6
02:35:04,14,7,5,12,2,20,4,8,12,8
19:33:12,14,5,7,12,2,22,0,10,10,12
01:00:47,15,5,7,12,3,16,4,6,10,6
06:29:20,14,3,9,12,2,20,2,13,15,5
00:43:20,13,9,3,12,1,25,2,10,12,13
19:32:47,14,3,9,12,2,21,2,8,10,11
00:43:28,12,9,3,12,0,27,2,10,12,15
00:38:15,16,10,2,12,4,18,3,8,11,7
00:38:47,19,7,5,12,7,28,4,11,15,13
00:38:31,17,9,3,12,5,18,4,8,12,6
03:38:23,16,6,6,12,4,28,6,12,18,10
02:34:56,14,7,5,12,2,19,3,8,11,8
07:55:20,14,4,8,12,2,25,2,7,9,16
05:40:24,13,7,5,12,1,21,7,4,11,10
07:55:28,15,4,8,12,3,24,2,7,9,15
16:06:08,17,3,9,12,5,27,2,14,16,11
00:38:23,18,9,3,12,6,17,3,8,11,6
03:38:39,17,6,6,12,5,30,5,13,18,12
03:38:31,16,6,6,12,4,29,6,12,18,11
17:24:16,16,2,10,12,4,24,1,13,14,10
08:12:00,14,7,5,12,2,36,1,15,16,20
08:05:04,17,6,6,12,5,25,2,4,6,19
08:12:16,16,8,4,12,4,35,2,15,17,18
19:33:20,13,5,7,12,1,26,0,11,11,15
02:19:12,19,3,9,12,7,23,0,9,9,14
20:52:48,15,5,7,12,3,13,1,11,12,1
19:33:04,13,5,7,12,1,22,1,9,10,12
07:19:28,14,4,7,11,3,16,3,5,8,8
00:57:59,14,4,7,11,3,17,2,7,9,8
07:19:36,17,4,7,11,6,15,3,5,8,7
18:46:47,14,1,10,11,3,21,2,8,10,11
00:58:07,14,4,7,11,3,15,2,7,9,6
01:00:56,12,5,6,11,1,17,3,7,10,7
09:23:12,17,4,7,11,6,25,1,7,8,17
02:34:47,15,7,4,11,4,19,3,8,11,8
02:35:20,18,7,4,11,7,20,4,6,10,10
09:33:59,15,2,9,11,4,32,4,11,15,17
07:24:15,14,4,7,11,3,25,4,9,13,12
03:38:47,20,6,5,11,9,28,5,11,16,12
18:10:47,14,3,8,11,3,21,2,9,11,10
08:28:47,12,4,7,11,1,14,2,3,5,9
08:28:56,12,4,7,11,1,12,2,1,3,9
21:40:32,13,3,8,11,2,28,1,12,13,15
00:29:04,15,5,6,11,4,18,3,6,9,9
00:44:15,13,7,4,11,2,24,4,4,8,16
06:34:39,15,5,6,11,4,24,3,10,13,11
06:34:47,15,5,6,11,4,26,4,11,15,11
19:24:39,14,2,9,11,3,24,1,7,8,16
12:20:00,15,4,7,11,4,22,3,8,11,11
12:49:04,14,4,7,11,3,19,2,6,8,11
02:19:44,13,5,6,11,2,22,0,7,7,15
05:40:40,14,7,4,11,3,27,6,9,15,12
01:37:11,18,4,7,11,7,34,7,9,16,18
15:07:28,13,3,8,11,2,24,1,11,12,12
16:35:19,15,4,7,11,4,25,5,11,16,9
16:36:07,14,6,5,11,3,20,3,10,13,7
14:37:36,14,2,9,11,3,37,2,14,16,21
14:37:44,15,2,9,11,4,30,2,11,13,17
03:38:15,15,6,5,11,4,31,5,12,17,14
16:44:56,14,5,6,11,3,29,4,14,18,11
08:11:52,14,7,4,11,3,37,1,15,16,21
08:05:12,16,6,5,11,5,24,1,4,5,19
08:04:47,15,5,6,11,4,24,1,5,6,18
17:24:23,12,2,9,11,1,19,2,10,12,7
07:24:07,13,4,7,11,2,23,4,9,13,10
00:37:59,16,9,2,11,5,20,5,5,10,10
00:38:56,17,6,5,11,6,25,3,11,14,11
00:38:07,16,9,2,11,5,16,3,6,9,7
03:38:56,19,6,5,11,8,27,5,10,15,12
01:00:39,14,5,6,11,3,18,5,5,10,8
01:37:03,18,3,8,11,7,32,7,10,17,15
20:27:51,18,4,7,11,7,28,2,13,15,13
20:27:59,18,4,7,11,7,27,2,12,14,13
01:19:59,14,4,7,11,3,21,4,4,8,13
20:54:16,16,3,8,11,5,20,2,8,10,10
01:19:51,13,5,6,11,2,20,4,4,8,12
01:28:07,17,4,7,11,6,19,3,8,11,8
20:52:56,14,5,6,11,3,14,2,10,12,2
12:40:24,13,4,7,11,2,20,2,5,7,13
12:40:32,14,5,6,11,3,19,2,5,7,12
20:52:40,13,4,7,11,2,13,1,10,11,2
02:19:20,16,3,8,11,5,23,0,9,9,14
01:28:31,15,4,6,10,5,22,5,8,13,9
