['Time', 'Event0', 'Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6', 'Event7', 'Event8', 'Event9', 'Event10', 'Event11', 'Event12', 'Event13', 'Event14', 'Count']
['23:00:00', "(MC,359.384,(r)) (Saturn,59.374,(d)) (sextile,1')", "(MC,359.384,(r)) (Moon,314.308,(d)) (45-semisquare,5')", '', "(Jupiter,43.773,(r)) (ASC,133.780,(d)) (square,0')", "(Uranus,55.574,(r)) (MC,205.629,(d)) (150-quincunx,3')", '', '', "(ASC,117.778,(r)) (Venus,177.722,(d)) (sextile,3')", '', '', '', '', "(ASC,117.778,(r)) (Mercury,252.867,(d)) (135-sesquisquare,5')", '', '', 6]
['23:00:08', "(MC,359.420,(r)) (Saturn,59.374,(d)) (sextile,3')", '', '', "(Jupiter,43.773,(r)) (ASC,133.803,(d)) (square,2')", "(Uranus,55.574,(r)) (MC,205.665,(d)) (150-quincunx,5')", '', '', "(ASC,117.802,(r)) (Venus,177.717,(d)) (sextile,5')", '', '', '', '', "(ASC,117.802,(r)) (Mercury,252.864,(d)) (135-sesquisquare,4')", '', '', 5]
['23:00:16', "(MC,359.457,(r)) (Saturn,59.374,(d)) (sextile,5')", '', '', "(Jupiter,43.773,(r)) (ASC,133.825,(d)) (square,3')\n(Uranus,55.574,(r)) (ASC,100.505,(c)) (45-semisquare,4')", '', '', '', '', '', '', '', '', "(ASC,117.826,(r)) (Mercury,252.861,(d)) (135-sesquisquare,2')", '', '', 4]
['23:00:24', '', '', '', "(Jupiter,43.773,(r)) (ASC,133.848,(d)) (square,4')\n(Uranus,55.574,(r)) (ASC,100.532,(c)) (45-semisquare,3')", '', '', "(Mars,182.166,(r)) (ASC,137.088,(d)) (45-semisquare,5')", '', '', '', '', '', "(ASC,117.850,(r)) (Mercury,252.858,(d)) (135-sesquisquare,1')", '', "(Neptune,176.003,(r)) (ASC,85.919,(c)) (square,5')", 5]
['23:00:32', '', '', '', "(Uranus,55.574,(r)) (ASC,100.559,(c)) (45-semisquare,1')", '', '', "(Mars,182.166,(r)) (ASC,137.111,(d)) (45-semisquare,3')", '', '', '', '', '', "(ASC,117.873,(r)) (Mercury,252.855,(d)) (135-sesquisquare,1')", '', "(ASC,117.873,(r)) (Pluto,147.949,(d)) (30-semisextile,5')\n(Neptune,176.003,(r)) (ASC,85.951,(c)) (square,3')", 5]
['23:00:39', '', '', '', "(Uranus,55.574,(r)) (ASC,100.587,(c)) (45-semisquare,1')", '', '', "(Mars,182.166,(r)) (ASC,137.134,(d)) (45-semisquare,2')", '', '', '', '', '', "(ASC,117.897,(r)) (Mercury,252.852,(d)) (135-sesquisquare,3')", '', "(ASC,117.897,(r)) (Pluto,147.940,(d)) (30-semisextile,3')\n(Neptune,176.003,(r)) (ASC,85.984,(c)) (square,1')", 5]
['23:00:47', '', '', '', "(Uranus,55.574,(r)) (ASC,100.614,(c)) (45-semisquare,2')", '', '', "(Mars,182.166,(r)) (ASC,137.157,(d)) (45-semisquare,1')", '', '', '', '', '', "(ASC,117.921,(r)) (Mercury,252.849,(d)) (135-sesquisquare,4')", '', "(ASC,117.921,(r)) (Pluto,147.930,(d)) (30-semisextile,1')\n(Neptune,176.003,(r)) (ASC,86.016,(c)) (square,1')", 5]
['23:00:56', '', '', '', "(Uranus,55.574,(r)) (ASC,100.641,(c)) (45-semisquare,4')", '', '', "(Mars,182.166,(r)) (ASC,137.179,(d)) (45-semisquare,1')", '', '', '', '', '', '', '', "(ASC,117.945,(r)) (Pluto,147.921,(d)) (30-semisextile,1')\n(Neptune,176.003,(r)) (ASC,86.049,(c)) (square,3')", 4]
['23:01:04', '', '', '', "(Uranus,55.574,(r)) (ASC,100.668,(c)) (45-semisquare,6')", '', '', "(Mars,182.166,(r)) (ASC,137.202,(d)) (45-semisquare,2')", '', '', '', '', '', '', '', "(ASC,117.969,(r)) (Pluto,147.912,(d)) (30-semisextile,3')\n(Neptune,176.003,(r)) (ASC,86.081,(c)) (square,5')", 4]
['23:01:12', '', '', '', '', '', '', "(Mars,182.166,(r)) (ASC,137.225,(d)) (45-semisquare,4')", '', '', '', '', '', '', "(Mercury,217.536,(r)) (MC,217.374,(d)) (conjunction,10')", "(ASC,117.993,(r)) (Pluto,147.902,(d)) (30-semisextile,5')", 3]
