['Time', '0: 1956-07-15', '1: 1962-08-23', '2: 1963-04-18', '3: 1964-02-06', '4: 1965-06-12', '5: 1967-08-26', '6: 1968-11-28', '7: 1969-03-20', '8: 1970-04-15', '9: 1972-03-06', '10: 1974-07-18', '11: 1975-10-09', '12: 1975-01-15', '13: 1976-07-27', '14: 1980-12-08', 'Count']
['23:00:00', '0', '1', '2', "(Jupiter,43.773,(r)) (ASC,133.780,(d)) (square,0')", "(Uranus,55.574,(r)) (MC,25.629,(d)) (30-semisextile,3')", '', '', "(ASC,117.776,(r)) (Venus,177.722,(d)) (sextile,3')", '', "(ASC,117.776,(r)) (Uranus,87.788,(d)) (30-semisextile,1')", '', "(MC,359.384,(r)) (Jupiter,179.325,(c)) (opposition,4')", "(ASC,117.776,(r)) (Mercury,252.867,(d)) (135-sesquisquare,5')", '', '', 6]
['23:00:08', '0', '1', '2', "(Jupiter,43.773,(r)) (ASC,133.803,(d)) (square,2')", "(Uranus,55.574,(r)) (MC,25.665,(d)) (30-semisextile,5')", '', '', "(ASC,117.799,(r)) (Venus,177.717,(d)) (sextile,5')", '', "(ASC,117.799,(r)) (Uranus,87.785,(d)) (30-semisextile,1')", '', "(MC,359.420,(r)) (Jupiter,179.333,(c)) (opposition,5')", "(ASC,117.799,(r)) (Mercury,252.864,(d)) (135-sesquisquare,4')", '', '', 6]
['23:00:16', '0', '1', '2', "(Jupiter,43.773,(r)) (ASC,133.825,(d)) (square,3')\n(Uranus,55.574,(r)) (ASC,100.505,(c)) (45-semisquare,4')", '', '', '', '', '', "(ASC,117.823,(r)) (Uranus,87.783,(d)) (30-semisextile,2')", '', "(MC,359.457,(r)) (Jupiter,179.342,(c)) (opposition,7')", "(ASC,117.823,(r)) (Mercury,252.861,(d)) (135-sesquisquare,2')", '', '', 5]
['23:00:24', '0', '1', '2', "(Jupiter,43.773,(r)) (ASC,133.848,(d)) (square,4')\n(Uranus,55.574,(r)) (ASC,100.532,(c)) (45-semisquare,3')", '', '', "(Mars,182.166,(r)) (ASC,137.088,(d)) (45-semisquare,5')", '', '', "(ASC,117.847,(r)) (Uranus,87.781,(d)) (30-semisextile,4')", '', "(MC,359.493,(r)) (Jupiter,179.351,(c)) (opposition,9')", "(ASC,117.847,(r)) (Mercury,252.858,(d)) (135-sesquisquare,1')", '', "(Neptune,176.003,(r)) (ASC,85.919,(c)) (square,5')", 7]
['23:00:32', '0', '1', '2', "(Uranus,55.574,(r)) (ASC,100.559,(c)) (45-semisquare,1')", '', '', "(Mars,182.166,(r)) (ASC,137.111,(d)) (45-semisquare,3')", '', '', "(ASC,117.871,(r)) (Uranus,87.779,(d)) (30-semisextile,6')", '', "(MC,359.530,(r)) (Jupiter,179.360,(c)) (opposition,10')", "(ASC,117.871,(r)) (Mercury,252.855,(d)) (135-sesquisquare,1')", '', "(ASC,117.871,(r)) (Pluto,147.949,(d)) (30-semisextile,5')\n(Neptune,176.003,(r)) (ASC,85.951,(c)) (square,3')", 7]
['23:00:39', '0', '1', '2', "(Uranus,55.574,(r)) (ASC,100.587,(c)) (45-semisquare,1')", '', '', "(Mars,182.166,(r)) (ASC,137.134,(d)) (45-semisquare,2')", '', '', '', '', '', "(ASC,117.895,(r)) (Mercury,252.852,(d)) (135-sesquisquare,3')", '', "(ASC,117.895,(r)) (Pluto,147.940,(d)) (30-semisextile,3')\n(Neptune,176.003,(r)) (ASC,85.984,(c)) (square,1')", 5]
['23:00:47', '0', '1', '2', "(Uranus,55.574,(r)) (ASC,100.614,(c)) (45-semisquare,2')", '', '', "(Mars,182.166,(r)) (ASC,137.157,(d)) (45-semisquare,1')", '', '', '', '', '', "(ASC,117.919,(r)) (Mercury,252.849,(d)) (135-sesquisquare,4')", '', "(ASC,117.919,(r)) (Pluto,147.930,(d)) (30-semisextile,1')\n(Neptune,176.003,(r)) (ASC,86.016,(c)) (square,1')", 5]
['23:00:56', '0', '1', '2', "(Uranus,55.574,(r)) (ASC,100.641,(c)) (45-semisquare,4')", '', '', "(Mars,182.166,(r)) (ASC,137.179,(d)) (45-semisquare,1')", '', '', '', '', '', '', '', "(ASC,117.943,(r)) (Pluto,147.921,(d)) (30-semisextile,1')\n(Neptune,176.003,(r)) (ASC,86.049,(c)) (square,3')", 4]
['23:01:04', '0', '1', '2', "(Uranus,55.574,(r)) (ASC,100.668,(c)) (45-semisquare,6')", '', '', "(Mars,182.166,(r)) (ASC,137.202,(d)) (45-semisquare,2')", '', '', '', '', '', '', '', "(ASC,117.966,(r)) (Pluto,147.912,(d)) (30-semisextile,3')\n(Neptune,176.003,(r)) (ASC,86.081,(c)) (square,5')", 4]
['23:01:12', '0', '1', '2', '3', '4', '5', "(Mars,182.166,(r)) (ASC,137.225,(d)) (45-semisquare,4')", '', '', '', '', '', '', "(Mercury,217.536,(r)) (MC,37.374,(d)) (opposition,10')", "(ASC,117.990,(r)) (Pluto,147.902,(d)) (30-semisextile,5')", 3]
