['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:00:00, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 3']
['23:00:08, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 3']
['23:00:16, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:00:24, 7, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 3']
['23:00:32, 7, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 5']
['23:00:39, 5, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 4']
['23:00:47, 5, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 4']
['23:00:56, 4, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 3']
['23:01:04, 4, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 3']
['23:01:12, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:01:20, 2, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 1']
['23:01:28, 1, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 0']
['23:01:36, 2, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 1']
['23:01:44, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:01:52, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:02:00, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:02:08, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:02:15, 6, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 1']
['23:02:23, 6, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 0']
['23:02:31, 6, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 0']
['23:02:39, 6, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 0']
['23:02:47, 6, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 0']
['23:02:56, 6, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 0']
['23:03:04, 6, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 1']
['23:03:12, 8, opp/conj: 0', 'sqr/tri/sext: 5', 'major: 5', 'minor: 2']
['23:03:20, 8, opp/conj: 0', 'sqr/tri/sext: 5', 'major: 5', 'minor: 2']
['23:03:28, 7, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 3']
['23:03:36, 7, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 3']
['23:03:44, 6, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 2']
['23:03:52, 4, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:03:59, 6, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 2']
['23:04:07, 6, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 2']
['23:04:15, 6, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 2']
['23:04:23, 5, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 1']
['23:04:31, 7, opp/conj: 0', 'sqr/tri/sext: 4', 'major: 4', 'minor: 1']
['23:04:39, 6, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 1']
['23:04:47, 7, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 2']
['23:04:56, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 4']
['23:05:04, 8, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 4']
['23:05:12, 9, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 4']
['23:05:20, 8, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 4']
['23:05:28, 8, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 5']
['23:05:36, 7, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 5']
['23:05:43, 7, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 5']
['23:05:51, 5, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 3']
['23:06:00, 6, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:06:08, 6, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
['23:06:16, 3, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 2']
['23:06:24, 2, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 0']
['23:06:32, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:06:40, 7, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:06:48, 6, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:06:56, 6, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:07:04, 7, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:07:12, 5, opp/conj: 2', 'sqr/tri/sext: 1', 'major: 3', 'minor: 1']
['23:07:20, 4, opp/conj: 2', 'sqr/tri/sext: 0', 'major: 2', 'minor: 2']
['23:07:28, 5, opp/conj: 2', 'sqr/tri/sext: 0', 'major: 2', 'minor: 3']
['23:07:36, 5, opp/conj: 2', 'sqr/tri/sext: 0', 'major: 2', 'minor: 3']
['23:07:44, 5, opp/conj: 2', 'sqr/tri/sext: 0', 'major: 2', 'minor: 3']
['23:07:52, 5, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 3']
['23:08:00, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:08:08, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:08:16, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:08:24, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:08:32, 5, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:08:40, 3, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 1']
['23:08:48, 3, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 1']
['23:08:56, 2, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 1']
['23:09:04, 1, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 1']
['23:09:12, 3, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:09:20, 3, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:09:28, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:09:36, 7, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:09:44, 7, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:09:52, 8, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 4']
['23:10:00, 9, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 4']
['23:10:08, 10, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 5']
['23:10:16, 9, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 5']
['23:10:24, 9, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 4']
['23:10:32, 9, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 4']
['23:10:40, 7, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 2']
['23:10:47, 8, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 3']
['23:10:56, 8, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 2']
['23:11:04, 9, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 2']
['23:11:12, 8, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 2']
['23:11:20, 8, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 2']
['23:11:28, 8, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 3']
['23:11:36, 6, opp/conj: 2', 'sqr/tri/sext: 1', 'major: 3', 'minor: 3']
['23:11:44, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:11:52, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:12:00, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:12:08, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:12:16, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:12:24, 2, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 2']
['23:12:31, 1, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 1']
['23:12:39, 1, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 1']
['23:12:47, 3, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 1']
['23:12:56, 2, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 0']
['23:13:04, 6, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 2']
['23:13:12, 7, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 3']
